seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
TOPTECNOUY,http://perfil.mercadolibre.com.uy/TOPTECNOUY,14,años,116524,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,114163,652,5485,108026,"Ciudad Vieja, Montevideo.",NA,NA
TUBELUXUY,http://perfil.mercadolibre.com.uy/TUBELUXUY,14,años,41797,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,40972,308,2594,38070,"Aguada, Montevideo.",NA,NA
MUNDOSHOP.UY,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,10,meses,1325,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,692,4,11,677,"La Comercial, Montevideo.",NA,NA
FREE_BUY_2633,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,17,años,4400,NA,NA,NA,4365,0,115,4250,"Reducto, Montevideo.",NA,NA
PRO ACCESORIOSUY,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,3,años,11548,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,7116,3,58,7055,"Centro, Montevideo.",NA,NA
VENTAUY,http://perfil.mercadolibre.com.uy/VENTAUY,14,años,7530,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,6563,52,436,6075,"Brazo Oriental, Montevideo.",NA,NA
69 CASES,http://perfil.mercadolibre.com.uy/69+CASES,10,años,9261,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,5775,87,230,5458,"Cordón, Montevideo.",NA,NA
FEBOUY,http://perfil.mercadolibre.com.uy/FEBOUY,12,años,78738,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,53042,99,1266,51677,"Centro, Montevideo.",NA,NA
HERMESSTORE,http://perfil.mercadolibre.com.uy/HERMESSTORE,1,año,1946,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,1059,8,59,992,"Centro, Montevideo.",NA,NA
INFORAMA10,http://perfil.mercadolibre.com.uy/INFORAMA10,10,años,385,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,330,4,6,320,"Otras, Montevideo.",NA,NA
GEEK URUGUAY,http://perfil.mercadolibre.com.uy/GEEK+URUGUAY,14,años,6032,NA,NA,NA,5238,20,251,4967,"Centro, Montevideo.",NA,NA
TECNOCELL.UY,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,3,años,16038,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,9254,104,397,8753,"Centro, Montevideo.",NA,NA
ALEXISDAMIAN2008,http://perfil.mercadolibre.com.uy/ALEXISDAMIAN2008,10,años,1039,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,791,0,12,779,"Tres Cruces, Montevideo.",NA,NA
BIGU572033,http://perfil.mercadolibre.com.uy/BIGU572033,NA,NA,NA,NA,NA,NA,60,5,0,55,"Parque del Plata, Canelones.",NA,NA
MEGACASEUY,http://perfil.mercadolibre.com.uy/MEGACASEUY,2,años,3973,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1753,7,41,1705,"Parque Batlle, Montevideo.",NA,NA
MVD_FREE_BUY,http://perfil.mercadolibre.com.uy/MVD_FREE_BUY,11,años,333,NA,NA,NA,263,0,6,257,"Aguada, Montevideo.",NA,NA
I..STORE,http://perfil.mercadolibre.com.uy/I..STORE,4,años,194,NA,NA,NA,182,7,9,166,"Mercedes, Soriano.",NA,NA
TECNOCELLUY,http://perfil.mercadolibre.com.uy/TECNOCELLUY,NA,NA,NA,NA,NA,NA,393,14,26,353,"Centro, Montevideo.",NA,NA
IZMA1385013,http://perfil.mercadolibre.com.uy/IZMA1385013,NA,NA,NA,NA,NA,NA,99,1,1,97,"La Comercial, Montevideo.",NA,NA
PRO-ACCESORIOS-Y-CELULARES,http://perfil.mercadolibre.com.uy/PRO-ACCESORIOS-Y-CELULARES,2,años,2566,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1544,40,114,1390,"La Comercial, Montevideo.",NA,NA
HOYO-37,http://perfil.mercadolibre.com.uy/HOYO-37,12,años,80,NA,NA,NA,141,0,9,132,"Punta Carretas, Montevideo.",NA,NA
