seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
TOPTECNOUY,http://perfil.mercadolibre.com.uy/TOPTECNOUY,14,14 años vendiendo en Mercado Libre,116837,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,114282,Negativa (653),Neutral (5488),Positiva (108141),"Ciudad Vieja, Montevideo.",NA
TUBELUXUY,http://perfil.mercadolibre.com.uy/TUBELUXUY,14,14 años vendiendo en Mercado Libre,41882,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,41021,Negativa (309),Neutral (2594),Positiva (38118),"Aguada, Montevideo.",NA
MUNDOSHOP.UY,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,10,10 meses vendiendo en Mercado Libre,1347,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,700,Negativa (4),Neutral (11),Positiva (685),"La Comercial, Montevideo.",NA
FREE_BUY_2633,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,17,17 años vendiendo en Mercado Libre,4328,NA,NA,NA,4367,Negativa (0),Neutral (115),Positiva (4252),"Reducto, Montevideo.",NA
PRO ACCESORIOSUY,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,3,3 años vendiendo en Mercado Libre,11574,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,7135,Negativa (4),Neutral (59),Positiva (7072),"Centro, Montevideo.",NA
VENTAUY,http://perfil.mercadolibre.com.uy/VENTAUY,14,14 años vendiendo en Mercado Libre,7542,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,6568,Negativa (52),Neutral (436),Positiva (6080),"Brazo Oriental, Montevideo.",NA
69 CASES,http://perfil.mercadolibre.com.uy/69+CASES,10,10 años vendiendo en Mercado Libre,9278,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,5782,Negativa (87),Neutral (231),Positiva (5464),"Cordón, Montevideo.",NA
FEBOUY,http://perfil.mercadolibre.com.uy/FEBOUY,12,12 años vendiendo en Mercado Libre,79030,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,53194,Negativa (101),Neutral (1274),Positiva (51819),"Centro, Montevideo.",NA
HERMESSTORE,http://perfil.mercadolibre.com.uy/HERMESSTORE,1,1 año vendiendo en Mercado Libre,1973,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,1071,Negativa (8),Neutral (61),Positiva (1002),"Centro, Montevideo.",NA
INFORAMA10,http://perfil.mercadolibre.com.uy/INFORAMA10,10,10 años vendiendo en Mercado Libre,390,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,335,Negativa (4),Neutral (6),Positiva (325),"Otras, Montevideo.",NA
GEEK URUGUAY,http://perfil.mercadolibre.com.uy/GEEK+URUGUAY,14,14 años vendiendo en Mercado Libre,5967,NA,NA,NA,5238,Negativa (20),Neutral (251),Positiva (4967),"Centro, Montevideo.",NA
TECNOCELL.UY,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,3,3 años vendiendo en Mercado Libre,16179,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,9314,Negativa (106),Neutral (400),Positiva (8808),"Centro, Montevideo.",NA
ALEXISDAMIAN2008,http://perfil.mercadolibre.com.uy/ALEXISDAMIAN2008,10,10 años vendiendo en Mercado Libre,1040,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,792,Negativa (0),Neutral (12),Positiva (780),"Tres Cruces, Montevideo.",NA
BIGU572033,http://perfil.mercadolibre.com.uy/BIGU572033,NA,NA,NA,NA,NA,NA,60,Negativa (5),Neutral (0),Positiva (55),"Parque del Plata, Canelones.",NA
MEGACASEUY,http://perfil.mercadolibre.com.uy/MEGACASEUY,2,2 años vendiendo en Mercado Libre,3992,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1757,Negativa (7),Neutral (41),Positiva (1709),"Parque Batlle, Montevideo.",NA
MVD_FREE_BUY,http://perfil.mercadolibre.com.uy/MVD_FREE_BUY,11,11 años vendiendo en Mercado Libre,333,NA,NA,NA,263,Negativa (0),Neutral (6),Positiva (257),"Aguada, Montevideo.",NA
I..STORE,http://perfil.mercadolibre.com.uy/I..STORE,4,4 años vendiendo en Mercado Libre,195,NA,NA,NA,183,Negativa (7),Neutral (9),Positiva (167),"Mercedes, Soriano.",NA
TECNOCELLUY,http://perfil.mercadolibre.com.uy/TECNOCELLUY,NA,NA,NA,NA,NA,NA,394,Negativa (14),Neutral (26),Positiva (354),"Centro, Montevideo.",NA
PRO-ACCESORIOS-Y-CELULARES,http://perfil.mercadolibre.com.uy/PRO-ACCESORIOS-Y-CELULARES,2,2 años vendiendo en Mercado Libre,2570,NA,NA,NA,1544,Negativa (40),Neutral (114),Positiva (1390),"La Comercial, Montevideo.",NA
IZMA1385013,http://perfil.mercadolibre.com.uy/IZMA1385013,NA,NA,NA,NA,NA,NA,99,Negativa (1),Neutral (1),Positiva (97),"La Comercial, Montevideo.",NA
HOYO-37,http://perfil.mercadolibre.com.uy/HOYO-37,12,12 años vendiendo en Mercado Libre,80,NA,NA,NA,141,Negativa (0),Neutral (9),Positiva (132),"Punta Carretas, Montevideo.",NA
