search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material
1, Funda Silicone Case 5s Se 6 6s 7 Plus iPhone 8 Plus Original ,499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2105
				vendidos
			
		",(283 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,68,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-689528238-funda-silicone-case-5s-se-6-6s-7-plus-iphone-8-plus-original-_JM,52,10,4,0,2,#689528238,Apple,Iphone,Apple,Silicone Case,Silicone case,Silicona
2, Funda Silicone Case iPhone 8 6s 7 Plus Se + Vidrio Templado ,599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				706
				vendidos
			
		",(360 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,13,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-722492563-funda-silicone-case-iphone-8-6s-7-plus-se-vidrio-templado-_JM?searchVariation=34039427293,12,1,0,0,0,#722492563,Apple,Ihone 6s 7 8 Plus,Apple,Silicone Case,Silicone Case,Silicona
3, Funda Ringke Original iPhone X Xs Max 7 8 Plus Xr +envio ,499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				408
				vendidos
			
		",(110 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,9,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-686264793-funda-silicone-case-iphone-8-7-plus-5s-se-6-6s-original-_JM,7,2,0,0,0,#686264793,Apple,Iphone 7 8 y Plus,Apple,Silicone Case,Silicone Case,Silicona
4, Funda Ringke Original iPhone X Xs 7 8 Plus Max+vidrio+envio ,1122,1189,"
			
				Nuevo
			
			
				
					 - 
				
				404
				vendidos
			
		",(284 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,19,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-749127423-funda-ringke-original-iphone-x-xs-7-8-plus-maxvidrioenvio-_JM?searchVariation=32500157139,18,1,0,0,0,#749127423,Apple,IPHONE 7; 7 PLUS; 8; 8 PLUS; X; XS; XS MAX; XR,Ringke,Fusion,Rugerizada,Acrílico
5, Funda Silicone Case iPhone 8 7 Plus 5s Se 6 6s Original ,971,1029,"
			
				Nuevo
			
			
				
					 - 
				
				994
				vendidos
			
		",(4 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,50,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-711298702-funda-ringke-original-iphone-x-xs-max-7-8-plus-xr-envio-_JM?searchVariation=32500129944,41,6,3,0,0,#711298702,NA,NA,NA,NA,NA,NA
6, Funda Metalica Magnetica Vidrio iPhone X Xs Max 8 7 6 Plus ,520,NA,"
			
				Nuevo
			
			
				
					 - 
				
				611
				vendidos
			
		",(828 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,23,https://perfil.mercadolibre.com.ar/TIENDASHOPEALO,https://articulo.mercadolibre.com.ar/MLA-636606079-funda-tpu-slim-iphone-6s-7-8-plus-x-xr-xs-max-templado-_JM?searchVariation=28306700119,11,7,2,1,2,#636606079,Apple,"iphone 6, 6s, 6 plus, 6s plus, 7, 7 plus, 8, 8 plus, X, Xs, Xr, Xs Max",Sin Marca,TPU,Silicona,Silicona
7, Funda Silicona Premium iPhone 8 7 8 Plus + Vidrio Templado ,415,439,"
			
				Nuevo
			
			
				
					 - 
				
				1153
				vendidos
			
		",(11 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,63,https://perfil.mercadolibre.com.ar/NORCEL01,https://articulo.mercadolibre.com.ar/MLA-692079495-funda-cafele-tpu-slim-para-iphone-x-7-8-plus-xs-max-xr-wow-_JM?searchVariation=18526555706,48,12,2,0,1,#692079495,Apple,Iphone 8; Iphone 8 plus; Iphone 7; Iphone 7 plus; Iphone X; Iphone Xs; Iphone Xs Max; Iphone XR,CAFELE,TPU,Rugerizada,TPU/Policarbonato
8, Funda Silicone Case iPhone 8 7 Plus 5s Se 6 6s Original ,499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				408
				vendidos
			
		",(110 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,9,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=5yVn9g0LvAYM7E%2BFMzzk164%2BcxNMp6fNQ%2FCcDVjoAiIhsguWWctsATEloUkCvlGFq7Ka9CwtYjK%2BVdX9FQVwjfGobomjnpLUkUfAIB5D%2BwjGXqdwHVUMZ%2FWyeglrYqksv07AlBrJ3umKcpobRnFEJ3jcTQTD5Nzd7PiuV177yf47YJmDOEH6GPLuQg845KnpXmm9TuSu%2F0eBggTpRRUnSprU6wXK%2FXYFMrTc4ViZgo0KfawxedEZlNvE%2FYXC1IbUd38B%2F8iEzKZG4Yo8wZHO3YvREK8AGolQeFqw41WZBF8OVqR7v1hKb7I4uw1z%2FHnb754nUF31BISbPyF9pdz59IqyeCdW1q6GO1jmYYShTsVSsSuod06b8zRAENNdA3UbgyWlauJVqlXe6Eb4VBvMNzki9%2FNvB608UW14S6JJJFd1lLi7oBJDGGIXN8Th9LmOUtJ35UIEEvZR3aZyPaCRPjAstB5TV%2BxfeEIHazcVhpcNqmHCWOqpgR7EC%2Bbyl8pjBOWmaXm4ItleV%2BjUyEdjRsFBlSTNn3STruZN48FTzSWycZ3P2a8nD2y3zfqB0JyRypgGwM4ExTkkhKLsoEPrvGsKFbwXb5AQkeNQiVaIsodK%2BizHt4P6THmahiJffaB6Cp%2BukkCeZogaTVOi7M5ODaQATxJeYhpEJfhxwUgY27SzYY3sMxdu5uwdCa90fVPsYAgTb11aZygU9HYYGZed4RTReFrxnvvbVX3IV8axHbRkYlwafc91VuxWrUHViixU9u8SAeAbhMpy3pM2H%2F56mkTrt3vCQr6H8FHYzE9ElzbX3JaYztfZU1ao2EH3NOm7doJnv%2BHMEejdIm0WMXfOLjxXLE2dyiN2SEQq0t2GF09LN%2BugDkJHvffo7%2B40AyeHv8EKTCuSKMA96wHQfWA%2F%2FhLRCp926lEL21nMbx6GDiqJrywDJYBeQx%2Ft3iuUD8NtUPce0kskwtmf9zNAEI7gc%2Bks6Qp9JP0148As1hqEYXkZX1Jq6g%2FezZknl3WzJxtYZhp7QYj1y0WDN6cEYaf8NsFc6PUJ4fCGGn%2BjgVtoJsLe8VSydkjUhqaD7KZvSo%2FQfiExm26vCYFgXeOY74N14%2B7XLycq9VLNDNWzjcdeGAmVihIph06pabmMf9oXb8Gw7QeilUmbDKbHPIXF6c6Q0a89q2234nBLRwunebcdl7TQRG84uOfFV%2FQC64fHP2k5F6R2M87PS9%2BF2kt2%2FF6ZYPqiseQ06lsnH3Y8ANOtjTciZUvbCHeFC7W%2B1W3AjMd9OTdOPZ56LjNzWPdNCHTDrlk18ige0Ubxts7gtNpQ3fjih23cms1LTF2GUhZtBBHzz6v7z8O7vU%2B2mRdpq6zB26QUoCaBc3y0O28r5SCJhng7UWiBgIby3YeJQ79aLe48bJ7MogvbfUI7HmXHXoDwAnzictK5zCttfuIPjuozdKb%2BkPlf6%2BYr6kYJrMhejQtoGIzE2axl%2BV3L%2Fp1IOAKWWcO7oB%2Bj%2FTa4erDFZnG1iWk5ufQI2W0qYdyz9ApKHYsbLA%2B2MmNazMCuUZ5iM84R%2BIFyFaci79hxaO8o6w278%2FZCzcQq6ZSe%2FtrR7ENZpAZDcosodl5fP5MvUD3SMPVdQbOWBsNY5h7I8mX%2FQkdO0SE%3D,7,2,0,0,0,#686264793,Apple,Iphone 7 8 y Plus,Apple,Silicone Case,Silicone Case,Silicona
9, Funda iPhone 8 Plus 7 Plus Apple Original Silicona Soft ,961,1018,"
			
				Nuevo
			
			
				
					 - 
				
				59
				vendidos
			
		",(134 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,NA,NA,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-765237899-funda-magnetica-vidrio-iphone-6-7-8-plus-x-envio-cuotas-_JM?searchVariation=31717910083,NA,NA,NA,NA,NA,#765237899,Apple,Iphone X;Iphone Xs Max; Iphone 7; Iphone 8; Iphone 7 plus; Iphone 8 plus; Iphone 6; Iphone 6 Plus; Iphone Xr,Norcel,Magnetica,Bumper,TPU/Policarbonato
10, Funda Tpu Slim iPhone 6s 7 8 Plus X Xr Xs Max + Templado ,726,770,"
			
				Nuevo
			
			
				
					 - 
				
				342
				vendidos
			
		",(471 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,12,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-711298684-funda-ringke-fusion-original-iphone-x-xs-8-7-plus-antigolpe-_JM?searchVariation=32500121008,11,1,0,0,0,#711298684,Apple,IPHONE 7; 7 PLUS; 8; 8 PLUS; X; XS; XS MAX; XR,Ringke,Fusion,Rugerizada,Acrílico
11, Funda iPhone 8 7 Apple Original Case Silicona Soft Sucursal ,670,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1796
				vendidos
			
		",(233 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,183,https://perfil.mercadolibre.com.ar/TIENDASHOPEALO,https://articulo.mercadolibre.com.ar/MLA-640386439-funda-cafele-original-tpu-slim-iphone-6s-7-8-plus-xs-max-xr-_JM?searchVariation=19538549421,102,39,19,10,13,#640386439,Apple,"iphone 6, 6plus, 7 y 7 plus, 8, 8 plus, X, Xs, Xs Max, Xr",Cafele,Tpu Slim,Tpu Slim,Gel
12, Funda 360 Luxury Para iPhone 6 6s Plus 7 8 Plus Proteccion ,999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				200
				vendidos
			
		",(248 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,19,https://perfil.mercadolibre.com.ar/TIENDASHOPEALO,https://articulo.mercadolibre.com.ar/MLA-714609040-funda-cafele-tpu-slim-iphone-6s-7-8-plus-x-xs-max-glass-5d-_JM?searchVariation=22018425385,17,1,1,0,0,#714609040,Apple,"iPhone 6/6s, iPhone 6/6s Plus, iPhone 7, iPhone 7 plus, iPhone 8, iPhone 8 plus, iPhone X 10",Cafele,TPU,TPU (Silicona Flexible),TPU/Policarbonato
13, Funda Ringke Fusion Original iPhone X Xs 8 7 Plus Antigolpe ,622,659,"
			
				Nuevo
			
			
				
					 - 
				
				1325
				vendidos
			
		",(134 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,3.9,52,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-741182860-funda-metalica-magnetica-vidrio-iphone-x-xs-max-8-7-6-plus-_JM?searchVariation=36653627535,33,4,1,3,11,#741182860,Apple,Iphone X;Iphone Xs Max; Iphone 7; Iphone 8; Iphone 7 plus; Iphone 8 plus; Iphone 6; Iphone 6 Plus; Iphone Xr,Norcel,Magnetica,Bumper,TPU/Policarbonato
14, Funda Madera Real iPhone 7 / 8 Walden® Original Bamboo ,888,935,"
			
				Nuevo
			
			
				
					 - 
				
				65
				vendidos
			
		",(33 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,4,https://perfil.mercadolibre.com.ar/WALDENSTORE,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=MRoxoOmCrxPCFYlku7dpYJ2NvQSPHJlHyjQdQVZ%2FdgKp3PzXPX%2FKBxm%2FIiiLo3YTJhDGXb51UzuxuqvSoPFx8%2BO1qgJ6c1xPBQ6PTnLqicZFxCsUWwBlE%2B1A2f0QZ3cb5Y0auU%2FJpjliHyW5ytEdAvahmP2IkSWLWCD8B5FlKC%2BL1QkMoseGELbNuVa8CV7WghOlgRtQNH7VEdlw5p3275LhF76mYvDH9ZYyJa2MszE97y6sJRNrf2EsRESBmZhCci6ckx%2FDhpozwGhZ65Ddx8wRBs5EmqreHhBD5Ftda0jLtFkYXGdPhf5P5gGE70Z0RABzf3FWih6DSHi%2By7Uwln64DZ92NtkszbAut9GA0D4baxPBunA7FdW0AwliEwFFfAQqnV00V6hy0ZsLooUNjRvDXnAkPJRida290fSRL8fs5UIZ4wzAc4blymf1yxqgQcK8zv4Vhxp%2FSgBdMhOsfAhgrwXQlF8Eivp3eAXteGEfYiuuyNpY%2F%2FXlo40SYLK17oDgUCTJSNp0IhXCFFhmSWkTDKgq6ShoDKJ4pdrHqlqyVSm8wsBO2PNLF%2FbVInZV2uhwHUgPCMvsB3OCf8ZaZHm703MTDwMk0ptFLca4bOdP7M4FrJJar8ei1SWUhNY0pBHn0GShU6upyA7cvHngGj0XQxpwvgfdYiLA9GpZ86kIs3BoOZOvyO%2FsPjeX5EJf7NYgfhJwCocXfPrPfzBGhvsZQQGl1gKK107%2BuV3u9SMTwvVuweHeNqyx6LVwBb4ORqEbXgGwhbaFkjv5Cs%2FtjzglPzWDKxNhtEAr7Ujps3JjJlTB451XioN3hX%2BV0rl8gHOgo33yapK%2BtGmze82ALn0GUR9azkrHrpuAS1rWAY10Rh73BzEyGyY7mRL0y6FLVxZqY8VzoDYQLGcTweXTFfCdp1P6mGeu6r2qeZ%2B8hC%2FzqaMLyHVvSdB5CGJB%2FTPMGJwgGk%2BqQCifqOuN343KaJBrUsE%2F45T1dssjM4frry%2BvwwtdYmVJpBUgHwsBPhXSF8qv2MPJzoieESVjYlJpgBGUfesqrejCrGso5o94oyWcz6w831ZLIgtHwS4bxNeEUJRLBFWl0XXHZf9Xp%2B%2FGO0wz8kF30NK1Fr3Ab6xYrxqSr6xNv30P8%2BMCjiupWcM6qMs1Jmw8y0sS8Z8p5Dbk%2BSkgLVEjR4GDA%2F8UqPpfor03lFg9oWvuBaPptQBKDLDicAUONMG3Ay0YVy%2BdQ6Yn7rGBCHCPwtoxBLOoEzBF95wwhyxzAvSyR%2BpzS9FOBEa6Xxb1x%2BXQBfGFknKseM2pCf9qZktuAhoejBsZUZIEZeU6agi3iACH96TBjQ73xpjTBSQrlM8zQYdPORmXjMmslTwKeSS%2Bw58eatrQBOSJ4n7%2BznjBYPgh9PcwSwba2%2BjWZyp8l8InOXuFbffGZS5LDS824ZGaxJbWJNsk5wGGCeJtvgL62%2Fkh%2BTTyvReGHxkgF88DZ7bRA8nE6jMD%2BH7JCzd%2FYOlcjMxyh3LJFd4p290QWUFZdUih8kwpCpxhhviw8ywY%2B28nPP8uXeLxfFplwA2ubAaeGe4bK3ctz%2BWbPm2ThOhYoBnmaSCX%2FSnU9zh%2BSVbezIFxyTPrivdpIy%2FokxpGSVy4FEp%2BCMFrNIY%3D,3,1,0,0,0,#611405697,Apple,iPhone 7 / iPhone 8,Walden,Eco Classic,Back Cover,Madera
