search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material
1, Funda Silicone Case 5s Se 6 6s 7 Plus iPhone 8 Plus Original ,599,NA,2145,243,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,69,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-689528238-funda-silicone-case-5s-se-6-6s-7-plus-iphone-8-plus-original-_JM,53,10,4,0,2,#689528238,Apple,Iphone,Apple,Silicone Case,Silicone case,Silicona
2, Funda Ringke Original iPhone X Xs Max 7 8 Plus Xr +envio ,971,1029,1013,2,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,52,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-711298702-funda-ringke-original-iphone-x-xs-max-7-8-plus-xr-envio-_JM?searchVariation=32500129944,43,6,3,0,0,#711298702,Apple,IPHONE 7; 7 PLUS; 8; 8 PLUS; X; XS; XS MAX; XR,Ringke,Fusion,Rugerizada,Acrílico
3, Funda Silicone Case iPhone 8 6s 7 Plus Se + Vidrio Templado ,699,NA,729,337,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,13,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-722492563-funda-silicone-case-iphone-8-6s-7-plus-se-vidrio-templado-_JM?searchVariation=34039427293,12,1,0,0,0,#722492563,Apple,Ihone 6s 7 8 Plus,Apple,Silicone Case,Silicone Case,Silicona
4, Funda Ringke Original iPhone X Xs 7 8 Plus Max+vidrio+envio ,1122,1189,410,270,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5,21,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-749127423-funda-ringke-original-iphone-x-xs-7-8-plus-maxvidrioenvio-_JM?searchVariation=32500157139,20,1,0,0,0,#749127423,Apple,IPHONE 7; 7 PLUS; 8; 8 PLUS; X; XS; XS MAX; XR,Ringke,Fusion,Rugerizada,Acrílico
5, Funda Tpu Slim iPhone 6s 7 8 Plus X Xr Xs Max + Templado ,520,NA,616,823,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4,23,https://perfil.mercadolibre.com.ar/TIENDASHOPEALO,https://articulo.mercadolibre.com.ar/MLA-636606079-funda-tpu-slim-iphone-6s-7-8-plus-x-xr-xs-max-templado-_JM?searchVariation=28306700119,11,7,2,1,2,#636606079,Apple,"iphone 6, 6s, 6 plus, 6s plus, 7, 7 plus, 8, 8 plus, X, Xs, Xr, Xs Max",Sin Marca,TPU,Silicona,Silicona
6, Funda Metalica Magnetica Vidrio iPhone X Xs Max 8 7 6 Plus ,622,659,1330,248,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,3.9,52,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-741182860-funda-metalica-magnetica-vidrio-iphone-x-xs-max-8-7-6-plus-_JM?searchVariation=36653627535,33,4,1,3,11,#741182860,Apple,Iphone X;Iphone Xs Max; Iphone 7; Iphone 8; Iphone 7 plus; Iphone 8 plus; Iphone 6; Iphone 6 Plus; Iphone Xr,Norcel,Magnetica,Bumper,TPU/Policarbonato
7, Funda Silicona Premium iPhone 8 7 8 Plus + Vidrio Templado ,400,NA,1437,9011,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,37,https://perfil.mercadolibre.com.ar/GENERACIONUNO,https://articulo.mercadolibre.com.ar/MLA-687478565-funda-silicona-premium-iphone-8-7-8-plus-vidrio-templado-_JM,26,10,1,0,0,#687478565,Apple,"Iphone 7, Iphone 7 Plus, Iphone 8, Iphone 8 Plus",Soul | West,Cover,Silicone,Silicona
8, Funda Silicona Premium iPhone 8 7 8 Plus + Vidrio Templado ,400,NA,1437,9011,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,37,https://perfil.mercadolibre.com.ar/GENERACIONUNO,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=jCYXk4TKTOsX0qRJ9OLPVBLxSlDCq28VtjZMqlFUZXOth%2FfU2ibBKxVdIaP6l4Yq%2F%2Bbyk4lll5s9SyZ%2Fx1LLooUNNUIT9hUPRFsN9S5Oj3oOjFY9LSHThUY0K5JUBd8rIWWunJ%2FG41hpXqMOfLGClaDOKAZLNRuq8uzfHYdIMQr%2BPaDrYk7zVDGOydAZqDCCR35aqquMHjv0DVlgc8SABPYn1Sy9KAXTLMuqnA76tLdAMd8EFmCSVHd%2BlcpET4wxP6HQhtuc6Fel8eb%2BlQ4FCupFB4j4WzIMLgmGpTeV1e020%2F9dFfucZFoS4vJw0RTsFGwIRdFJT0EUv0V0GqMOsh%2FVy9rOkAM%2B5znrKrHnVHCQ%2F9NH1MTi75ZnbBs8nN0SHMYvSifghVYN7mUSFnU7%2FCWzqlzN00RYJglvmaMU1zxI9FdNSP913%2F6AnzH6Vbx1NDTGZE2%2Bf9pRlcre9XJRWEmu50W2fziwoDnE99Z%2FXN3D8na2Y3XtP3A6xtiuqJ6A6dwBV%2Fr1h59y3jStIaQxyOXCxaeccMf18lnK0%2FUeMEMirX5FPNqsSCuSMrmLNXwvazyOMCltwOOJr1nHM16qFPeVTnTU3M%2B7rn%2FiwL7B0dJTl9H7jTHEfrp3cVC21cl9b3Mbnjg9O5pE%2FeC3prE7JzJnNX0txSsK8%2FlnCloRhePvU7Ww5k%2FmSFIpV3jyJyUpv8GYLmlogz50pAh1M78b2TCMzc%2B4oWxPIJgZE8k7Th73hiK4%2Bg09HmJwZ4xdTtTT3ZA4RrdAMXfc9JF2Q6j6piq%2F14igXXuueYX%2B8FmvXQNp3tT3QOdg6%2BA%2B%2B19FzTYAKdt7zX3MXbpNh4x7%2FQfywJB6Q7IYcXtOK0AN2xqGdUOcuxVopUE6zQUQ%2Fg2fbosBCdD3ZqJlm0sLcyqUrdl9cNC6%2BWsreqsarKz1cEeYI%2FDdB4yqW3SvrTAp3pM%2BpAXTH1zk5%2FDO3S87xatLJ07tzVhdY%2F0S8II4fHzlgBN84xWJ3nckd2X6D1Eq8vIesFTosRzxViUXuojwZk7GTCI2bySQL4fyehxtW8i4cO0mAcbE3HMId7R9KylOeaM7JgddJ8rq%2FIpjPaSoggHei6jHxqWMcBbxSEJWRMILGzmLjzPzC7LYRF06I492TltC31OZg%2FdMtmtFMNSV19G318h%2FV2lGidWE9laC%2FAtZkBym%2Bc%2Fs9fUaFt9KuzprNyn6BezKMGUSXrDwau6g7jkhBgXmGizu3OGMHsWzZc6Hh2%2BCf83gUVUl%2B6pHjFbs8M1zcMkIJOkSyetWWKMyt8ldEMFjXX2TCWVUMLsfk3VrEOlxbsvB0wo0RrHo8f3x0uOsVOKLv0le%2BMRkoWC67ow5krjgC1xbtntDgAprzvyyCkqHn3OT4oJbv3DB0pk9zNv8UmVGvDdG5IsBGYotqEX0z0b6hYutIXRan9GIPzTIo6hw13AjfHlT%2Fhnao8c%2FJlwka0aE3DgSkQWwDhgyvZMtogmrx4%2FZeWouDfcEyamRcFcpmc%2BKoU%2FSZ2vNr66VIRX94m7wCEyoVUCfnk7bnWE9EwA3uzrhULcww0NB%2BnVQINIKG9LkgeRu%2B6jyjMhbi11np%2B7Yb0tlhc73WZ5%2Bhs5lFpNhCi6BIDA8HFwP2UvOrB0i3ygG,26,10,1,0,0,#687478565,Apple,"Iphone 7, Iphone 7 Plus, Iphone 8, Iphone 8 Plus",Soul | West,Cover,Silicone,Silicona
9, Funda 360 Luxury Para iPhone 6 6s Plus 7 8 Plus Proteccion ,311,329,993,179,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,72,https://perfil.mercadolibre.com.ar/NORCEL01,https://articulo.mercadolibre.com.ar/MLA-639436171-funda-360-luxury-para-iphone-6-6s-plus-7-8-plus-proteccion-_JM?searchVariation=33766199104,57,13,2,0,0,#639436171,NA,NA,NA,NA,NA,NA
10, Funda Silicone Case iPhone 8 7 Plus 5s Se 6 6s Original ,599,NA,418,100,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,9,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-686264793-funda-silicone-case-iphone-8-7-plus-5s-se-6-6s-original-_JM,7,2,0,0,0,#686264793,Apple,Iphone 7 8 y Plus,Apple,Silicone Case,Silicone Case,Silicona
