search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material,Fabricante
1, Apple iPhone 6 16 GB Gris espacial ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.mercadolibre.com.mx/p/MLM6055015?searchVariation=MLM6055015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2, Apple iPhone 6 64 GB Oro ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.mercadolibre.com.mx/p/MLM6055017?searchVariation=MLM6055017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3, Ringke Fusion Case Funda Rigida iPhone 7 / 8 Bumper + Mica ,219,NA,"
			
			
				
				286
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 2164
		
		 sin intereses
		
	

	
		",64,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,27,https://perfil.mercadolibre.com.mx/RINGKE.MX?brandId=873,https://articulo.mercadolibre.com.mx/MLM-566187365-ringke-fusion-case-funda-rigida-iphone-7-8-bumper-mica-_JM?searchVariation=29753835855,23,3,0,1,0,#566187365,Apple,iphone 7 / iphone 8,Ringke,Fusion,Alta resistencia,POLIMERO HIBRIDO ALTA RESISTENCIA,REARTH RINGKE
4, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2435
				vendidos
			
		",(84 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1494
		
		 sin intereses
		
	

	
		",94,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,81,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623748083-funda-tipo-piel-leather-case-iphone-6-7-8-plus-x-max-xr-mic-_JM?searchVariation=32254170260,71,9,1,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,Protector,TPU,NA
5, Funda Lujo Cromo 3 En 1 iPhone X 8 7 6 Plus 6s 5 Se ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6400
				vendidos
			
		",(88 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 939
		
		 sin intereses
		
	

	
		",39,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,347,https://perfil.mercadolibre.com.mx/ONE-CLICK,https://articulo.mercadolibre.com.mx/MLM-577013572-funda-lujo-cromo-3-en-1-iphone-x-8-7-6-plus-6s-5-se-_JM,234,61,31,11,10,#577013572,Apple,iPhone 5 / 5s / SE / 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / Xs / XR / XS Max,3 EN 1,Funda 3 en 1 Lujosa,Funda Protectora de Lujo,Plástico,Apple
6, Funda 360 Lujo Espejo iPhone X 8 7 6 Plus 6s Se 5s 5 + Mica ,189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2758
				vendidos
			
		",(55 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1050
		
		 sin intereses
		
	

	
		",50,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,103,https://perfil.mercadolibre.com.mx/ONE-CLICK,https://articulo.mercadolibre.com.mx/MLM-605956130-funda-360-lujo-espejo-iphone-x-8-7-6-plus-6s-se-5s-5-mica-_JM?searchVariation=27291542355,76,12,7,4,4,#605956130,Apple,iPhone 5 / 5s / SE / 6 / 6s / 7 / 6 Plus / 6s Plus / 7 Plus / 8 / 8 Plus,360° Espejo,Funda Protector 360°,Funda Protectora,Aluminio,Apple
7, Funda 360 iPhone X 8 7 6 Plus 6s 5s Se + Cristal ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3977
				vendidos
			
		",(61 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 939
		
		 sin intereses
		
	

	
		",39,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.2,222,https://perfil.mercadolibre.com.mx/ONE-CLICK,https://articulo.mercadolibre.com.mx/MLM-580652933-funda-360-iphone-x-8-7-6-plus-6s-5s-se-cristal-_JM?searchVariation=27291722345,135,38,17,12,20,#580652933,Apple,iPhone 5 / 5s / SE / 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X,Funda 360°,Protector 360º,Funda Protectora 360°,Plástico,Apple
8, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2435
				vendidos
			
		",(75 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1494
		
		 sin intereses
		
	

	
		",94,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,81,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=YF2kypeS8Sy07KcA%2BPdhSAkXDXgVnicBXDxkFr9gZADzkyTxmXSCrux2sblF1pAbOxQGV%2FokNXCgLhJy1Jk7qgbeVb5u8veRaloP14K7L4IpVEriBnioesbobDwrySoxP0Lw92z4cGcMdOWEhFmI04gYMHyz9UIY%2FxaJVOyK7TJ21B7I9oSMtpd3pG9A2Amw9pOqJUE7BeEAg0u16IEVZ22nQxwf2rjyQAqvEXQy3T4V5XfpkzMJpfzkz%2B3YoQZCcaNJnzEQtDPgmFk7hAh3rSO4V3bFtDCRTlUZIBaKG%2BCa3mjZbWhmaEbP2bW59F8TrzCcGS90hIv7AQxSjpHfATo%2BNfBxV3pegef9u1KXAx75XJi9dXuB7k7yKxHXBT%2Bwe13XKBlzOFLWtmBMfMfGuPMJUV8o1YbnHnxg%2FuBJvZ3I8KF5ftCKdIdlzSlek0R11LJ2tKi7lxcL8UeRQe8TNs7iKFPxEsKrKSHGDtXOXL4U3J4xQUGzqusWysXaysLhHcEVZVewIU1u%2FxdjAhNHJKOoWM%2FlDedDDfcnygamfoAAVya6JBV6tOZU4ObI5Ph%2B%2B%2Fh6JwKPBHiTffMdXP0XM%2FiEqgtwl%2FK2RkW1ZTNGo85qZKZAgH2SuZwYhm%2BPKIBNjQpvXVu7mm20osiEBhbLXyFvEyzCi01xRmJ7pH7W1HHdjtTX1r2PO1IJVgK9%2FVP%2FSezLzuJ9Y91CxyhpiQjUSbUANJ0UgNiROYsFSeLk9McYLQUiw1KXiz%2BmNKVJ%2FSw4f0M%2Fscv0X8zjrGt%2F0p6qtp1GwRhio5ChetH88Ml6KiSECpn%2Br4zYy9xpwBgvKl%2FxBuUhtYaKb4s%2FfICqEbzkPl%2FEyv8SUkYtAqM5coCcxqljYc1fDGCwmXw5wmLsXLwMaG5aKnY45FOgDKWRscHDPTa8SXpvqwY1wOu%2BMq0pfXjr046l5I3%2F4Cn7MPw4y6sWYtOkUDgUp9u56sP%2BkR1%2BC0kWDBgA2Apk2KwoaNbaIcyOiaAHcr%2FdxWeEnmwdsWp3Q%2BVVOFvCkrdNOPrRDTA8l6VQ7falzZNO5KrcYZngO0U7XyraLAJP1tKCe99p4TyLGHvpQGi%2BKXBiJu8QwtccIlxuPxrtxv706irIIMKsg0vPbChm7vaVg1idyKXAsKJuC%2BzhSWkVnSLWNTLXBqrc8BFxwXDHYMGegpD4dwCJxU6uEkEvG6FtHz0IN6u11BXP%2F3UH35zOY6g4zrHybyHiZkbf5dGLUwNbEWzYf%2Bg9JTFMyjz1fOgNxTY3%2B9Va6AqDbkMCgCKZTxhJMwsWZXqImLIGWV2Lp0GoKHgBBLkV7h3YDbMQ%2FRT9yDyukVC7s2dNwTKoQzzWAs0oTQW8ESNK3jA5gWvAx1P0mQJIu2eAOrCP%2Bqsj2dgYAko4tB3T2Bz0r21gcU2l8h8YfOcW05MDV9i%2FsbNsZmjE%2B4JlK4kMROEGqUtLmGIykmT7JjpjtHSVxcFQhPVdfKrw%2FKqVPrAsMtPdYTR%2FbKUntPidesA0jSw5l3LOl46agjizglqT9wfLxCD2NfADtCC2JrN9ZzFZTU9w9%2BRwpy7fNNBhbXrP83hOWbW9J7oGYG0A9YxwgX%2B27VOzPJy79KyNQVEidAfPK8NgLf9O%2BMVmtCCuqgTjJtqjug7zFOI7r5TbVROUMjRslLhqp6gdjzd8TBir5mVZ5rXcCMOBiQB%2FFKcLa928xis%3D,71,9,1,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,Protector,TPU,NA
9, Celular Apple iPhone 8 64gb Liberado + Audifonos + Funda ,"9,999",NA,"
			
				Nuevo
			
			
				
					 - 
				
				173
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 55550
		
		 sin intereses
		
	

	
		",50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,107,https://perfil.mercadolibre.com.mx/TEKKNOSHOP,https://articulo.mercadolibre.com.mx/MLM-644856769-celular-apple-iphone-8-64gb-liberado-audifonos-funda-_JM?searchVariation=30987052344,88,13,3,0,3,#644856769,NA,NA,NA,NA,NA,NA,NA
10, Funda 360 Bicolor iPhone X 8 7 6 Plus 6s Se 5 + Mica ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2038
				vendidos
			
		",(55 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 939
		
		 sin intereses
		
	

	
		",39,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,101,https://perfil.mercadolibre.com.mx/ONE-CLICK,https://articulo.mercadolibre.com.mx/MLM-604203954-funda-360-bicolor-iphone-x-8-7-6-plus-6s-se-5-mica-_JM,65,18,8,3,7,#604203954,Apple,iPhone 5 / 5s / SE / 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X,360° Bicolor,Protector 360º,Funda Protectora 360°,Plástico,Apple
