search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca de Celular,Modelo de Celular,Marca da Capa,Modelo da Capa,Tipo de capa,Material,Cor
1, Capinha Capa Silicone C/ Logo iPhone 6s 7 8 Plus X Xr Xsmax ,33,NA,"
			
				Novo
			
			
				
					 - 
				
				896
				vendidos
			
		",(4480 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 566
		
		 sem juros
		
	

	
		",66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,13,https://perfil.mercadolivre.com.br/MALE2382936,https://produto.mercadolivre.com.br/MLB-1248683581-capinha-capa-silicone-c-logo-iphone-6s-7-8-plus-x-xr-xsmax-_JM?searchVariation=38604797244,10,2,1,0,0,#1248683581,Apple,iPhone 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / XR / XS / XS Max,Silicone,iPhone 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / XR / XS / XS Max,Apple Case,Silicone e microfibra(camurça),NA
2, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Aveludada ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				855
				vendidos
			
		",(91 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 572
		
		 sem juros
		
	

	
		",72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,17,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026051169-capa-capinha-ultra-fina-fosca-iphone-6s-plus-7-8-plus-novo-_JM?searchVariation=33828135574,11,4,0,0,2,#1026051169,Apple,Iphone,Bumper,Silicone,Slim,Silicone,NA
3, Capa Case Capinha Silicone Aveludado iPhone 8 Preto ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				464
				vendidos
			
		",(7504 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,12,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1213994623-capa-capinha-magnetica-luxo-iphone-7-8-plus-x-xs-xr-xs-max-_JM?searchVariation=38590025464,12,0,0,0,0,#1213994623,Apple,iphone,jk capas,Magnética,capa protetor,metal e vidro,NA
4, Capa Capinha Anti-impacto Shock Borda Reforçada iPhone 8 ,35,NA,"
			
				Novo
			
			
				
					 - 
				
				290
				vendidos
			
		",(10938 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 583
		
		 sem juros
		
	

	
		",83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,9,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1197368219-capa-capinha-ultra-fina-fosca-iphone-5-6-7-8-plus-xs-xr-max-_JM?searchVariation=34356084379,9,0,0,0,0,#1197368219,iPhone,iphone,jk capas,ultra fina fosca,capa protetor,TPU/Policarbonato,NA
5, Capinha Silicone Aveludado iPhone 8 Plus Verde Agua ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				259
				vendidos
			
		",(16495 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 833
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,15,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1210095124-capa-capinha-anti-impacto-4em1-iphone-6-7-8-plus-xr-x-xs-max-_JM?searchVariation=35219107406,12,2,1,0,0,#1210095124,Apple,IPHONE,JK CAPAS,CAPA 4 EM 1 ANTI IMPACTO,CAPA PROTETOR,TPU/Policarbonato,NA
6, Capinha Capa Case Silicone iPhone 7 8 Aveludada Lacrada ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				214
				vendidos
			
		",(286 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 580
		
		 sem juros
		
	

	
		",80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,9,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165539317-capinha-silicone-aveludado-iphone-8-plus-verde-agua-_JM,8,1,0,0,0,#1165539317,Apple,Iphone 8 Plus,Apple,iPhone 8 Plus,Silicone,Silicone,NA
7, Capa Case Capinha Silicone Aveludado iPhone 8 Plus Branco ,16,NA,"
			
				Novo
			
			
				
					 - 
				
				983
				vendidos
			
		",(7 disponíveis),"
	
		
			
		
		3x 
		
			
				R$ 566
		
		 sem juros
		
	

	
		",66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,29,https://perfil.mercadolivre.com.br/NOMOTEC,https://produto.mercadolivre.com.br/MLB-1047628140-capa-anti-impacto-pelicula-gel-p-iphone-5-6-7-8-10-x-xs-xr-_JM?searchVariation=36089029726,21,5,2,0,1,#1047628140,Apple,Iphone,HR,TPU,Capinha de silicone,Silicone,NA
8, Capinha Casca De Ovo Ultra Fina iPhone 7 8 Plus X + Pelicula ,32,NA,"
			
				Novo
			
			
				
					 - 
				
				395
				vendidos
			
		",(806 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,7,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=YFkcDgW5Hc6P0nqadShwZoGEVZVvk%2FUi41d04rf5KniJshXjHVZ0%2BH5gpTNZukCkKnxdux7AdOHK%2BIyCcfL6RTZeuMRSMd3U20t%2FQG7M7%2Fa1z%2BIap1RcQnKgs7AQ3XdvrKGX3R%2BGl7ooLDv9nf4zfXcKg3vXvuZMGzx0RIDZFmYgrNiqmmRhcZFYMAWSume2bx9wD%2FMl6w4%2BAaY%2FH47ApLycW2FytcUMBES4uWm714xwp5HsFw1Aitz503K178hph9tfi7dnPQc5ReivkylyNgIShG3vxVZuCK2%2B0YuhDSInwROnVtrXw6Kt9Bs2hHoqiBiAWwcWN2NgoMkaixgVLgH8JyhS4KDO4DPkO7u9P3tXaJiCNHdNA60hyjtzrSTYgFf8pshqKtCWGgH%2BdEVW9cW0OI4809R3QCGuHU2gKaCm3QyqAufS1RwcBG59YNZ%2BbLpcicUMpY8UDMeRj2qZstns0XdknhE8osi8qKNWxm6Q9c7a3OXyZSv%2FG8TcBaTBbriyhmY2SayrdWgaoX62nuSks7iDjXe46hApLSFpVDLpblcUePsHnoThjPpdVaJR84O1VXZXE2c4PE%2FNQsFqoUKcqbBPzXkTJ6oFo1xsBICdl2RNOA%2FzkMu%2B9jgqWNtKIZe%2BPIAoi6zNSSl4No4t2A7QTXrJRCfjUHaS%2BiaBPvs3kRWnmN%2FPJl2TsmmBH0erbt1GmFNwtZTRcdhyZKzSrnyGioZTrUyHcESDwZZ0TcOYTHFzomTYuXj6bucxePZvOAQBCiuNUslBt%2FbnlcMCWLQOBVS7PTqauoSiJNEtn7CLF05rc0LglV94i%2FvPl0kmf4ohDpk6f5xAsC7BdkGHXgo1Gw5wO2MiTSY54GpzQYVjerP0X3mScgtIsg4Fh4BXkTxPh4YFv3B2UpHkpq7kFyzc7NcF8pZzI3zKt%2Bgyjp0GfpVTi%2FnCyWjCmW%2F6kGBU9AxOVRs2VbuRWQtpY5P8N707u5kb8Xkzc%2FmVcGY%2FPy92NGkHZWMSb5nsHg1BtEwiMoRZ7w1fGI75XoXzH31pX%2FMMkAN4n7I%2FHJxgIyzW%2B5EaIjJUHt%2Ff%2F6o6oDt58Sm6d3Uyg9hJRpHksTxGNu88k6BolHgt5h82QMRN%2FnWsLoQeuWJskI0ordHmRx%2FoXQoXeVHzY5KaXHeGZqc4dYjncVlK61I6gwKF7qRWctLdFb2lIv3hM82UcnombeZFx6r%2Fx1FfLmLgyi2jhVHNoWs6Pf4ooT8mi6e4SdOqMXVv1%2BgQoKyGEoRiD9x%2FY1BMu5KHL27zwwFT39zILxAwKloX50AGDW4siA0Y%2FcrWrB%2FqrYiReSG%2BE%2Fe2kcnma%2BZ7d7KjoKeEdfh4qsXj5FVIp75vdSv9qVM6UC7mSyPMcTEdif%2FfK8HkjrmrHwPIo6nuX2FL6S5pv58Pil23ZrIRAPjFuJZO%2FpUB003AKT0xgQnKyNnxMbohnqmtqKLZ2PqGkx%2FMEgcee09%2BXq%2FUDMx0zWKdsPv8fPj6cR3dIYDU7q3HC%2F7h3ep9kAgpEvEQxP6jdSby2ogDpI0%2BVsSdKfQjlXlczE4NYVaxnyB1T1uq70TT2S78vMHQs5ALOinWyeUGIxqv,7,0,0,0,0,#1246923437,Apple,iphone7 plus  iphone 8 plus,Silicone,iPhone,Silicone,Silicone- Aveludada,NA
9, Capa Capinha Case Magnetica iPhone 6 7 8 Plus X Xr Xs Xs Max ,15,NA,"
			
				Novo
			
			
				
					 - 
				
				499
				vendidos
			
		",(18 disponíveis),"
	
		
			
		
		3x 
		
			
				R$ 533
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,8,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1230329082-capa-anti-impacto-p-iphone-6-7-8-10-x-xs-xr-pelicula-vidro-_JM?searchVariation=37033346817,6,2,0,0,0,#1230329082,Apple,Escolher no anúncio.,HR,TPU,Capinha,Silicone,NA
10, Capa Capinha Ultra Fina Fosca iPhone 5 6 7 8 Plus Xs Xr Max ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				467
				vendidos
			
		",(68 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 572
		
		 sem juros
		
	

	
		",72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,11,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026034649-capinha-ultra-fina-fosca-iphone-6-6s-plus-7-plus-8-luxo-capa-_JM?searchVariation=33827713956,8,2,1,0,0,#1026034649,Apple,Iphone,Bumper,Silicone,Slim,Silicone,NA
