search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Marca del celular,Tipo de funda
1, Mophie Funda Bateria Juice Pack Para iPhone 8/7 Plus Negro ,47.99,69.990,1,2,6,7.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-475910245-mophie-funda-bateria-juice-pack-para-iphone-87-plus-negro-_JM,NA,NA,NA,NA,NA,#475910245,Mophie,NA,NA
2, Tech 21 Funda Dura iPhone 8/7 Plus Evoke Transparente/azul ,23.99,NA,1,9,6,3.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-496719646-tech-21-funda-dura-iphone-87-plus-evoke-transparenteazul-_JM,NA,NA,NA,NA,NA,#496719646,Tech 21,Apple,Carcasa
3, iPhone 5 5s 6 6s 7 8 Plus Carcasa 360 Slim Gkk | Kyrios ,6.99,NA,85,4,6,1.165,NA,Envío a todo el país,NA,NA,4.8,6,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-473097419-iphone-5-5s-6-6s-7-8-plus-carcasa-360-slim-gkk-kyrios-_JM?searchVariation=41301697056,5,1,0,0,0,#473097419,GKK,Apple,Carcasa
4, Carcasa Silicona iPhone 7 iPhone 8 Apple Colores | Maxtech ,8.99,NA,78,2,12,749,NA,Envío a todo el país,NA,NA,5,3,https://perfil.mercadolibre.cl/MAXTECHCHILELTDA,https://articulo.mercadolibre.cl/MLC-441102468-carcasa-silicona-iphone-7-iphone-8-apple-colores-maxtech-_JM,3,0,0,0,0,#441102468,Apple,Apple,Carcasa
5, Apple iPhone 8 64gb Nuevo + Lamina Y Funda - Phone Store ,699.99,NA,164,736,6,116.665,NA,Envío gratis a todo el país,NA,NA,4.8,40,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-450308147-apple-iphone-8-64gb-nuevo-lamina-y-funda-phone-store-_JM,34,5,0,0,1,#450308147,Apple,NA,NA
6, Carcasa Original Ipaky 360º iPhone 8 Plus + Vidrio Templado ,13.99,NA,3012,4,6,2.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MONKEYCOLOR,https://articulo.mercadolibre.cl/MLC-451130493-carcasa-original-ipaky-360-iphone-8-plus-vidrio-templado-_JM,NA,NA,NA,NA,NA,#451130493,Genérico,Apple,Carcasa
7, Carcasa Original Ipaky 360º iPhone 8 + Vidrio Templado ,13.99,NA,3019,6,6,2.332,NA,Envío gratis a todo el país,NA,NA,3,1,https://perfil.mercadolibre.cl/MONKEYCOLOR,https://articulo.mercadolibre.cl/MLC-451127669-carcasa-original-ipaky-360-iphone-8-vidrio-templado-_JM,0,0,1,0,0,#451127669,Apple,Apple,Carcasa
8, Carcasa Love Mei iPhone 7 8 X Y 7 8 Plus - Tecnostrike ,20.99,22.990,334,26,6,3.498,NA,Envío gratis a todo el país,NA,NA,4.1,13,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-435358128-carcasa-love-mei-iphone-7-8-x-y-7-8-plus-tecnostrike-_JM,8,1,1,3,0,#435358128,LOVE MEI,Apple,Carcasa
9, Carcasa Transparente Reforzada Para iPhone 8 Plus Miaustore ,1.99,NA,26,9,12,166,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MIAUSTORE.CL,https://articulo.mercadolibre.cl/MLC-453525745-carcasa-transparente-reforzada-para-iphone-8-plus-miaustore-_JM,1,0,0,0,0,#453525745,NA,Apple,Carcasa
10," Tpu Silicona 360 Carcasas Para iPhone 8, 7 Y 6s ",7.99,NA,21,5,6,1.332,NA,Envío a todo el país,NA,NA,3,1,https://perfil.mercadolibre.cl/VAPORISLANDCHILE,https://articulo.mercadolibre.cl/MLC-461042132-tpu-silicona-360-carcasas-para-iphone-8-7-y-6s-_JM?searchVariation=38943862593,0,0,1,0,0,#461042132,NA,Apple,Carcasa
11, iPhone 8 Carcasa Sublimacion 2d Pack De 5 Uni ,12.8,NA,22,68,6,2.133,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/AMPLEX_CHILE,https://articulo.mercadolibre.cl/MLC-455544333-iphone-8-carcasa-sublimacion-2d-pack-de-5-uni-_JM,NA,NA,NA,NA,NA,#455544333,NA,Apple,Carcasa
12, Carcasa 360° iPhone 8 Plus 7 Plus + Lámina Negro 3 En 1 ,9.995,NA,37,2,6,1.666,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452824745-carcasa-360-iphone-8-plus-7-plus-lamina-negro-3-en-1-_JM,1,0,0,0,0,#452824745,NA,Apple,Carcasa
13, Carcasa 360° iPhone 8 7 Plus + Vidrio Templado Rojo 3 En 1 ,9.995,NA,11,5,6,1.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452825550-carcasa-360-iphone-8-7-plus-vidrio-templado-rojo-3-en-1-_JM,NA,NA,NA,NA,NA,#452825550,NA,Apple,Carcasa
14, 10 Carcasas Magnética iPhone 8 Plus Por Mayor ,69.99,NA,0,9,6,11.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALONLINE+EIRL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=kmnL064DSpDO819ZEE7cuj2jMTkUTZD%2B%2FOwEFIGNVfl6fI1diiF7voy4zcbCPQ71BBKe%2Fd40uDRJEf4jf1CCuJ5xXqdIYLycPntKZcM%2B%2FwGyGAj%2F6lB%2Brgmdl8BTwzbyRKaDiocYkeWIHtbGBJ33IBcxVZfztIU0s3isFnyDwXANVxGVOYXnYfN5No%2F5YAUkvi5rc1wvpcVHTmxA9k%2FKkhBFcmEP54y4MV5aGJna6dJBXeYGhMNkkNGO8ZSAOwc0kGmouoSEfywux1rXNS0yf4EUGzPBHptpWraKA7APpPcKXYGvwYeRXmfbM5RVqstdDAs3KDawP6JG8Zf%2F9PXo11MVpQjNvkP9B4tusBjzb3b177IsSBgPslD8i0vDrV8GpsF%2FXGbGSQ79bN3dlAqT0pF7pl4Hf4AWVLS4n0u4qdK83XNTEL64aOumQi1xCAshruvFLgOiculEJDGru2Fbih7S6V9FdwOHSwoBco8mLmk91L9cj9DrX3wGdTLj6iMlfsA6xFHTlLk5prZvqL3QvfinAP2Kf9INmkhHdvFh%2Bvmf0haQDWLtvZ%2FodCGUkl7RkoPajoNgOxYAVIY8w91qb%2BKwKF3P8XT4b1A55u1S%2FGDNnns%2FBb%2Bfjh%2FtaVrspASjzmTlndWWjhAklpzXWx2qZvJCwQh63yIUDDR5InJ07ApTmhgbSvdrX4KBmPRVTncUS8j5Z%2FswBqfUZC4KBLx3xqFnVSbJLJVehsy0U7V1PBNvf4MF%2FKD0BsJqHUStWetSrheMHoUIDWmy3zJDrtxszE8jPM%2B7ef8CHMGxNauIfDFF6mshn21k3%2FG2jvl7uMtijMkK9EaC%2BhiczSQGV0VxlmQHEhzp3N0o5cZRq7OhzKeKVOiCZBGEoZu%2BpXnvvUQ8%2FBIxtpKmge7kTuqeTC4cIz3w%2FYF2VngEB3Y8dsRMhTfQ%2Bg%2B6rZZwIsuPXiPbEGOdMKVdvhLfptfXqbWjR48tHJ%2B7Wxzdh%2BzcdYhGlRjNsynLKu%2B9uM81GsLkUFp6iBvCY%2BTQwyCC%2Fst1qVW6Go73WUx77zF9bOrcbEcKOdqyHK6f%2BiWe6NF24wa7r%2FWaOB0dk8s8HsudA8FKpR4AY4gC2%2FUv%2FCmZ2cc9vGfAD%2FaZzAWKmX0N7Efl9mBrSf1bRPasuenjurMDCApOvCL8N4AseX4pZIOQPEveJhIZZzLQeWmt%2Fcz1VZmY4%2BS5UeAFgR7jRHilbo9XRKrzV%2BWCVDKmjIAxW9dio00J7SzFfiR66cecz9t6pRyXO9yYQD3Kx%2BYj1WcQspl0qK%2FTFdS4fDx4zYTx3o6Wf0epz5tK1329mNRTUdjwLjezqO0oKSmDGSQBkB1b9Cpicqs7PMy6QBLOXB9ID5JjT1CA3%2BDSeZmLjiSixvYUYd9sBMALFARugaVFv0a5r3719%2Fb29guPAeki7rFAF%2BBA9gL10ESA7HnvVnH%2B%2BC3ddHUjj7SBXbLP%2BHykw8qWts4UW5HHGtJ1xZwNesKqVEwsb%2F65Vpa2W8ablimEkyfv%2BNc13L9H%2FSiW1VUMLKIlO%2BA%3D,NA,NA,NA,NA,NA,#471393023,NA,Samsung,Carcasa
15, Carcasa Proteccion 360° iPhone 7 Y iPhone 8 - Tecnostrike ,15,NA,12,8,6,2.500,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-470875704-carcasa-proteccion-360-iphone-7-y-iphone-8-tecnostrike-_JM,NA,NA,NA,NA,NA,#470875704,Baseus,Apple,Carcasa
16, Cafele Carcasa Magnética + Vidrio iPhone 8 Negro ,13,NA,10,3,12,1.083,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CUATRO+GLACIARES,https://articulo.mercadolibre.cl/MLC-480448512-cafele-carcasa-magnetica-vidrio-iphone-8-negro-_JM,NA,NA,NA,NA,NA,#480448512,NA,Apple,Carcasa
17, Carcasa Otterbox Defender iPhone 7 / iPhone 8 ,19.99,NA,21,174,12,1.666,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/SUSPENSIONTRAINING,https://articulo.mercadolibre.cl/MLC-471755427-carcasa-otterbox-defender-iphone-7-iphone-8-_JM,1,0,0,0,0,#471755427,OtterBox,Apple,Carcasa
18, 10 Carcasas Magnética iPhone 8 Por Mayor ,69.99,NA,0,9,6,11.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALONLINE+EIRL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=eEN4PgEJ%2Big989uyZI3XAfNxkbmTQ%2FzXKrLgwcgkNu9V1BKXfZs1UoP7JUWkgPrBBPFR7nSCx7k4etRpbyotDY0hswTAx1%2BqTc04iwAJ23qVF5q4d2GjZ5GmCwO3fttbGQFciuDgVdG3QSMH9gbEFcJ2ek5Y7qRTOC0NunY%2FjytCJMLzu%2BFG%2FF4APJ3RdgbUCQN8C3r5iTq49i9uwbQEKkzkDL304Jb2dPS8wCvdxoaXWLcZRGuTZpvhLhfFTUxVxlhSi4mq90yzbl%2BULwAX9qpkU13aA8Y9VVuIvdnSqKdPzyaYHPgaYouX5ZvURvWovOnJ%2F0Sd37Rua3BOlZuNKwT3WsSxQ%2FJb15D2vL3t2pUYby%2BQx%2F6QnQjXEiDurH4MVnOWElNYK%2Fw7%2Fo%2FDW8GrBAqQ2RtwyKXSuW1FsVxzGYOvneTsWFMZVVht9L4h2n2IPxbt5A5jpej%2BFzoAnL4jwLI5%2FVQHCsjN2%2FbE%2FItMAqL%2Bsy6yHbjPK8k39ZmKw1WNMwqUQVqUBjr0sNuBI%2B4lfB7gKjMKaRb89CByr2sT60WorFgU82FsbcTu2hsiU7hfZlFFPBASdTNUGr63PO2LccrfMQzY4a37kMyqlLZRJLztQFAuQONUCJuDaHjVi8xNMTEhg8pGgLaQRPpk9rzpFJuzjj2v4bx17i6tbZb5RAB4Le8wPKMfUqyZ8Pu9Jufn5H0XG2Ar%2FL3FYl3o63e%2FmfESPDFWb9A%2B5hMiROW0K%2BrNtyY4SBLttsUeTjTkFDDrDvlOsB1OcZy3OGWSVMH17yw56rBk1SoKCBnIsJHd5mvPZNpe8yZoDMij%2FhFNDuaLmZdGiwrBhsMFErkKCExjDYjPXnOpQKI1vU5tV0mnO%2FuPrj22OktdFjhmTrA7AxpnKrHNKSSBhYvrkwTJsfyPMahFwEUswVXcFSW9aOim%2Frg7IhyONPMC2t7Y%2FAL%2FtBJ%2FCJPnaSik7lj0q3FAkBuMZ%2FiymV2gR5ipE%2BvUHwm3EsM59hJx3vru43NECd%2B4kG%2Bbr0rxRCYHX5a%2FnobmRi3QHdCQ2jRXuEeeCRDJVxdVE%2F%2FSaNxxPjB%2FjradHJL%2BWm%2FaEuHXiYKZlLT8L6rtdaL85UGurT6vVV9ikjvWKeflRqAcmOHXg8E0yAvzqxQyfXb7j%2FCQU9SSG0Y%2F7x0br5W%2B9ev%2F%2FrJcekbzIOXLL%2BKoHXTX%2FAqtHj5BowMtghAje9EJFAIAOZokEgmJUvxHZ5UyyhpaeDZt1PsdlYcFe72vnEQwDqH0ZDM4r%2BdJQRo5fH0P7UurUUC5KlrSlVIK3jP%2FzVt9x0h%2BhNKBM%2BabXgyLSs0HH0jfAK%2BN30kj1QYcamuykokDcyqZDyGOIB8ZNMy71chhkyxNCZK83ioCkNPxE9nobVQGBg6V75cI6ARpCp3%2Bs%2Bq%2F1bG5wOlU2MX5AvIvt4gh%2BnAV1v6aJ0Xtvw14BSsqoHV30AdRiKCVArM6EIyGgp%2F0gec8MyRrbhJFPDO7GbvxkX1II5TqopxBbqBSHh5BaHUM38idfzdTPOi1HfR1,NA,NA,NA,NA,NA,#471392962,NA,Samsung,Carcasa
19, iPhone 8 Plus / 7 Plus - Funda Carcasa Dorada Protección 360 ,10.99,NA,2,7,6,1.832,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-492274577-iphone-8-plus-7-plus-funda-carcasa-dorada-proteccion-360-_JM,NA,NA,NA,NA,NA,#492274577,GKK,Apple,Carcasa
20, Carcasa Silicona Transparente iPhone 8 Miaustore ,1.99,NA,4,6,12,166,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MIAUSTORE.CL,https://articulo.mercadolibre.cl/MLC-453749078-carcasa-silicona-transparente-iphone-8-miaustore-_JM,NA,NA,NA,NA,NA,#453749078,NA,Apple,Carcasa
21, Carcasa 360º iPhone 7 I iPhone 8 I Full Protección I Tpu ,1.99,NA,10,6,6,332,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/VENTAS+ELECTRONICAS1,https://articulo.mercadolibre.cl/MLC-459074884-carcasa-360-iphone-7-i-iphone-8-i-full-proteccion-i-tpu-_JM,NA,NA,NA,NA,NA,#459074884,NA,Apple,Carcasa
22, Carcasa Metálica iPhone 8 7 Negro Lunatik Taktik Armadura ,23.99,NA,10,2,12,1.999,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452413396-carcasa-metalica-iphone-8-7-negro-lunatik-taktik-armadura-_JM,NA,NA,NA,NA,NA,#452413396,NA,Apple,Carcasa
23, Otterbox Carcasa Symmetry + Vidrio iPhone 8 Plus Negro ,19.99,NA,3,2,6,3.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CUATRO+GLACIARES,https://articulo.mercadolibre.cl/MLC-481927101-otterbox-carcasa-symmetry-vidrio-iphone-8-plus-negro-_JM,NA,NA,NA,NA,NA,#481927101,OtterBox,Apple,Carcasa
24, Unica Arena Carcasa 360 Con Logo iPhone 8 8 Plus ,9.99,NA,27,273,6,1.665,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/AERRECOMEX.COM,https://articulo.mercadolibre.cl/MLC-462074236-unica-arena-carcasa-360-con-logo-iphone-8-8-plus-_JM,1,0,0,0,0,#462074236,NA,Apple,Carcasa
25, Cafele Carcasa Magnética + Vidrio iPhone 8 Rojo ,13,NA,4,2,12,1.083,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CUATRO+GLACIARES,https://articulo.mercadolibre.cl/MLC-481798379-cafele-carcasa-magnetica-vidrio-iphone-8-rojo-_JM,NA,NA,NA,NA,NA,#481798379,NA,Apple,Carcasa
26, Apple iPhone 8 Plus Case Cuero Premium Nillkin - Prophone ,15,NA,6,965,6,2.500,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-455903823-apple-iphone-8-plus-case-cuero-premium-nillkin-prophone-_JM,NA,NA,NA,NA,NA,#455903823,Nillkin,Apple,Carcasa
27, Apple iPhone 8/7 Plus Case Eton Premium Nillkin - Webphone ,9.99,NA,2,8,12,832,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/WEBPHONESPA,https://articulo.mercadolibre.cl/MLC-475197980-apple-iphone-87-plus-case-eton-premium-nillkin-webphone-_JM,NA,NA,NA,NA,NA,#475197980,Nillkin,Apple,Carcasa
28, Moshi Sensecover iPhone 8/7 Funda - Beige ,98.555,NA,1,NA,12,8.213,NA,NA,NA,NA,NA,NA,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,https://articulo.mercadolibre.cl/MLC-498522350-moshi-sensecover-iphone-87-funda-beige-_JM,NA,NA,NA,NA,NA,#498522350,Moshi,Apple,Flip Cover
29, iPhone 8 Plus / 7 Plus - Case Carcasa Dorada + Lamina Vidrio ,19.99,NA,1,4,12,1.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-498947321-iphone-8-plus-7-plus-case-carcasa-dorada-lamina-vidrio-_JM,NA,NA,NA,NA,NA,#498947321,"Original, Legitima, Auténtica y Genuina - Fabricantes: GKK, Nillkin, Lenuo, Mofi, Goospery, Cafele, Enkay",Apple,Carcasa
30, iPhone 8 / iPhone 7 - Protección Carcasa Roja 100% Original ,10.99,NA,2,3,6,1.832,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,https://articulo.mercadolibre.cl/MLC-492398182-iphone-8-iphone-7-proteccion-carcasa-roja-100-original-_JM,NA,NA,NA,NA,NA,#492398182,GKK,Apple,Carcasa
