seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
TOPTECNOUY,http://perfil.mercadolibre.com.uy/TOPTECNOUY,14,14 años vendiendo en Mercado Libre,118510,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,115212,Negativa (653),Neutral (5503),Positiva (109056),"Ciudad Vieja, Montevideo.",NA
MUNDOSHOP.UY,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,11,11 meses vendiendo en Mercado Libre,1585,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,788,Negativa (4),Neutral (13),Positiva (771),"La Comercial, Montevideo.",NA
TUBELUXUY,http://perfil.mercadolibre.com.uy/TUBELUXUY,14,14 años vendiendo en Mercado Libre,42274,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,41288,Negativa (317),Neutral (2603),Positiva (38368),"Aguada, Montevideo.",NA
PRO ACCESORIOSUY,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,3,3 años vendiendo en Mercado Libre,11758,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,7230,Negativa (3),Neutral (59),Positiva (7168),"Centro, Montevideo.",NA
VENTAUY,http://perfil.mercadolibre.com.uy/VENTAUY,14,14 años vendiendo en Mercado Libre,7617,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,6612,Negativa (52),Neutral (438),Positiva (6122),"Brazo Oriental, Montevideo.",NA
FREE_BUY_2633,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,18,18 años vendiendo en Mercado Libre,4342,NA,NA,NA,4375,Negativa (0),Neutral (115),Positiva (4260),"Reducto, Montevideo.",NA
69 CASES,http://perfil.mercadolibre.com.uy/69+CASES,10,10 años vendiendo en Mercado Libre,9454,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,5905,Negativa (87),Neutral (234),Positiva (5584),"Cordón, Montevideo.",NA
FEBOUY,http://perfil.mercadolibre.com.uy/FEBOUY,12,12 años vendiendo en Mercado Libre,80505,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,54145,Negativa (129),Neutral (1310),Positiva (52706),"Centro, Montevideo.",NA
HERMESSTORE,http://perfil.mercadolibre.com.uy/HERMESSTORE,1,1 año vendiendo en Mercado Libre,2076,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,1123,Negativa (10),Neutral (63),Positiva (1050),"Ciudad Vieja, Montevideo.",NA
INFORAMA10,http://perfil.mercadolibre.com.uy/INFORAMA10,10,10 años vendiendo en Mercado Libre,411,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,348,Negativa (3),Neutral (8),Positiva (337),"Otras, Montevideo.",NA
