search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca de Celular,Modelo de Celular,Marca da Capa,Modelo da Capa,Tipo de capa,Material,Cor
1, Capinha Capa Silicone C/ Logo iPhone 6s 7 8 Plus X Xr Xsmax ,33,NA,"
			
				Novo
			
			
				
					 - 
				
				1062
				vendidos
			
		",(4480 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 566
		
		 sem juros
		
	

	
		",66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,16,https://perfil.mercadolivre.com.br/MALE2382936,https://produto.mercadolivre.com.br/MLB-1248683581-capinha-capa-silicone-c-logo-iphone-6s-7-8-plus-x-xr-xsmax-_JM?searchVariation=38604797244,12,3,1,0,0,#1248683581,Apple,iPhone 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / XR / XS / XS Max,Silicone,iPhone 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / XR / XS / XS Max,Apple Case,Silicone e microfibra(camurça),NA
2, Capa Capinha Ultra Fina Fosca iPhone 6s Plus 7 8 Plus Novo ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				898
				vendidos
			
		",(108 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 572
		
		 sem juros
		
	

	
		",72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,17,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026051169-capa-capinha-ultra-fina-fosca-iphone-6s-plus-7-8-plus-novo-_JM?searchVariation=33828135574,11,4,0,0,2,#1026051169,Apple,Iphone,Bumper,Silicone,Slim,Silicone,NA
3, Capa Capinha Magnetica Luxo iPhone 7 8 Plus X Xs Xr Xs Max ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				527
				vendidos
			
		",(7471 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,13,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1213994623-capa-capinha-magnetica-luxo-iphone-7-8-plus-x-xs-xr-xs-max-_JM?searchVariation=38590025464,12,0,0,1,0,#1213994623,Apple,iphone,jk capas,Magnética,capa protetor,metal e vidro,NA
4, Capinha Ultra Fina Fosca iPhone 6 6s Plus 7 Plus 8 Luxo Capa ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				526
				vendidos
			
		",(99 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 572
		
		 sem juros
		
	

	
		",72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,12,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026034649-capinha-ultra-fina-fosca-iphone-6-6s-plus-7-plus-8-luxo-capa-_JM?searchVariation=33827713956,8,2,2,0,0,#1026034649,Apple,Iphone,Bumper,Silicone,Slim,Silicone,NA
5, Capa Capinha Anti Impacto 4em1 iPhone 6 7 8 Plus Xr X Xs Max ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				300
				vendidos
			
		",(17571 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 833
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,17,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1210095124-capa-capinha-anti-impacto-4em1-iphone-6-7-8-plus-xr-x-xs-max-_JM?searchVariation=35219107399,13,3,1,0,0,#1210095124,Apple,IPHONE,JK CAPAS,CAPA 4 EM 1 ANTI IMPACTO,CAPA PROTETOR,TPU/Policarbonato,NA
6, Capa Anti Impacto + Película Gel P iPhone 5 6 7 8 10 X Xs Xr ,16,NA,"
			
				Novo
			
			
				
					 - 
				
				997
				vendidos
			
		",(12 disponíveis),"
	
		
			
		
		3x 
		
			
				R$ 566
		
		 sem juros
		
	

	
		",66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,29,https://perfil.mercadolivre.com.br/NOMOTEC,https://produto.mercadolivre.com.br/MLB-1047628140-capa-anti-impacto-pelicula-gel-p-iphone-5-6-7-8-10-x-xs-xr-_JM?searchVariation=36089029726,21,5,2,0,1,#1047628140,Apple,Iphone,HR,TPU,Capinha de silicone,Silicone,NA
7, Capa Capinha Ultra Fina Fosca iPhone 5 6 7 8 Plus Xs Xr Max ,35,NA,"
			
				Novo
			
			
				
					 - 
				
				308
				vendidos
			
		",(9818 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 583
		
		 sem juros
		
	

	
		",83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,9,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1197368219-capa-capinha-ultra-fina-fosca-iphone-5-6-7-8-plus-xs-xr-max-_JM?searchVariation=34356084379,9,0,0,0,0,#1197368219,iPhone,iphone,jk capas,ultra fina fosca,capa protetor,TPU/Policarbonato,NA
8, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Aveludada ,32,NA,"
			
				Novo
			
			
				
					 - 
				
				468
				vendidos
			
		",(791 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,8,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=0g4u6v6013Z6%2BgNoYIQY3X3VF8kDl1OFzqMSx5D1HWGBrygu07aVkC6r0QfzB5GQ4Q8yleFIGDPmZnkNAY1hvWaa4ajQxUcrb3RGETE%2FToyXxveCKJeRcMR6FM8fRUIWTuTvDOnRLj4QfcW4D10ataTeQS3DDda5Vg%2FbOEsAxnRk2VG620GakEEML0zKgkG8pkGEPhRQg08GajAv5gdN16T7%2B3CoIl2Z3P1Bk%2FaYa5%2F7i9deEKgeYNWeZaE%2B%2BvuhPcp5JH4srIpqIuXSRa1fgSmNAmAejSpNNPignWYIplt%2FzVP2isn%2F6N8s62JeNGNtSKGiEJSf0CrdynAyG06fFsgxAo8Q3G8VfgYg3VIAHcXCFwn6zzvYwvVUfp3jxbX4zH%2Fr6e1nDeRtYZOT7LcUEOyXd%2F5lTDA2%2Fg61PDWM0XUGmW1hl53DgjSszf3J3eN2EojxzAdu86U2wgkQ3IG9Jo6RgCGgZiUHLAfRJBiZQMmK74iS3PJeafngZ1Ux6J3QVvIiW3Wza9lxaDu5QnlKOuCdIVHyZcmwnH%2BEiznmOoRGfcJz6kWlKF5oPs6Sam5CtaD7gvF9jA5ILxgK9tl1srMDD5q%2BctXkAPFPevIfpdqk%2FI5KU1BZ6o3JCpVIVwH28UOnDlB57cJ5uYpEM57xpYtk8GBeWZRFA70IST%2Bukar8BPBbZZ3iIavbl3jfbu2F5Q032iqP%2FVYhnoJK%2FcbEGlrGUjSpt7bdK2DwE2aZO1yILh6ixpIvWuoct%2BSGc9ob5iCQjkwCqFZC%2BwP8YHVxy5ToVHQbw3BfTDbN3blgmM%2FOMJDEDTQvi8fFXMwYaztMm%2FB3PvaeAkOnWhYj2rJ0gT8SmZzLrI3%2BzQybqoEwuRqqd8ZDbhgxF%2BQqWWp7NcSdoAvrPJPSzHC8Qke8nf%2BQ%2FLsCr2HUeyfSgBlBFxNqtOCvk66071pC%2FMElOUuCQN3SqtJfP7kCEX4uLxMy9Kf7gjqBx5piqHkkYPfx4j1W54cj6EC19AmlzWp3Uy2XAX%2FM0%2BLtn%2Fj5xGv5fDYl%2FJ5kEg7AdSo2Q6FUNg3IQ9svgbM8goInUdPquuZcez6YiON4VRVk4GSq4Nhb%2BwGoHhpFCjnQIYxMOavsKNSIHXkcDdCAfunvSW5VHQtL0eOlJAbgjJv4rIqppgUH7ua9IvJbkPqUvCpHZReA6Zad0qTh5PRMrwDO5xsu1WbZZhZtBB7qhLpqg0h2XGCcwWXrgNGYev%2F7A09hmC9%2FGa0GdyfmBNMeGd73beMW8HrQJ16BGvKIutFhm6trBLols61kMHl6cDHgnCmILx6zMvoIdEhNe%2FFaKrNiqdaFh4qO6qE6gEuksPD1VHPLsShHrCBigJpXzsBT4tERrSQYtQyrNw6kVGCBFyRG6irlN0%2BjCYPqMRowzRZkP5azCBPele9Wu2R3FyJRkS%2Fo3a28n5opz7zjM6WQ1NVDjguuL4E1hr%2BqOseiXCIUEAMvKykq%2BH3FTgr9jdEp5VSz2wh9M2wdegK1zIYH5mRalwhQKMTMuwBcB2OaTvHbjvooOmNQgiOsfXA%2FdFL9XW7ZZDHk109VP4sZUya3YE3%2BlUCTm9jZFZJzV1k81w%3D%3D,8,0,0,0,0,#1246923437,Apple,iphone7 plus  iphone 8 plus,Silicone,iPhone,Silicone,Silicone- Aveludada,NA
9, Capinha Silicone Aveludado iPhone 8 Plus Verde Agua ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				226
				vendidos
			
		",(274 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 580
		
		 sem juros
		
	

	
		",80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,9,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165539317-capinha-silicone-aveludado-iphone-8-plus-verde-agua-_JM,8,1,0,0,0,#1165539317,Apple,Iphone 8 Plus,Apple,iPhone 8 Plus,Silicone,Silicone,NA
10, Capa Capinha Ultra Fina Fosca iPhone 5 6 7 8plus X Xr Xs Max ,34,NA,"
			
				Novo
			
			
				
					 - 
				
				5686
				vendidos
			
		",(20799 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 583
		
		 sem juros
		
	

	
		",83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,499,https://perfil.mercadolivre.com.br/JKCAPAS,https://produto.mercadolivre.com.br/MLB-682539065-capa-capinha-ultra-fina-fosca-iphone-5-6-7-8plus-x-xr-xs-max-_JM?searchVariation=22563854146,400,60,25,11,3,#682539065,Apple,IPHONE,JK CAPAS,ULTRA FINA,CAPA PROTETOR,TPU,NA
