seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
Aurum Tienda oficial,https://perfil.mercadolibre.com.mx/AURUM+79?brandId=2277,4,4 años vendiendo en Mercado Libre,6580,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,799,Mala (6),Regular (19),Buena (774),"Mérida, Yucatán.",6580 ventas en los últimos 4 meses
Ringke Tienda oficial,https://perfil.mercadolibre.com.mx/RINGKE.MX?brandId=873,3,3 años vendiendo en Mercado Libre,3145,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,439,Mala (6),Regular (4),Buena (429),"Monterrey, Nuevo León.",3145 ventas en los últimos 4 meses
LH ACCESORIOS,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,7,7 años vendiendo en Mercado Libre,13447,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1198,Mala (2),Regular (21),Buena (1175),"Hermosillo, Sonora.",13447 ventas en los últimos 4 meses
VIGU ACCESORIOS,https://perfil.mercadolibre.com.mx/VIGU+ACCESORIOS,6,6 años vendiendo en Mercado Libre,622,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,49,Mala (1),Regular (2),Buena (46),"Victoria, Tamaulipas.",622 ventas en los últimos 4 meses
ONE-CLICK,https://perfil.mercadolibre.com.mx/ONE-CLICK,10,10 años vendiendo en Mercado Libre,9709,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,901,Mala (30),Regular (41),Buena (830),"Coyoacán, Distrito Federal.",9709 ventas en los últimos 4 meses
IMPOR.MEX,https://perfil.mercadolibre.com.mx/IMPOR.MEX,5,5 años vendiendo en Mercado Libre,3123,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,270,Mala (6),Regular (9),Buena (255),"Oaxaca De Juárez, Oaxaca.",3123 ventas en los últimos 4 meses
IPHONE MX,https://perfil.mercadolibre.com.mx/IPHONE+MX,1,1 año vendiendo en Mercado Libre,10418,NA,Brinda buena atención,Entrega sus productos a tiempo,712,Mala (6),Regular (10),Buena (696),"Monterrey, Nuevo León.",10418 ventas en los últimos 4 meses
TECNOLOCK,https://perfil.mercadolibre.com.mx/TECNOLOCK,3,3 años vendiendo en Mercado Libre,1529,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,130,Mala (0),Regular (2),Buena (128),"Chalchicomula De Sesma, Puebla.",1529 ventas en los últimos 4 meses
APPLENEXT,https://perfil.mercadolibre.com.mx/APPLENEXT,2,2 años vendiendo en Mercado Libre,970,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,131,Mala (3),Regular (2),Buena (126),"San Andrés Cholula, Puebla.",970 ventas en los últimos 4 meses
BRANDTRENDY,https://perfil.mercadolibre.com.mx/BRANDTRENDY,7,7 años vendiendo en Mercado Libre,1905,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,150,Mala (3),Regular (6),Buena (141),"Azcapotzalco, Distrito Federal.",1905 ventas en los últimos 4 meses
