seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
PASAJECENTRALSAC,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,1,año,1320,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,764,0,2,762,"Lima, Lima.",NA,NA
JAPIMPORTA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,7,años,1774,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1082,3,34,1045,"Lima, Lima.",NA,NA
GLOBAL CELS,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,6,años,2445,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1404,5,41,1358,"Lima, Lima.",NA,NA
CSHOP1,http://perfil.mercadolibre.com.pe/CSHOP1,12,años,654,NA,NA,NA,419,0,3,416,"Lima, Lima.",NA,NA
CASEMOTIONS.PE,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,4,años,4486,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2667,0,12,2655,"Lima, Lima.",NA,NA
GHINEXS,http://perfil.mercadolibre.com.pe/GHINEXS,7,años,12,NA,NA,NA,36,1,8,27,"Lima, Lima.",NA,NA
MALUPHONE,http://perfil.mercadolibre.com.pe/MALUPHONE,3,años,860,NA,NA,NA,575,1,2,572,"Lima, Lima.",NA,NA
RODRI STORE01,http://perfil.mercadolibre.com.pe/RODRI+STORE01,1,año,452,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,220,0,1,219,"Lima, Lima.",NA,NA
SMARTPHONES_PERU,http://perfil.mercadolibre.com.pe/SMARTPHONES_PERU,3,años,2984,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1367,2,23,1342,"Lima, Lima.",NA,NA
TIENDAEXPRESS.PE,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,2,años,650,NA,NA,NA,381,0,0,381,"Lima, Lima.",NA,NA
NEGOCIOS DANTE1920,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,1,año,215,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,116,0,2,114,"Lima, Lima.",NA,NA
ALBERTOPP75,http://perfil.mercadolibre.com.pe/ALBERTOPP75,10,años,538,NA,NA,NA,311,2,9,300,"Piura, Piura.",NA,NA
MACMELLOWMIRAFLORES,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,8,años,1348,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1588,48,228,1312,"Lima, Lima.",NA,NA
ZONAMOVILPERU1,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,1,año,685,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,452,2,8,442,"Lima, Lima.",NA,NA
SERGIOAMARANTOPEREA,http://perfil.mercadolibre.com.pe/SERGIOAMARANTOPEREA,5,años,22,NA,NA,NA,9,0,2,7,"Lima, Lima.",NA,NA
ISTORETEC,http://perfil.mercadolibre.com.pe/ISTORETEC,3,años,2594,NA,NA,NA,1582,1,5,1576,"Lima, Lima.",NA,NA
MVH STORE,http://perfil.mercadolibre.com.pe/MVH+STORE,2,años,405,NA,NA,NA,183,4,7,172,"Lima, Lima.",NA,NA
MERKA.G,http://perfil.mercadolibre.com.pe/MERKA.G,2,años,655,NA,NA,NA,446,0,2,444,"Lima, Lima.",NA,NA
DASTORE PERU,http://perfil.mercadolibre.com.pe/DASTORE+PERU,9,años,114,NA,NA,NA,74,0,10,64,"Lima, Lima.",NA,NA
ASMOBILEACCESORIES,http://perfil.mercadolibre.com.pe/ASMOBILEACCESORIES,3,años,909,NA,NA,NA,493,1,16,476,"Lima, Lima.",NA,NA
DASTOREPUNTOPE,http://perfil.mercadolibre.com.pe/DASTOREPUNTOPE,5,años,3883,NA,NA,NA,1953,10,126,1817,"Lima, Lima.",NA,NA
CELLBYTEZ,http://perfil.mercadolibre.com.pe/CELLBYTEZ,6,años,1766,NA,NA,NA,1017,3,67,947,"Lima, Lima.",NA,NA
FLORESALVARADOLUISALONSO,http://perfil.mercadolibre.com.pe/FLORESALVARADOLUISALONSO,2,años,70,NA,NA,NA,41,0,1,40,"Lima, Lima.",NA,NA
BTPERU_VENTAS,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,13,años,16983,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,23183,361,3510,19312,"Lima, Lima.",NA,NA
PERUIMPORTA.,http://perfil.mercadolibre.com.pe/PERUIMPORTA.,13,años,8709,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,6236,0,377,5859,"Lima, Lima.",NA,NA
IMANIA.PERU,http://perfil.mercadolibre.com.pe/IMANIA.PERU,2,años,2174,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1176,0,7,1169,"Lima, Lima.",NA,NA
YAJOMATECH,http://perfil.mercadolibre.com.pe/YAJOMATECH,3,años,313,NA,NA,NA,164,0,4,160,"Lima, Lima.",NA,NA
SABO520433,http://perfil.mercadolibre.com.pe/SABO520433,2,años,123,NA,NA,NA,94,0,5,89,"Lima, Lima.",NA,NA
MASPLAY PERU,http://perfil.mercadolibre.com.pe/MASPLAY+PERU,7,años,1313,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,954,8,89,857,"Lima, Lima.",NA,NA
AZTILEYRODRIGUEZ,http://perfil.mercadolibre.com.pe/AZTILEYRODRIGUEZ,10,meses,21,NA,NA,NA,18,0,0,18,"Lima, Lima.",NA,NA
KECHVR.COM,http://perfil.mercadolibre.com.pe/KECHVR.COM,6,años,605,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,332,3,12,317,"Lima, Lima.",NA,NA
CASE-COVERS,http://perfil.mercadolibre.com.pe/CASE-COVERS,4,años,712,NA,NA,NA,463,0,7,456,"Lima, Lima.",NA,NA
FREEMARKETPERU,http://perfil.mercadolibre.com.pe/FREEMARKETPERU,9,años,348,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,701,9,163,529,"Lima, Lima.",NA,NA
REVOLUTION.STAR,http://perfil.mercadolibre.com.pe/REVOLUTION.STAR,4,años,389,NA,NA,NA,266,3,15,248,"Lima, Lima.",NA,NA
MOBITECH.PE,http://perfil.mercadolibre.com.pe/MOBITECH.PE,5,años,333,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,250,4,9,237,"Lima, Lima.",NA,NA
TEVEN255,http://perfil.mercadolibre.com.pe/TEVEN255,4,años,848,NA,NA,NA,522,1,6,515,"Lima, Lima.",NA,NA
DETALLESMYAPE,http://perfil.mercadolibre.com.pe/DETALLESMYAPE,6,años,1804,NA,NA,NA,552,7,42,503,"Lima, Lima.",NA,NA
MAOMATACASTILLO,http://perfil.mercadolibre.com.pe/MAOMATACASTILLO,6,años,220,NA,NA,NA,100,2,6,92,"Lima, Lima.",NA,NA
921489126,http://perfil.mercadolibre.com.pe/921489126,3,años,28,NA,NA,NA,22,0,0,22,"Lima, Lima.",NA,NA
JARRIETAA,http://perfil.mercadolibre.com.pe/JARRIETAA,7,años,166,NA,NA,NA,140,1,5,134,"Lima, Lima.",NA,NA
HAROLD25X,http://perfil.mercadolibre.com.pe/HAROLD25X,1,año,51,NA,NA,NA,34,0,0,34,"Lima, Lima.",NA,NA
LINESSTORE,http://perfil.mercadolibre.com.pe/LINESSTORE,8,años,502,NA,NA,NA,336,4,38,294,"Trujillo, La Libertad.",NA,NA
EL TALLER.DE.CHARLY,http://perfil.mercadolibre.com.pe/EL+TALLER.DE.CHARLY,1,año,66,NA,NA,NA,57,0,3,54,"Lima, Lima.",NA,NA
CRUIZ145,http://perfil.mercadolibre.com.pe/CRUIZ145,2,años,333,NA,NA,NA,214,0,0,214,"Lima, Lima.",NA,NA
DASTOREPERUCASE,http://perfil.mercadolibre.com.pe/DASTOREPERUCASE,6,años,1043,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,469,1,36,432,"Lima, Lima.",NA,NA
TECHNOW 1,http://perfil.mercadolibre.com.pe/TECHNOW+1,1,año,4476,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,3014,8,108,2898,"Lima, Lima.",NA,NA
TECHNOCELENSUNPERU,http://perfil.mercadolibre.com.pe/TECHNOCELENSUNPERU,1,año,22,NA,NA,NA,16,0,2,14,"Lima, Lima.",NA,NA
CARLOSAVENDANO15,http://perfil.mercadolibre.com.pe/CARLOSAVENDANO15,7,meses,75,NA,NA,NA,50,1,3,46,"Lima, Lima.",NA,NA
ASAUL_11,http://perfil.mercadolibre.com.pe/ASAUL_11,NA,NA,NA,NA,NA,NA,163,0,13,150,"Lima, Lima.",NA,NA
ENERGYZONE_MIRAFLORES,http://perfil.mercadolibre.com.pe/ENERGYZONE_MIRAFLORES,9,años,3922,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1564,11,115,1438,"Lima, Lima.",NA,NA
SENDS_VICTOR2010,http://perfil.mercadolibre.com.pe/SENDS_VICTOR2010,10,años,1956,NA,NA,NA,2960,67,684,2209,"Lima, Lima.",NA,NA
JUAN556,http://perfil.mercadolibre.com.pe/JUAN556,14,años,162,NA,NA,NA,113,0,13,100,"Lima, Lima.",NA,NA
LUNA281192,http://perfil.mercadolibre.com.pe/LUNA281192,NA,NA,NA,NA,NA,NA,78,5,32,41,"Lima, Lima.",NA,NA
COMERCIOVIRTUAL PERÚ,http://perfil.mercadolibre.com.pe/COMERCIOVIRTUAL+PER%C3%9A,2,años,904,NA,NA,NA,384,0,27,357,"Lima, Lima.",NA,NA
