search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca de Celular,Modelo de Celular,Marca da Capa,Modelo da Capa,Tipo de capa,Material,Cor
1, Capinha Capa Silicone C/ Logo iPhone 6s 7 8 Plus X Xr Xsmax ,33,NA,1390,4474,6x,5.66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,21,https://perfil.mercadolivre.com.br/MALE2382936,https://produto.mercadolivre.com.br/MLB-1248683581-capinha-capa-silicone-c-logo-iphone-6s-7-8-plus-x-xr-xsmax-_JM?searchVariation=38604797244#position=1&type=item&tracking_id=0418b6aa-d331-4d96-bdd9-34eaf734dbd5,15,5,1,0,0,#1248683581,Apple,iPhone 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / XR / XS / XS Max,Silicone,iPhone 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / XR / XS / XS Max,Apple Case,Silicone e microfibra(camurça),NA
2, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Aveludada ,22,NA,937,121,4x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,21,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026051169-capa-capinha-ultra-fina-fosca-iphone-6s-plus-7-8-plus-novo-_JM?searchVariation=33828135574#position=2&type=item&tracking_id=0418b6aa-d331-4d96-bdd9-34eaf734dbd5,14,5,0,0,2,#1026051169,Apple,Iphone,Bumper,Silicone,Slim,Silicone,NA
3, Capa Capinha Anti Impacto 4em1 iPhone 6 7 8 Plus Xr X Xs Max ,54,NA,603,7421,10x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,15,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1213994623-capa-capinha-magnetica-luxo-iphone-7-8-plus-x-xs-xr-xs-max-_JM?searchVariation=38590025464#position=3&type=item&tracking_id=0418b6aa-d331-4d96-bdd9-34eaf734dbd5,13,0,1,1,0,#1213994623,Apple,iphone,jk capas,Magnética,capa protetor,metal e vidro,NA
4, Capa Capinha Magnetica Luxo iPhone 7 8 Plus X Xs Xr Xs Max ,22,NA,589,145,4x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,12,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026034649-capinha-ultra-fina-fosca-iphone-6-6s-plus-7-plus-8-luxo-capa-_JM?searchVariation=33827713956#position=4&type=item&tracking_id=0418b6aa-d331-4d96-bdd9-34eaf734dbd5,8,2,2,0,0,#1026034649,Apple,Iphone,Bumper,Silicone,Slim,Silicone,NA
5, Capa Capinha Anti-impacto Shock Borda Reforçada iPhone 8 ,49,NA,373,17513,6x,8.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,20,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1210095124-capa-capinha-anti-impacto-4em1-iphone-6-7-8-plus-xr-x-xs-max-_JM?searchVariation=35219107399#position=5&type=item&tracking_id=0418b6aa-d331-4d96-bdd9-34eaf734dbd5,16,3,1,0,0,#1210095124,Apple,IPHONE,JK CAPAS,CAPA 4 EM 1 ANTI IMPACTO,CAPA PROTETOR,TPU/Policarbonato,NA
6, Capinha Capa Case Silicone iPhone 7 8 Aveludada Lacrada ,32,NA,582,89,6x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,14,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://produto.mercadolivre.com.br/MLB-1246923437-capinha-capa-case-silicone-iphone-7-plus-8-plus-aveludada-_JM#position=6&type=item&tracking_id=0418b6aa-d331-4d96-bdd9-34eaf734dbd5,14,0,0,0,0,#1246923437,Apple,iphone7 plus  iphone 8 plus,Silicone,iPhone,Silicone,Silicone- Aveludada,NA
7, Capa Capinha Ultra Fina Fosca iPhone 5 6 7 8 Plus Xs Xr Max ,34,NA,5738,20789,6x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,502,https://perfil.mercadolivre.com.br/JKCAPAS,https://produto.mercadolivre.com.br/MLB-682539065-capa-capinha-ultra-fina-fosca-iphone-5-6-7-8plus-x-xr-xs-max-_JM?searchVariation=22563854146#position=7&type=item&tracking_id=0418b6aa-d331-4d96-bdd9-34eaf734dbd5,402,60,25,11,4,#682539065,Apple,IPHONE,JK CAPAS,ULTRA FINA,CAPA PROTETOR,TPU,NA
8, Capa P/ Apple iPhone 7 Plus / 8 Plus Capinha Case Silicone Aveludada Dura + Pelicula 3d-5d Cobre Tela Toda ,39,NA,17,5083,6x,6.66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=mKoBq85w5%2BQZSjuDikv2f9qfPvYXTzkVOsVfPOXG72iQWFiggNJc%2BzG1O%2FJqIJZG%2BACYg40FC54FJalN17mhwKzb88qJYu9QbccijW2yTKIvqqLMibVlwLwLpMpDUN6yF1IJPkgZgZUwO7DCQ4V8nlkBA4Sqf6fNAbClhNH%2FieV%2BjzC%2FRspkZ5yZfVBCmyP8%2BnF5vGzsG3771WjRPgExA59fmVxIiwJVHZEfXsBtGKffnScsGAv%2FeyHjT62hItK%2B5nrCG%2FwDGNwpzzyLkqEYFf3%2FmgsjRySYBUz%2B0bEhk0O5qXK1f13sGbUxmFT%2F%2FaAu4nByM9e6EQ08ys3zBRruLoyZv2vYPu6tCnN6CQVLYJ%2BooiSU0zEA9mrYJfdC4iFyGaBlJxAirX3ukzNlfKz%2BYtDnj6sQztsIoljFKIgVH4MQlVgA9Q5WxqgRgfQWSvyMeMtXAH0L2Faox4k5PWZ8DlgBod2vEBKzRNiZy0coavMhBaXdDkOyCBsQ4e48z2nT%2FO7hLumWUtU7lE8kNb5OHo9h7ZcQ92A1IvvaV%2FsnoCj1%2FPAIqf55dxT7gmGCwSNKb4OWbQvCHZ4OBujkKQjH7ccezLV%2B%2B%2FewaXSK4xfNbMfpN66BoqftWEEbzXNYA06UXjZb065gUfH3UQWFxcYoG%2BPdYgr44%2BG45xrmOiTOcD8tYj8YOhclcz76mY5J9Gs46XzTzMPhgdlzVY%2BB00DxUuCJZz1PRHC1Hus28T3XeYQzJj6nLFuAhptxi85yB6XOQ1%2FthEBHQLgONeOXC73xIfKuOqUQy0IU3sGA%2Ftp0uwuWFCVSItbiLh%2BZqppxvuTCWCGQaTM%2BJmrJiESLEa2FPUYE1czicqJcVDfxhW8wQKJ%2BGzqJP48DBsweWf4MZdGS4PSUsMMzjLNBz7qRa4%2FvKREd8fBVo46Vv%2BXSSmFEbDGxkvjzZgP55fXBzD19Eh%2BujVDGsg7gp6Jx%2FDJYrbE4wc1cbf8sy5es8f5y5LYJukHV%2B3iISU6wY1%2F%2Bg0uCK%2FyzXIKPwGGkJTuJ64i9eLQ3nW5urTPya2VuRgB7EYbJ7le%2Be%2FIHIZAxR%2FYTr7fuqsaPQqUdA%2FEyOtX1QJtodJqqAwjta8rCeco45zAPNwVjhxv6H0wTQeGnvwi7oLZJQ69Im1mpugNupJdyV7%2F1vHRB%2Br%2BqQQoBlnvPRbKgSjb2dsn2H00s6LGaMgq1ApAHyzijrK83Y5TEIYsSJ0Yp9Kb9P4Oai99yBCW2u4Sy2xx9dFt9SjHpTG%2BQDbPeh8Tr2oT9eO67h1AkBefdRS2coDdyU%2F9x6SzjQVgCIDhOc4SUDrDyIDpQJ2Y4PSfbsI8%2BT9PwoaKglBaDkb339tcA%2FACl1%2FUrrj5HDuYUWj7jdn1ybxFwlmqfGnQy0P4OVC0hA71TzMrhl9qsDlYgfTI8Ogv9XHpB60IyNet8%2BAeS%2FBaKpFR4jsI3GO0VnoNoFzq1%2FRo83SMnYtuxfRW%2FkSik7NgVix%2B43QvArBlpSArmt2z7Z%2BiVXJBd0Ag3M6jG5SBpwC2u4hXpWx69AYeUUySs8pGUWXbcZ2pX%2F5RodCnewr4QqvqRLBfVIwoMDhuTt7afm8rzWyw9QW5fK81GbMMiZZLTa6Ovmu8kY%2BQ6TN8sBzX9w0QzSc61MpTfpMFXuamKMKdubC5f8KG5but8obyNwR0VLYKEOu4CmsGc0dr8KD20xYEVeUZZJX6neuiTORdT8VER4NIOSvpHXWes8F2AtzHHYiYpB52qytrDYtLpSg4w%2Bw%3D%3D,NA,NA,NA,NA,NA,#1302720778,Apple,iphone7 plus  iphone 8 plus,Silicone,iPhone,Silicone,Silicone- Aveludada,NA
9, Capinha Anti Queda Silicone Resistent iPhone Xs 7 8 Plus Xr ,35,NA,326,9804,6x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,9,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1197368219-capa-capinha-ultra-fina-fosca-iphone-5-6-7-8-plus-xs-xr-max-_JM?searchVariation=34356084379#position=9&type=item&tracking_id=0418b6aa-d331-4d96-bdd9-34eaf734dbd5,9,0,0,0,0,#1197368219,iPhone,iphone,jk capas,ultra fina fosca,capa protetor,TPU/Policarbonato,NA
10, Capa Capinha Case iPhone 8 Nillkin Nature Tpu Original ,13,NA,1777,28,2x,6.99,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,44,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1047637856-capa-anti-impacto-queda-iphone-5-se-6-6s-7-8-plus-xs-max-xr-_JM?searchVariation=26827537398#position=10&type=item&tracking_id=0418b6aa-d331-4d96-bdd9-34eaf734dbd5,32,3,3,4,2,#1047637856,Apple,Escolher no anúncio.,HR,TPU,Capinha,Silicone,NA
