seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
MobileHUT Tienda oficial,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,2,años,3910,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,988,24,18,946,"Santiago, RM (Metropolitana).",meses,4
TIENDA KYRIOS,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,4,años,2237,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,363,13,10,340,"Santiago, RM (Metropolitana).",meses,4
CARCASASPUNTOCL,https://perfil.mercadolibre.cl/CARCASASPUNTOCL,4,años,419,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,117,1,0,116,"Providencia, RM (Metropolitana).",meses,4
PHONESTORE-RETAILCHILE,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,4,años,1288,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,419,6,18,395,"Santiago, RM (Metropolitana).",meses,4
MONKEYCOLOR,https://perfil.mercadolibre.cl/MONKEYCOLOR,10,años,492,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,79,1,5,73,"Santiago, RM (Metropolitana).",meses,4
TECNOSTRIKE,https://perfil.mercadolibre.cl/TECNOSTRIKE,6,años,659,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,106,1,0,105,"Providencia, RM (Metropolitana).",meses,4
MIAUSTORE.CL,https://perfil.mercadolibre.cl/MIAUSTORE.CL,7,años,145,NA,Brinda buena atención,Entrega sus productos a tiempo,33,0,0,33,"Santiago, RM (Metropolitana).",meses,4
ALPHATECHILE,https://perfil.mercadolibre.cl/ALPHATECHILE,4,años,501,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,105,0,3,102,"Arica, Arica y Parinacota.",meses,4
DIGITEK.CL,https://perfil.mercadolibre.cl/DIGITEK.CL,1,año,466,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,139,2,3,134,"Las Condes, RM (Metropolitana).",meses,4
SUSPENSIONTRAINING,https://perfil.mercadolibre.cl/SUSPENSIONTRAINING,3,años,42,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,9,0,1,8,"Colina, RM (Metropolitana).",meses,4
VAPORISLANDCHILE,https://perfil.mercadolibre.cl/VAPORISLANDCHILE,8,años,131,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,19,1,0,18,"Vitacura, RM (Metropolitana).",meses,4
CUATRO GLACIARES,https://perfil.mercadolibre.cl/CUATRO+GLACIARES,5,meses,460,NA,Brinda buena atención,Entrega sus productos a tiempo,101,3,3,95,"Las Condes, RM (Metropolitana).",meses,4
AMPLEX_CHILE,https://perfil.mercadolibre.cl/AMPLEX_CHILE,6,años,21,NA,Brinda buena atención,Entrega sus productos a tiempo,3,0,0,3,"Santiago, RM (Metropolitana).",meses,4
TIENDATRANSPARENCIA,https://perfil.mercadolibre.cl/TIENDATRANSPARENCIA,4,años,1283,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,285,6,3,276,"Santiago, RM (Metropolitana).",meses,4
CELULARES-EN-VENTA,https://perfil.mercadolibre.cl/CELULARES-EN-VENTA,7,años,640,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,73,2,5,66,"Providencia, RM (Metropolitana).",meses,4
PROPHONELTDA,https://perfil.mercadolibre.cl/PROPHONELTDA,6,años,3011,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,525,17,14,494,"Santiago, RM (Metropolitana).",meses,4
VENTAS ELECTRONICAS1,https://perfil.mercadolibre.cl/VENTAS+ELECTRONICAS1,6,años,1487,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,271,9,10,252,"Santiago, RM (Metropolitana).",meses,4
AERRECOMEX.COM,https://perfil.mercadolibre.cl/AERRECOMEX.COM,6,años,37,NA,Brinda buena atención,Entrega sus productos a tiempo,9,0,0,9,"Santiago, RM (Metropolitana).",meses,4
WEBPHONESPA,https://perfil.mercadolibre.cl/WEBPHONESPA,1,año,232,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,58,0,1,57,"Maipú, RM (Metropolitana).",meses,4
BOXPLAY 2019,https://perfil.mercadolibre.cl/BOXPLAY+2019,5,meses,93,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,18,3,1,14,"Arica, Arica y Parinacota.",meses,4
CRANDEP,https://perfil.mercadolibre.cl/CRANDEP,10,años,89,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,18,0,1,17,"Concepcion, Biobío.",meses,4
TODOJOYAS.CL,https://perfil.mercadolibre.cl/TODOJOYAS.CL,1,año,239,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,31,0,1,30,"Santiago, RM (Metropolitana).",meses,4
DIGITALWAREHOUSECL,https://perfil.mercadolibre.cl/DIGITALWAREHOUSECL,5,meses,102,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,24,1,0,23,Estados Unidos.,meses,4
COLOR-CELL,https://perfil.mercadolibre.cl/COLOR-CELL,12,años,770,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,120,2,1,117,"Ñuñoa, RM (Metropolitana).",meses,4
SAPEAR,https://perfil.mercadolibre.cl/SAPEAR,1,año,206,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,39,2,2,35,"Providencia, RM (Metropolitana).",meses,4
4BUY.CL,https://perfil.mercadolibre.cl/4BUY.CL,3,años,473,NA,Brinda buena atención,Entrega sus productos a tiempo,68,1,1,66,"La Serena, Coquimbo.",meses,4
KABRA74,https://perfil.mercadolibre.cl/KABRA74,4,años,54,NA,Brinda buena atención,Entrega sus productos a tiempo,17,0,0,17,"Providencia, RM (Metropolitana).",meses,4
ACCESORIOSPAM1,https://perfil.mercadolibre.cl/ACCESORIOSPAM1,7,años,587,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,85,0,3,82,"Viña Del Mar, Valparaíso.",meses,4
HANDTECH-1,https://perfil.mercadolibre.cl/HANDTECH-1,2,años,10,NA,Brinda buena atención,Entrega sus productos a tiempo,2,0,0,2,"Santiago, RM (Metropolitana).",años,2
SMARTERDEALCL,https://perfil.mercadolibre.cl/SMARTERDEALCL,23,días,16,NA,Brinda buena atención,Entrega sus productos a tiempo,0,0,0,0,China.,días,23
AZSHOPPINGCL,https://perfil.mercadolibre.cl/AZSHOPPINGCL,1,año,60,NA,Brinda buena atención,Entrega sus productos a tiempo,11,2,0,9,China.,años,1
AUTOSTARCL,https://perfil.mercadolibre.cl/AUTOSTARCL,10,meses,486,NA,Tuvo problemas en sus ventas,Entrega sus productos a tiempo,50,9,4,37,China.,meses,4
REDPAGOSCHILE,https://perfil.mercadolibre.cl/REDPAGOSCHILE,13,años,196,NA,Tuvo problemas en sus ventas,Entrega sus productos a tiempo,106,3,8,95,"La Florida, RM (Metropolitana).",meses,4
OCTOPUSSALESFORCECL,https://perfil.mercadolibre.cl/OCTOPUSSALESFORCECL,6,meses,48,NA,Brinda buena atención,Entrega sus productos a tiempo,25,3,1,21,Estados Unidos.,meses,4
RCMOMENTCL,https://perfil.mercadolibre.cl/RCMOMENTCL,10,meses,448,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,30,4,1,25,China.,meses,4
AMERICANIMPORT.CL,https://perfil.mercadolibre.cl/AMERICANIMPORT.CL,5,meses,301,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,20,1,3,16,"Providencia, RM (Metropolitana).",meses,4
ARIPAUT,https://perfil.mercadolibre.cl/ARIPAUT,8,años,35,NA,Brinda buena atención,Entrega sus productos a tiempo,23,0,0,23,"Rancagua, Libertador B. O'Higgins.",años,5
TOMTOPWHOLESALECL,https://perfil.mercadolibre.cl/TOMTOPWHOLESALECL,10,meses,778,NA,Brinda buena atención,Entrega sus productos a tiempo,83,4,7,72,China.,meses,4
CASAFELIZCL,https://perfil.mercadolibre.cl/CASAFELIZCL,3,meses,182,NA,Brinda buena atención,Entrega sus productos a tiempo,10,1,0,9,China.,meses,3
