search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Marca del celular
1, Carcasa Funda Estuche iPhone ,20.000,NA,0,1,12 cuotas,NA,Envío a nivel nacional,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/MLOKEDO,https://articulo.mercadolibre.com.co/MCO-517933452-carcasa-funda-estuche-iphone-_JM?searchVariation=38896761369,NA,NA,NA,NA,NA,#517933452,NA,NA,NA
2, iPhone 8 Plus Kit Protector Funda Delgada + Vidrio Templado ,48.900,80.000,24,4,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.2,6,https://perfil.mercadolibre.com.co/TIENDANOSTRA.COM,https://articulo.mercadolibre.com.co/MCO-458321230-iphone-8-plus-kit-protector-funda-delgada-vidrio-templado-_JM,4,1,0,0,1,#458321230,NA,NA,NA
3, Estuche Funda iPhone 7+ iPhone 8+ Protector Transparenterock ,34.990,NA,18,5,36 cuotas,NA,Envío a nivel nacional,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/TECHNOSMART+DISTRIBUCIONES,https://articulo.mercadolibre.com.co/MCO-462539535-estuche-funda-iphone-7-iphone-8-protector-transparenterock-_JM,NA,NA,NA,NA,NA,#462539535,NA,NA,NA
4, Vidrio Cristal Trasero Repuesto iPhone 8 Plus 100% Original ,89.900,NA,9,27,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IWORLDSERVICE,https://articulo.mercadolibre.com.co/MCO-465277145-vidrio-cristal-trasero-repuesto-iphone-8-plus-100-original-_JM,NA,NA,NA,NA,NA,#465277145,APLE,CRIREP8P,NA
5, Vidrio Cristal Trasero Repuesto iPhone 8 100% Original ,79.990,NA,4,16,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/IWORLDSERVICE,https://articulo.mercadolibre.com.co/MCO-465277106-vidrio-cristal-trasero-repuesto-iphone-8-100-original-_JM,NA,NA,NA,NA,NA,#465277106,APLE,CRIREP8,NA
6, iPhone 8 Kit Protector Funda Ultra Delgada + Vidrio Templado ,48.900,80.000,18,2,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,4.3,4,https://perfil.mercadolibre.com.co/TIENDANOSTRA.COM,https://articulo.mercadolibre.com.co/MCO-458321711-iphone-8-kit-protector-funda-ultra-delgada-vidrio-templado-_JM,3,0,0,1,0,#458321711,NA,NA,NA
7, Funda Sumergible /iPhone 8/7plus/ 6 Plus /8/7/6/6s/universal ,34.990,NA,13,3,36 cuotas,NA,Envío a nivel nacional,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/NEXOSGROUP2010,https://articulo.mercadolibre.com.co/MCO-447917005-funda-sumergible-iphone-87plus-6-plus-8766suniversal-_JM,NA,NA,NA,NA,NA,#447917005,NA,NA,NA
8, Carcasa Funda Protector iPhone 8 Plus Estuche Spigen Armor ,9.990,NA,11,23,12 cuotas,NA,Entrega a acordar con el vendedor,NA,NA,NA,5,1,https://perfil.mercadolibre.com.co/DIMEGATEC,https://articulo.mercadolibre.com.co/MCO-460519321-carcasa-funda-protector-iphone-8-plus-estuche-spigen-armor-_JM,1,0,0,0,0,#460519321,NA,NA,NA
9, Otterbox Defender Series Funda Para iPhone 8 Plus Y iPhone 7 ,177.900,NA,3,5,12 cuotas,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-457597042-otterbox-defender-series-funda-para-iphone-8-plus-y-iphone-7-_JM,NA,NA,NA,NA,NA,#457597042,NA,NA,NA
10," Funda De Oro Para iPhone 7 Plus /iPhone 8 Plus, Technext020 ",61.900,NA,1,5,12 cuotas,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,https://articulo.mercadolibre.com.co/MCO-468464872-funda-de-oro-para-iphone-7-plus-iphone-8-plus-technext020-_JM,NA,NA,NA,NA,NA,#468464872,NA,NA,NA
11," Funda Carcasa iPhone 8 , 7 Original Spigen Thin Fit Dorada ",34.900,45.500,0,1,12 cuotas,NA,Envío a nivel nacional,NA,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/DELLTHUS,https://articulo.mercadolibre.com.co/MCO-449592535-funda-carcasa-iphone-8-7-original-spigen-thin-fit-dorada-_JM,NA,NA,NA,NA,NA,#449592535,Spigen,Thin Fit dorado iPhone 7,iPhone
12, Amazonbasics Funda Para iPhone 7 Plus iPhone 8 Plus Roja ,24.900,NA,0,1,36 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/COMPRA+_SEGURO,https://articulo.mercadolibre.com.co/MCO-454204947-amazonbasics-funda-para-iphone-7-plus-iphone-8-plus-roja-_JM,NA,NA,NA,NA,NA,#454204947,NA,ROJA,iPhone
13, Funda Forro Protector 360 Gkk Estuche 3 En 1 iPhone 8 Plus ,27.900,NA,0,10,12 cuotas,NA,NA,Envío gratis a nivel nacional,NA,NA,NA,NA,https://perfil.mercadolibre.com.co/CAROLINA.CASTRO68,https://articulo.mercadolibre.com.co/MCO-516372872-funda-forro-protector-360-gkk-estuche-3-en-1-iphone-8-plus-_JM,NA,NA,NA,NA,NA,#516372872,NA,NA,NA
