search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Marca,Material
1," Case Silicone iPhone 5s, Se, 6, 6s, 6 Plus, 7, 7 Plus, 8, X ",29,NA,"
			
				Nuevo
			
			
				
					 - 
				
				66
				vendidos
			
		",(110 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/APPLEMALLCENTER,https://articulo.mercadolibre.com.pe/MPE-427265378-case-silicone-iphone-5s-se-6-6s-6-plus-7-7-plus-8-x-_JM,NA,NA,NA,NA,NA,#427265378,Apple,Silicone,Silicona
2, Case Galaxy S10 Plus S10 S9+ S9 S8+ iPhone Xs Max X Note 9 ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				77
				vendidos
			
		",(76 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,4.8,5,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,https://articulo.mercadolibre.com.pe/MPE-424678527-case-galaxy-s10-plus-s10-s9-s9-s8-iphone-xs-max-x-note-9-_JM,4,1,0,0,0,#424678527,Samsung,NA,TPU/Policarbonato
3, Case iPhone X Xr Xs Max 7 8 Plus Protector Delgado Mate ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4
				vendidos
			
		",(95 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435989808-case-iphone-x-xr-xs-max-7-8-plus-protector-delgado-mate-_JM,NA,NA,NA,NA,NA,#435989808,Apple,NA,NA
4, Case Funda Protector Supcase iPhone 7 8 Y Plus Stock Colores ,39,NA,"
			
				Nuevo
			
			
				
					 - 
				
				160
				vendidos
			
		",(104 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,4.8,5,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-421205404-case-funda-protector-supcase-iphone-7-8-y-plus-stock-colores-_JM,4,1,0,0,0,#421205404,Apple,NA,NA
5," Case Funda Silicona iPhone 6, 7, 8, X, Plus ",15,NA,"
			
				Nuevo
			
			
				
					 - 
				
				54
				vendidos
			
		",(48 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,2.0,1,http://perfil.mercadolibre.com.pe/MAOMATACASTILLO,https://articulo.mercadolibre.com.pe/MPE-433067982-case-funda-silicona-iphone-6-7-8-x-plus-_JM,NA,NA,NA,NA,NA,#433067982,Apple,NA,NA
6, Protector Funda Silicone Case iPhone X 7 8 Y Plus Sellado ,34,NA,"
			
				Nuevo
			
			
				
					 - 
				
				394
				vendidos
			
		",(34 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,3.7,7,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-422401481-protector-funda-silicone-case-iphone-x-7-8-y-plus-sellado-_JM,3,2,0,1,1,#422401481,Apple,NA,NA
7," Funda Para iPhone 6, 6 Plus,7 Plus ,8 Plus - Autofocus Case ",16,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(70 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,https://articulo.mercadolibre.com.pe/MPE-432242766-funda-para-iphone-6-6-plus7-plus-8-plus-autofocus-case-_JM,NA,NA,NA,NA,NA,#432242766,Apple,NA,NA
8, Funda Case Protector iPhone 7/8/plus+ Protector Pantalla ,19,NA,"
			
				Nuevo
			
			
				
					 - 
				
				16
				vendidos
			
		",(5 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,3.5,2,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,https://articulo.mercadolibre.com.pe/MPE-431577553-funda-case-protector-iphone-78plus-protector-pantalla-_JM,NA,NA,NA,NA,NA,#431577553,Apple,NA,NA
9, Apple® Leather Case Para iPhone 7 8 Plus Funda Cuero Tienda ,189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(97 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-435990324-apple-leather-case-para-iphone-7-8-plus-funda-cuero-tienda-_JM,NA,NA,NA,NA,NA,#435990324,Apple,Apple,Cuero
10, Case Galaxy Note 9 8 S7 Normal iPhone 7 8 Funda +vidrio Zizo ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2
				vendidos
			
		",(97 disponibles),Hasta 12 cuotas sin interés,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,https://articulo.mercadolibre.com.pe/MPE-432000557-case-galaxy-note-9-8-s7-normal-iphone-7-8-funda-vidrio-zizo-_JM,NA,NA,NA,NA,NA,#432000557,Samsung,NA,NA
