search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Material,Marca,Modelo
1, Estuche Funda iPhone 7 Y iPhone 8 ® Blister En Silicona ,450,NA,"
			
				Nuevo
			
			
				
					 - 
				
				23
				vendidos
			
		",(65 disponibles),"
	
		
			Hasta
		

		18 cuotas de
		
			
				$ 2500

			 sin interés
			
		
	


	
		",00,Entrega a acordar con el vendedor,NA,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/VENTAUY,https://articulo.mercadolibre.com.uy/MLU-455406832-estuche-funda-iphone-7-y-iphone-8-blister-en-silicona-_JM,NA,NA,NA,NA,NA,#455406832,Apple,Silicona,NA,NA
2, Protector Fino Cristal Bumper iPhone 8 7 6 6s 5 5s Se Plus ® ,190,NA,"
			
				Nuevo
			
			
				
					 - 
				
				618
				vendidos
			
		",(3946 disponibles),"
	
		
			Hasta
		

		18 cuotas de
		
			
				$ 1056

			 sin interés
			
		
	


	
		",56,Envío a todo el país,NA,NA,NA,4.4,35,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443333988-protector-fino-cristal-bumper-iphone-8-7-6-6s-5-5s-se-plus--_JM,20,10,4,1,0,#443333988,Apple,TPU,Apple,5/SE/6s/7/8/ Plus
3, Funda Transparente iPhone 8 & 8 Plus Shockproof Hybrid Case ,440,NA,"
			
				Nuevo
			
			
				
					 - 
				
				61
				vendidos
			
		",(9 disponibles),"
	
		
			Hasta
		

		18 cuotas de
		
			
				$ 2444

			 sin interés
			
		
	


	
		",44,Entrega a acordar con el vendedor,NA,NA,NA,5.0,4,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,https://articulo.mercadolibre.com.uy/MLU-455994544-funda-transparente-iphone-8-8-plus-shockproof-hybrid-case-_JM,4,0,0,0,0,#455994544,Apple,NA,NA,NA
4, Case iPhone 8 7 7 Plus 6 6s 6plus Silicona Oferta ,549,NA,"
			
				Nuevo
			
			
				
					 - 
				
				140
				vendidos
			
		",(92 disponibles),"
	
		
			Hasta
		

		18 cuotas de
		
			
				$ 3050

			 sin interés
			
		
	


	
		",50,Envío a todo el país,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/M.G.M.R,https://articulo.mercadolibre.com.uy/MLU-450933234-case-iphone-8-7-7-plus-6-6s-6plus-silicona-oferta-_JM,NA,NA,NA,NA,NA,#450933234,Apple,Silicona,NA,NA
5, Protector 360 Magnetico iPhone 6 7 7plus 8 8plus Xs Xr Xsmax ,490,NA,"
			
				Nuevo
			
			
				
					 - 
				
				429
				vendidos
			
		",(44 disponibles),"
	
		
			Hasta
		

		18 cuotas de
		
			
				$ 2722

			 sin interés
			
		
	


	
		",22,Envío a todo el país,NA,NA,NA,1.0,1,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-443922805-protector-360-magnetico-iphone-6-7-7plus-8-8plus-xs-xr-xsmax-_JM?searchVariation=35598511124,NA,NA,NA,NA,NA,#443922805,Apple,TPU,NA,NA
6, Protector Full 360 + Vidrio iPhone 8 7 6s 6 Y Plus 5 5s Se ® ,117,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1781
				vendidos
			
		",(3960 disponibles),"
	
		
			Hasta
		

		18 cuotas de
		
			
				$ 650

			 sin interés
			
		
	


	
		",50,Envío a todo el país,NA,NA,NA,4.6,62,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-442559969-protector-full-360-vidrio-iphone-8-7-6s-6-y-plus-5-5s-se--_JM,47,10,3,0,2,#442559969,Apple,NA,NA,NA
7, Funda Transparente iPhone 8 & 8 Plus Ultra Slim Hybrid Case ,420,NA,"
			
				Nuevo
			
			
				
					 - 
				
				237
				vendidos
			
		",(73 disponibles),"
	
		
			Hasta
		

		18 cuotas de
		
			
				$ 2333

			 sin interés
			
		
	


	
		",33,Entrega a acordar con el vendedor,NA,NA,NA,4.6,22,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,https://articulo.mercadolibre.com.uy/MLU-448803228-funda-transparente-iphone-8-8-plus-ultra-slim-hybrid-case-_JM,14,7,1,0,0,#448803228,Apple,NA,NA,NA
8, Protector Funda iPhone 8 Plus Ardillas Carcasa ,599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(3 disponibles),"
	
		
			Hasta
		

		18 cuotas de
		
			
				$ 3328

			 sin interés
			
		
	


	
		",28,Envío a todo el país,NA,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/69+CASES,https://articulo.mercadolibre.com.uy/MLU-449485678-protector-funda-iphone-8-plus-ardillas-carcasa-_JM,NA,NA,NA,NA,NA,#449485678,Apple,Silicona,NA,NA
9, Protector Fino Simil Cuero iPhone 8 7 6s 6 Se 5s 5 Y Plus ® ,390,NA,"
			
				Nuevo
			
			
				
					 - 
				
				793
				vendidos
			
		",(3992 disponibles),"
	
		
			Hasta
		

		18 cuotas de
		
			
				$ 2167

			 sin interés
			
		
	


	
		",67,Envío a todo el país,NA,NA,NA,4.0,23,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443202210-protector-fino-simil-cuero-iphone-8-7-6s-6-se-5s-5-y-plus--_JM,12,5,2,3,1,#443202210,Apple,Cuero,NA,NA
10, Protector Funda Silicona 360 Para iPhone 8 Febo ,190,NA,"
			
				Nuevo
			
			
				
					 - 
				
				8
				vendidos
			
		",(99991 disponibles),"
	
		
			Hasta
		

		18 cuotas de
		
			
				$ 1056

			 sin interés
			
		
	


	
		",56,Envío a todo el país,NA,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-454741078-protector-funda-silicona-360-para-iphone-8-febo-_JM,NA,NA,NA,NA,NA,#454741078,Apple,Silicona,NA,NA
