seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
REMOTODOMICILIO,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,3,3 años vendiendo en Mercado Libre,3059,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,674,Mala (23),Regular (27),Buena (624),"Caballito, Capital Federal.",3059 ventas en los últimos 4 meses
CRAZYSTATION,https://perfil.mercadolibre.com.ar/CRAZYSTATION,13,13 años vendiendo en Mercado Libre,2363,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,612,Mala (22),Regular (24),Buena (566),"Floresta, Capital Federal.",2363 ventas en los últimos 4 meses
GENERACIONUNO,https://perfil.mercadolibre.com.ar/GENERACIONUNO,11,11 años vendiendo en Mercado Libre,4705,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,1831,Mala (12),Regular (29),Buena (1790),"Microcentro - Obelisco, Capital Federal.",4705 ventas en los últimos 4 meses
NORCEL_CABA,https://perfil.mercadolibre.com.ar/NORCEL_CABA,14,14 años vendiendo en Mercado Libre,6853,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,1985,Mala (36),Regular (39),Buena (1910),"Palermo, Capital Federal.",6853 ventas en los últimos 4 meses
TIENDASHOPEALO,https://perfil.mercadolibre.com.ar/TIENDASHOPEALO,13,13 años vendiendo en Mercado Libre,9200,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,1984,Mala (30),Regular (24),Buena (1930),"Morón, Buenos Aires.",9200 ventas en los últimos 4 meses
NORCEL01,https://perfil.mercadolibre.com.ar/NORCEL01,4,4 años vendiendo en Mercado Libre,8512,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,2199,Mala (31),Regular (58),Buena (2110),"Olivos, Buenos Aires.",8512 ventas en los últimos 4 meses
TIENDASHOPEALOML,https://perfil.mercadolibre.com.ar/TIENDASHOPEALOML,2,2 años vendiendo en Mercado Libre,5725,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,1207,Mala (14),Regular (16),Buena (1177),"Morón, Buenos Aires.",5725 ventas en los últimos 4 meses
TEKHNETSHOP,https://perfil.mercadolibre.com.ar/TEKHNETSHOP,3,3 años vendiendo en Mercado Libre,1232,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,459,Mala (3),Regular (5),Buena (451),"Capital Federal, Capital Federal.",1232 ventas en los últimos 4 meses
COSASLINDAS-,https://perfil.mercadolibre.com.ar/COSASLINDAS-,15,15 años vendiendo en Mercado Libre,5249,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,1892,Mala (10),Regular (16),Buena (1866),"Congreso, Capital Federal.",5249 ventas en los últimos 4 meses
ORIGINALCASE NET,https://perfil.mercadolibre.com.ar/ORIGINALCASE+NET,7,7 años vendiendo en Mercado Libre,1039,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,258,Mala (1),Regular (1),Buena (256),"C.A.B.A., Capital Federal.",1039 ventas en los últimos 4 meses
