seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,2,años,5022,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,1095,17,21,1057,"Santiago, RM (Metropolitana).",meses,4
PHONESTORE-RETAILCHILE,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,3,años,2009,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,489,10,11,468,"Santiago, RM (Metropolitana).",meses,4
HOLA_UPMOVILCHILE,https://perfil.mercadolibre.cl/HOLA_UPMOVILCHILE,8,meses,1004,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,176,6,11,159,"Providencia, RM (Metropolitana).",meses,4
TECNOSTRIKE,https://perfil.mercadolibre.cl/TECNOSTRIKE,6,años,708,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,127,0,1,126,"Providencia, RM (Metropolitana).",meses,4
VAPORISLANDCHILE,https://perfil.mercadolibre.cl/VAPORISLANDCHILE,7,años,227,MercadoLíder,Brinda buena atención,Entrega sus productos a tiempo,49,1,0,48,"Vitacura, RM (Metropolitana).",meses,4
AMPLEX_CHILE,https://perfil.mercadolibre.cl/AMPLEX_CHILE,6,años,22,NA,Brinda buena atención,Entrega sus productos a tiempo,2,0,0,2,"Santiago, RM (Metropolitana).",meses,4
DIGITEK.CL,https://perfil.mercadolibre.cl/DIGITEK.CL,1,año,291,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,73,1,4,68,"Las Condes, RM (Metropolitana).",meses,4
MIAUSTORE.CL,https://perfil.mercadolibre.cl/MIAUSTORE.CL,7,años,209,MercadoLíder,Brinda buena atención,Entrega sus productos a tiempo,58,0,0,58,"Santiago, RM (Metropolitana).",meses,4
MONKEYCOLOR,https://perfil.mercadolibre.cl/MONKEYCOLOR,9,años,637,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,111,1,3,107,"Santiago, RM (Metropolitana).",meses,4
CUATRO GLACIARES,https://perfil.mercadolibre.cl/CUATRO+GLACIARES,3,meses,378,NA,Brinda buena atención,Entrega sus productos a tiempo,57,2,2,53,"Las Condes, RM (Metropolitana).",meses,3
COMERCIALONLINE EIRL,https://perfil.mercadolibre.cl/COMERCIALONLINE+EIRL,4,años,857,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,145,7,5,133,"La Florida, RM (Metropolitana).",meses,4
MICHELLODJUANPABLO,https://perfil.mercadolibre.cl/MICHELLODJUANPABLO,3,años,339,MercadoLíder Gold,Brinda buena atención,Entrega sus productos a tiempo,67,2,0,65,"Macul, RM (Metropolitana).",meses,4
STORECYC,https://perfil.mercadolibre.cl/STORECYC,6,años,245,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,40,0,0,40,"Independencia, RM (Metropolitana).",meses,4
ALPHATECHILE,https://perfil.mercadolibre.cl/ALPHATECHILE,3,años,694,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,142,1,4,137,"Arica, Arica y Parinacota.",meses,4
