seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,2,2 años vendiendo en Mercado Libre,5022,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1095,Mala (17),Regular (21),Buena (1057),"Santiago, RM (Metropolitana).",5022 ventas en los últimos 4 meses
PHONESTORE-RETAILCHILE,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,3,3 años vendiendo en Mercado Libre,2009,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,489,Mala (10),Regular (11),Buena (468),"Santiago, RM (Metropolitana).",2009 ventas en los últimos 4 meses
HOLA_UPMOVILCHILE,https://perfil.mercadolibre.cl/HOLA_UPMOVILCHILE,8,8 meses vendiendo en Mercado Libre,1004,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,176,Mala (6),Regular (11),Buena (159),"Providencia, RM (Metropolitana).",1004 ventas en los últimos 4 meses
TECNOSTRIKE,https://perfil.mercadolibre.cl/TECNOSTRIKE,6,6 años vendiendo en Mercado Libre,708,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,127,Mala (0),Regular (1),Buena (126),"Providencia, RM (Metropolitana).",708 ventas en los últimos 4 meses
VAPORISLANDCHILE,https://perfil.mercadolibre.cl/VAPORISLANDCHILE,7,7 años vendiendo en Mercado Libre,227,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,49,Mala (1),Regular (0),Buena (48),"Vitacura, RM (Metropolitana).",227 ventas en los últimos 4 meses
AMPLEX_CHILE,https://perfil.mercadolibre.cl/AMPLEX_CHILE,6,6 años vendiendo en Mercado Libre,22,NA,Brinda buena atención,Entrega sus productos a tiempo,2,Mala (0),Regular (0),Buena (2),"Santiago, RM (Metropolitana).",22 ventas en los últimos 4 meses
DIGITEK.CL,https://perfil.mercadolibre.cl/DIGITEK.CL,1,1 año vendiendo en Mercado Libre,291,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,73,Mala (1),Regular (4),Buena (68),"Las Condes, RM (Metropolitana).",291 ventas en los últimos 4 meses
MIAUSTORE.CL,https://perfil.mercadolibre.cl/MIAUSTORE.CL,7,7 años vendiendo en Mercado Libre,209,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,58,Mala (0),Regular (0),Buena (58),"Santiago, RM (Metropolitana).",209 ventas en los últimos 4 meses
MONKEYCOLOR,https://perfil.mercadolibre.cl/MONKEYCOLOR,9,9 años vendiendo en Mercado Libre,637,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,111,Mala (1),Regular (3),Buena (107),"Santiago, RM (Metropolitana).",637 ventas en los últimos 4 meses
CUATRO GLACIARES,https://perfil.mercadolibre.cl/CUATRO+GLACIARES,3,3 meses vendiendo en Mercado Libre,378,NA,Brinda buena atención,Entrega sus productos a tiempo,57,Mala (2),Regular (2),Buena (53),"Las Condes, RM (Metropolitana).",378 ventas en los últimos 3 meses
COMERCIALONLINE EIRL,https://perfil.mercadolibre.cl/COMERCIALONLINE+EIRL,4,4 años vendiendo en Mercado Libre,857,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,145,Mala (7),Regular (5),Buena (133),"La Florida, RM (Metropolitana).",857 ventas en los últimos 4 meses
MICHELLODJUANPABLO,https://perfil.mercadolibre.cl/MICHELLODJUANPABLO,3,3 años vendiendo en Mercado Libre,339,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,67,Mala (2),Regular (0),Buena (65),"Macul, RM (Metropolitana).",339 ventas en los últimos 4 meses
STORECYC,https://perfil.mercadolibre.cl/STORECYC,6,6 años vendiendo en Mercado Libre,245,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,40,Mala (0),Regular (0),Buena (40),"Independencia, RM (Metropolitana).",245 ventas en los últimos 4 meses
ALPHATECHILE,https://perfil.mercadolibre.cl/ALPHATECHILE,3,3 años vendiendo en Mercado Libre,694,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,142,Mala (1),Regular (4),Buena (137),"Arica, Arica y Parinacota.",694 ventas en los últimos 4 meses
VENTAS ELECTRONICAS1,https://perfil.mercadolibre.cl/VENTAS+ELECTRONICAS1,5,5 años vendiendo en Mercado Libre,1934,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,393,Mala (18),Regular (7),Buena (368),"Santiago, RM (Metropolitana).",1934 ventas en los últimos 4 meses
AERRECOMEX.COM,https://perfil.mercadolibre.cl/AERRECOMEX.COM,6,6 años vendiendo en Mercado Libre,41,NA,Brinda buena atención,Entrega sus productos a tiempo,8,Mala (1),Regular (0),Buena (7),"Santiago, RM (Metropolitana).",41 ventas en los últimos 4 meses
4BUY.CL,https://perfil.mercadolibre.cl/4BUY.CL,2,2 años vendiendo en Mercado Libre,503,NA,Brinda buena atención,Entrega sus productos a tiempo,74,Mala (1),Regular (1),Buena (72),"La Serena, Coquimbo.",503 ventas en los últimos 4 meses
PLANETMOVILRM,https://perfil.mercadolibre.cl/PLANETMOVILRM,4,4 años vendiendo en Mercado Libre,29,NA,Brinda buena atención,Entrega sus productos a tiempo,2,Mala (0),Regular (0),Buena (2),"Santiago, RM (Metropolitana).",29 ventas en los últimos 4 meses
CELPRO_CL,https://perfil.mercadolibre.cl/CELPRO_CL,1,1 año vendiendo en Mercado Libre,304,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,54,Mala (1),Regular (1),Buena (52),"Santiago, RM (Metropolitana).",304 ventas en los últimos 4 meses
CONTACTO_UPMOVIL,https://perfil.mercadolibre.cl/CONTACTO_UPMOVIL,3,3 meses vendiendo en Mercado Libre,557,NA,Brinda buena atención,Entrega sus productos a tiempo,96,Mala (7),Regular (4),Buena (85),"Providencia, RM (Metropolitana).",557 ventas en los últimos 3 meses
LINESHOPCL,https://perfil.mercadolibre.cl/LINESHOPCL,1,1 año vendiendo en Mercado Libre,461,NA,Brinda buena atención,Entrega sus productos a tiempo,282,Mala (2),Regular (4),Buena (276),"Independencia, RM (Metropolitana).",461 ventas en el último año
MAXTECHCHILELTDA,https://perfil.mercadolibre.cl/MAXTECHCHILELTDA,11,11 años vendiendo en Mercado Libre,1485,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,311,Mala (8),Regular (10),Buena (293),"Providencia, RM (Metropolitana).",1485 ventas en los últimos 4 meses
STOCKSHOP USA,https://perfil.mercadolibre.cl/STOCKSHOP+USA,4,4 meses vendiendo en Mercado Libre,1688,NA,Brinda buena atención,Entrega sus productos a tiempo,615,Mala (13),Regular (52),Buena (550),"Providencia, RM (Metropolitana).",1688 ventas en los últimos 4 meses
