search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Material,Marca,Modelo
1, Carcasa Case iPhone Original 6 6plus 7 8 Plus 10 X Xr Xsmax ,650,NA,"
			
				Nuevo
			
			
				
					 - 
				
				962
				vendidos
			
		",(281 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3611
		
		 sin interés
		
	

	
		",11,NA,Entrega a acordar con el vendedor,NA,NA,4.8,34,http://perfil.mercadolibre.com.uy/GOGREEN+IMPORTACIONES,https://articulo.mercadolibre.com.uy/MLU-451751865-carcasa-case-iphone-original-6-6plus-7-8-plus-10-x-xr-xsmax-_JM,27,7,0,0,0,#451751865,Apple,Silicona,NA,NA
2, Protector Full 360 + Vidrio iPhone 8 7 6s 6 Y Plus 5 5s Se ® ,117,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1824
				vendidos
			
		",(3941 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 650
		
		 sin interés
		
	

	
		",50,NA,Envío a todo el país,NA,NA,4.6,65,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-442559969-protector-full-360-vidrio-iphone-8-7-6s-6-y-plus-5-5s-se--_JM?searchVariation=36823931469,50,10,3,0,2,#442559969,Apple,NA,NA,NA
3, Protector Silicona Simil Original iPhone 6 7 7 Plus 8 Plus ,449,NA,"
			
				Nuevo
			
			
				
					 - 
				
				37
				vendidos
			
		",(38 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2494
		
		 sin interés
		
	

	
		",94,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.uy/O+TEC,https://articulo.mercadolibre.com.uy/MLU-448451214-protector-silicona-simil-original-iphone-6-7-7-plus-8-plus-_JM,NA,NA,NA,NA,NA,#448451214,Apple,Silicona,NA,NA
4, Estuche Funda Silicona Original iPhone 5 6 6s 7 8 Plus X ,590,NA,"
			
				Nuevo
			
			
				
					 - 
				
				159
				vendidos
			
		",(9 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3278
		
		 sin interés
		
	

	
		",78,NA,Envío a todo el país,NA,NA,4.7,7,http://perfil.mercadolibre.com.uy/DATASURTECNOSTORE,https://articulo.mercadolibre.com.uy/MLU-454840861-estuche-funda-silicona-original-iphone-5-6-6s-7-8-plus-x-_JM,5,2,0,0,0,#454840861,Apple,Silicona,NA,NA
5, Protector 360 Magnetico iPhone 6s Plus 8 8 Plus X Xr Xs Max ,540,NA,"
			
				Nuevo
			
			
				
					 - 
				
				37
				vendidos
			
		",(43 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3000
		
		 sin interés
		
	

	
		",00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-460107403-protector-360-magnetico-iphone-6s-plus-8-8-plus-x-xr-xs-max-_JM?searchVariation=35752124172,NA,NA,NA,NA,NA,#460107403,Apple,NA,NA,NA
6, Protector 360 Magnetico iPhone 6 7 7plus 8 8plus Xs Xr Xsmax ,490,NA,"
			
				Nuevo
			
			
				
					 - 
				
				437
				vendidos
			
		",(39 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2722
		
		 sin interés
		
	

	
		",22,NA,Envío a todo el país,NA,NA,1.0,2,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-443922805-protector-360-magnetico-iphone-6-7-7plus-8-8plus-xs-xr-xsmax-_JM?searchVariation=35598511116,NA,NA,NA,NA,NA,#443922805,Apple,TPU,NA,NA
7, Protector Fino Cristal Bumper iPhone 8 7 6 6s 5 5s Se Plus ® ,190,NA,"
			
				Nuevo
			
			
				
					 - 
				
				631
				vendidos
			
		",(3933 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1056
		
		 sin interés
		
	

	
		",56,NA,Envío a todo el país,NA,NA,4.4,35,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443333988-protector-fino-cristal-bumper-iphone-8-7-6-6s-5-5s-se-plus--_JM,20,10,4,1,0,#443333988,Apple,TPU,Apple,5/SE/6s/7/8/ Plus
8, Protector Silicona Similar Original iPhone 6 7 8 X Plus Febo ,290,NA,"
			
				Nuevo
			
			
				
					 - 
				
				233
				vendidos
			
		",(4947 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1611
		
		 sin interés
		
	

	
		",11,NA,Envío a todo el país,NA,NA,4.7,14,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-451583235-protector-silicona-similar-original-iphone-6-7-8-x-plus-febo-_JM,10,4,0,0,0,#451583235,Apple,Silicona,NA,NA
9, Funda Protector Full Case iPhone 6/7/8 Plus 360 Con Vidrio ,150,NA,"
			
				Nuevo
			
			
				
					 - 
				
				44
				vendidos
			
		",(6 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 833
		
		 sin interés
		
	

	
		",33,NA,Entrega a acordar con el vendedor,NA,NA,5.0,4,http://perfil.mercadolibre.com.uy/AR+IMPORT.,https://articulo.mercadolibre.com.uy/MLU-457722592-funda-protector-full-case-iphone-678-plus-360-con-vidrio-_JM,4,0,0,0,0,#457722592,Apple,NA,NA,NA
10, Protector Case iPhone Simil Original 5 6 7 Y 8 Plus X Xs Max ,450,NA,"
			
				Nuevo
			
			
				
					 - 
				
				190
				vendidos
			
		",(481 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2500
		
		 sin interés
		
	

	
		",00,NA,Entrega a acordar con el vendedor,NA,NA,4.7,23,http://perfil.mercadolibre.com.uy/AR+IMPORT.,https://articulo.mercadolibre.com.uy/MLU-459085400-protector-case-iphone-simil-original-5-6-7-y-8-plus-x-xs-max-_JM?searchVariation=38909044581,18,3,1,1,0,#459085400,Apple,Silicona,NA,Simil original
