seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
NOMOTEC,https://perfil.mercadolivre.com.br/NOMOTEC,10,10 anos vendendo no Mercado Livre,2908,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,353,Ruim (19),Regular (13),Bom (321),"São Paulo, São Paulo.",2908 vendas nos últimos 4 meses
BULIERMODASACESSORIOS,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,5,5 anos vendendo no Mercado Livre,3273,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,182,Ruim (10),Regular (9),Bom (163),"Rio de Janeiro, Rio de Janeiro.",3273 vendas nos últimos 4 meses
JK-CAPAS EXPRESSO,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,4,4 meses vendendo no Mercado Livre,6492,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,628,Ruim (15),Regular (14),Bom (599),"São Paulo, São Paulo.",6492 vendas nos últimos 4 meses
MALE2382936,https://perfil.mercadolivre.com.br/MALE2382936,5,5 meses vendendo no Mercado Livre,588,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,44,Ruim (0),Regular (2),Bom (42),"São Paulo, São Paulo.",588 vendas nos últimos 4 meses
REI_CELULAR,https://perfil.mercadolivre.com.br/REI_CELULAR,6,6 meses vendendo no Mercado Livre,3052,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,224,Ruim (6),Regular (2),Bom (216),"São Paulo, São Paulo.",3052 vendas nos últimos 4 meses
STORECASE-BR,https://perfil.mercadolivre.com.br/STORECASE-BR,11,11 anos vendendo no Mercado Livre,336,MercadoLíderÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,51,Ruim (1),Regular (1),Bom (49),"Teófilo Otoni, Minas Gerais.",336 vendas nos últimos 4 meses
EXTREME.DEAL,https://perfil.mercadolivre.com.br/EXTREME.DEAL,8,8 anos vendendo no Mercado Livre,6374,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,553,Ruim (39),Regular (19),Bom (495),"São Paulo, São Paulo.",6374 vendas nos últimos 4 meses
MARKETMIX1,https://perfil.mercadolivre.com.br/MARKETMIX1,9,9 anos vendendo no Mercado Livre,7000,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,697,Ruim (37),Regular (24),Bom (636),"São Paulo, São Paulo.",7000 vendas nos últimos 4 meses
TECMODENA,https://perfil.mercadolivre.com.br/TECMODENA,5,5 anos vendendo no Mercado Livre,3023,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,320,Ruim (20),Regular (10),Bom (290),"São Paulo, São Paulo.",3023 vendas nos últimos 4 meses
GLOBALELETRONICOSEIRELI,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,7,7 meses vendendo no Mercado Livre,677,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,32,Ruim (2),Regular (1),Bom (29),"São Paulo, São Paulo.",677 vendas nos últimos 4 meses
JKCAPAS,https://perfil.mercadolivre.com.br/JKCAPAS,4,4 anos vendendo no Mercado Livre,1701,MercadoLíderÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,46,Ruim (7),Regular (2),Bom (37),"São Paulo, São Paulo.",1701 vendas nos últimos 4 meses
AQUITEMDETUDO16,https://perfil.mercadolivre.com.br/AQUITEMDETUDO16,4,4 anos vendendo no Mercado Livre,782,MercadoLíderÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,65,Ruim (1),Regular (5),Bom (59),"Ourinhos, São Paulo.",782 vendas nos últimos 4 meses
OLST2825962,https://perfil.mercadolivre.com.br/OLST2825962,3,3 anos vendendo no Mercado Livre,707,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,105,Ruim (1),Regular (4),Bom (100),"São Paulo, São Paulo.",707 vendas nos últimos 4 meses
AJCAPA,https://perfil.mercadolivre.com.br/AJCAPA,2,2 meses vendendo no Mercado Livre,2972,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,302,Ruim (7),Regular (8),Bom (287),"São Paulo, São Paulo.",2972 vendas nos últimos 2 meses
FAVA STORE,https://perfil.mercadolivre.com.br/FAVA+STORE,1,1 ano vendendo no Mercado Livre,711,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,152,Ruim (5),Regular (4),Bom (143),"Pescaria Brava, Santa Catarina.",711 vendas nos últimos 4 meses
MAISVARIEDADESHOP,https://perfil.mercadolivre.com.br/MAISVARIEDADESHOP,3,3 anos vendendo no Mercado Livre,4467,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,187,Ruim (20),Regular (9),Bom (158),"São Paulo, São Paulo.",4467 vendas nos últimos 4 meses
