seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
JAPIMPORTA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,6,6 años vendiendo en Mercado Libre,1725,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1051,Negativa (3),Neutral (34),Positiva (1014),"Lima, Lima.",NA
APPLEMALLCENTER,http://perfil.mercadolibre.com.pe/APPLEMALLCENTER,3,3 años vendiendo en Mercado Libre,1008,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,729,Negativa (1),Neutral (4),Positiva (724),"Lima, Lima.",NA
PASAJECENTRALSAC,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,1,1 año vendiendo en Mercado Libre,1038,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,601,Negativa (0),Neutral (3),Positiva (598),"Lima, Lima.",NA
CSHOP1,http://perfil.mercadolibre.com.pe/CSHOP1,12,12 años vendiendo en Mercado Libre,653,NA,NA,NA,418,Negativa (0),Neutral (3),Positiva (415),"Lima, Lima.",NA
CASEMOTIONS.PE,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,4,4 años vendiendo en Mercado Libre,4306,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2565,Negativa (1),Neutral (12),Positiva (2552),"Lima, Lima.",NA
HAPPYSHOPVENTAS,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,4,4 años vendiendo en Mercado Libre,1494,NA,NA,NA,608,Negativa (9),Neutral (34),Positiva (565),"Lima, Lima.",NA
GLOBAL CELS,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,6,6 años vendiendo en Mercado Libre,2419,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1382,Negativa (5),Neutral (41),Positiva (1336),"Lima, Lima.",NA
TIENDAEXPRESS.PE,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,2,2 años vendiendo en Mercado Libre,626,NA,NA,NA,361,Negativa (0),Neutral (0),Positiva (361),"Lima, Lima.",NA
RODRI STORE01,http://perfil.mercadolibre.com.pe/RODRI+STORE01,11,11 meses vendiendo en Mercado Libre,390,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,191,Negativa (0),Neutral (4),Positiva (187),"Lima, Lima.",NA
GHINEXS,http://perfil.mercadolibre.com.pe/GHINEXS,7,7 años vendiendo en Mercado Libre,7,NA,NA,NA,31,Negativa (1),Neutral (8),Positiva (22),"Lima, Lima.",NA
