country,seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
ARG,REMOTODOMICILIO,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,3,1,3130,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,689,23,27,639,"Caballito, Capital Federal.",4,3
ARG,TIENDASHOPEALO,https://perfil.mercadolibre.com.ar/TIENDASHOPEALO,13,1,9389,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,2040,30,25,1985,"Morón, Buenos Aires.",4,3
ARG,TECHYOK,https://perfil.mercadolibre.com.ar/TECHYOK,3,1,2123,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,819,8,13,798,"Microcentro, Capital Federal.",4,3
ARG,CRAZYSTATION,https://perfil.mercadolibre.com.ar/CRAZYSTATION,13,1,2416,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,620,22,25,573,"Floresta, Capital Federal.",4,3
ARG,NORCEL_CABA,https://perfil.mercadolibre.com.ar/NORCEL_CABA,14,1,7043,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,2028,36,40,1952,"Palermo, Capital Federal.",4,3
ARG,GENERACIONUNO,https://perfil.mercadolibre.com.ar/GENERACIONUNO,11,1,4781,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,1850,12,29,1809,"Microcentro - Obelisco, Capital Federal.",4,3
ARG,MEGASTATIONSRL,https://perfil.mercadolibre.com.ar/MEGASTATIONSRL,5,1,5587,NA,Brinda buena atención,Despacha sus productos a tiempo,1852,30,58,1764,"Belgrano, Capital Federal.",4,3
ARG,GRUPO TTB.S.R.L.,https://perfil.mercadolibre.com.ar/GRUPO+TTB.S.R.L.,1,2,2260,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,756,15,24,717,"Villa Crespo, Capital Federal.",4,3
ARG,NORCEL01,https://perfil.mercadolibre.com.ar/NORCEL01,4,1,8679,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,2269,31,59,2179,"Olivos, Buenos Aires.",4,3
ARG,COSASLINDAS-,https://perfil.mercadolibre.com.ar/COSASLINDAS-,15,1,5371,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,1920,10,17,1893,"Congreso, Capital Federal.",4,3
ARG,CELUGADGETS,https://perfil.mercadolibre.com.ar/CELUGADGETS,14,1,5804,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,1849,30,45,1774,"Palermo, Capital Federal.",4,3
ARG,TEKHNETSHOP,https://perfil.mercadolibre.com.ar/TEKHNETSHOP,3,1,1254,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,466,4,6,456,"Capital Federal, Capital Federal.",4,3
ARG,TIENDASHOPEALOML,https://perfil.mercadolibre.com.ar/TIENDASHOPEALOML,2,1,5833,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,1247,14,16,1217,"Morón, Buenos Aires.",4,3
ARG,SERVICIOSLINK,https://perfil.mercadolibre.com.ar/SERVICIOSLINK,11,1,3796,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,1074,17,14,1043,"San Justo, Buenos Aires.",4,3
ARG,POLO CEL,https://perfil.mercadolibre.com.ar/POLO+CEL,6,1,6967,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,2045,48,47,1950,"Villa Crespo, Capital Federal.",4,3
ARG,CLUBDELCELUOFICIAL,https://perfil.mercadolibre.com.ar/CLUBDELCELUOFICIAL,3,1,3330,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,840,18,13,809,"Floresta, Capital Federal.",4,3
ARG,THEPHONE_BSAS,https://perfil.mercadolibre.com.ar/THEPHONE_BSAS,7,1,6115,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,1735,39,58,1638,"San nicolas, Capital Federal.",4,3
ARG,ELEVENTECH,https://perfil.mercadolibre.com.ar/ELEVENTECH,4,1,2476,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,998,31,39,928,"Balvanera, Capital Federal.",4,3
ARG,ACTIVACIONES CRESPO,https://perfil.mercadolibre.com.ar/ACTIVACIONES+CRESPO,6,1,1727,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,618,13,8,597,"Villa Crespo, Capital Federal.",4,3
ARG,ILOVEPHONE.ARG,https://perfil.mercadolibre.com.ar/ILOVEPHONE.ARG,12,1,1284,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,374,4,4,366,"Buenos Aires, Capital Federal.",4,3
ARG,KA-MAS,https://perfil.mercadolibre.com.ar/KA-MAS,8,1,2485,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,783,24,27,732,"Villa Pueyrredón, Capital Federal.",4,3
ARG,JPCOMPUTERSINSUMOS2020,https://perfil.mercadolibre.com.ar/JPCOMPUTERSINSUMOS2020,2,1,1864,NA,Brinda buena atención,Despacha sus productos a tiempo,566,12,16,538,"SAN JUSTO, Buenos Aires.",4,3
ARG,MIPEDIDOWEB2018,https://perfil.mercadolibre.com.ar/MIPEDIDOWEB2018,4,1,885,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,360,4,10,346,"Microcentro, Capital Federal.",4,3
ARG,ORIGINALCASE NET,https://perfil.mercadolibre.com.ar/ORIGINALCASE+NET,7,1,1063,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,272,2,1,269,"C.A.B.A., Capital Federal.",4,3
ARG,GIOOCAMP,https://perfil.mercadolibre.com.ar/GIOOCAMP,3,1,73,NA,Brinda buena atención,Despacha sus productos a tiempo,26,2,1,23,"Avellaneda, Buenos Aires.",4,3
ARG,OSIRIS.FUNDAS,https://perfil.mercadolibre.com.ar/OSIRIS.FUNDAS,5,1,303,NA,Brinda buena atención,Despacha sus productos a tiempo,103,0,1,102,"Liniers, Capital Federal.",4,3
ARG,WALDENSTORE,https://perfil.mercadolibre.com.ar/WALDENSTORE,19,1,442,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,152,0,1,151,"Recoleta, Capital Federal.",4,3
ARG,COVER.CELL,https://perfil.mercadolibre.com.ar/COVER.CELL,13,1,4304,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,1315,37,42,1236,"Devoto, Capital Federal.",4,3
ARG,MIKECOMUNICACION,https://perfil.mercadolibre.com.ar/MIKECOMUNICACION,6,1,1578,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,510,8,10,492,"Belgrano, Capital Federal.",4,3
ARG,KOKOLOCO4,https://perfil.mercadolibre.com.ar/KOKOLOCO4,13,1,78,NA,Brinda buena atención,Despacha sus productos a tiempo,35,1,0,34,"Martínez, Buenos Aires.",4,3
ARG,PEDIDOS_Y_ENCARGUES,https://perfil.mercadolibre.com.ar/PEDIDOS_Y_ENCARGUES,5,1,351,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,136,1,2,133,"Liniers, Capital Federal.",4,3
ARG,SMART-CLICK,https://perfil.mercadolibre.com.ar/SMART-CLICK,3,1,15084,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,3933,99,126,3708,"Boedo, Capital Federal.",4,3
ARG,DLP.ACC,https://perfil.mercadolibre.com.ar/DLP.ACC,8,1,90,NA,Brinda buena atención,Despacha sus productos a tiempo,23,0,0,23,"Buenos Aires, Buenos Aires.",4,3
ARG,TRISHOP2010,https://perfil.mercadolibre.com.ar/TRISHOP2010,6,1,3305,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,792,15,14,763,"ONCE, BALVANERA, Capital Federal.",4,3
ARG,PANDASHOP_ARG,https://perfil.mercadolibre.com.ar/PANDASHOP_ARG,2,1,7892,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,2102,88,114,1900,"Villa Crespo, Capital Federal.",4,3
ARG,PUNTO_ DIGITAL,https://perfil.mercadolibre.com.ar/PUNTO_+DIGITAL,1,2,7183,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,1787,26,19,1742,"Martínez, Buenos Aires.",4,3
ARG,MARTIN5LD,https://perfil.mercadolibre.com.ar/MARTIN5LD,4,1,238,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,78,1,1,76,"Cordoba, Córdoba.",4,3
ARG,TIENDA CONTROL,https://perfil.mercadolibre.com.ar/TIENDA+CONTROL,16,1,1271,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,570,2,11,557,"Microcentro, Capital Federal.",4,3
ARG,ACCESSORIES4U,https://perfil.mercadolibre.com.ar/ACCESSORIES4U,7,1,1340,NA,Brinda buena atención,Despacha sus productos a tiempo,1028,2,10,1016,"PALERMO, Capital Federal.",5,1
ARG,FIONADAN,https://perfil.mercadolibre.com.ar/FIONADAN,2,1,172,NA,Brinda buena atención,Despacha sus productos a tiempo,85,2,1,82,"Villa del Parque, Capital Federal.",2,1
ARG,BSAS_TECNO,https://perfil.mercadolibre.com.ar/BSAS_TECNO,9,3,2675,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,1260,5,12,1243,"San Nicolás, Capital Federal.",4,3
ARG,TIENDAEASYSHOPPING,https://perfil.mercadolibre.com.ar/TIENDAEASYSHOPPING,2,1,2294,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,689,10,13,666,"Villa Devoto, Capital Federal.",4,3
ARG,MACSTATION OFICIAL,https://perfil.mercadolibre.com.ar/MACSTATION+OFICIAL,3,1,233,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,65,1,1,63,"Recoleta, Capital Federal.",4,3
ARG,CROSSOVER.,https://perfil.mercadolibre.com.ar/CROSSOVER.,12,1,50,NA,Brinda buena atención,Despacha sus productos a tiempo,24,0,1,23,"Tigre, Buenos Aires.",4,3
ARG,WEST-SHOP,https://perfil.mercadolibre.com.ar/WEST-SHOP,15,1,2565,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,1003,18,15,970,"Palermo, Capital Federal.",4,3
ARG,DREAMSSTORE1,https://perfil.mercadolibre.com.ar/DREAMSSTORE1,3,1,1546,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,370,12,10,348,"San Nicolás, Capital Federal.",4,3
ARG,COVERYOURCASES4,https://perfil.mercadolibre.com.ar/COVERYOURCASES4,11,3,755,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Despacha sus productos a tiempo,322,4,3,315,"Villa Urquiza, Capital Federal.",4,3
