search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material
1, Funda Silicone Case 5s Se 6 6s 7 Plus iPhone 8 Plus Original ,499,NA,1858,530,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,63,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-689528238-funda-silicone-case-5s-se-6-6s-7-plus-iphone-8-plus-original-_JM,49,9,3,0,2,#689528238,Apple,Iphone,Apple,Silicone Case,Silicone case,Silicona
2, Funda Rigida Antigolpe iPhone 6s 7 8 Plus Xs Max Xr + Glass ,740,NA,1625,636,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,114,https://perfil.mercadolibre.com.ar/TIENDASHOPEALO,https://articulo.mercadolibre.com.ar/MLA-666368423-funda-rigida-antigolpe-iphone-6s-7-8-plus-xs-max-xr-glass-_JM?searchVariation=34624942900,74,25,7,3,5,#666368423,Apple,"iPhone 6, 6s, 6 Plus, 6s Plus, 7, 7 Plus, 8, 8 Plus X, Xs, Xs Max, Xr",Sin Marca,Fusion,Bumper,Acrílico
3, Funda Silicona Silicone Case iPhone 7 8 Plus X Original ,401,NA,839,494,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,16,https://perfil.mercadolibre.com.ar/TECHYOK,https://articulo.mercadolibre.com.ar/MLA-699391515-funda-silicona-silicone-case-iphone-7-8-plus-x-original-_JM,14,1,1,0,0,#699391515,Apple,7 8 Plus X,Apple,7 8  Plus X,Silicona,Silicona
4, Funda Silicone Case iPhone 8 6s 7 Plus Se + Vidrio Templado ,599,NA,591,475,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,10,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-722492563-funda-silicone-case-iphone-8-6s-7-plus-se-vidrio-templado-_JM?searchVariation=34039427293,9,1,0,0,0,#722492563,Apple,Ihone 6s 7 8 Plus,Apple,Silicone Case,Silicone Case,Silicona
5, Funda Ringke Original iPhone X Xs Max 7 8 Plus Xr +envio ,1029,NA,884,315,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,44,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-711298702-funda-ringke-original-iphone-x-xs-max-7-8-plus-xr-envio-_JM?searchVariation=32500129935,36,6,2,0,0,#711298702,Apple,IPHONE 7; 7 PLUS; 8; 8 PLUS; X; XS; XS MAX; XR,Ringke,Fusion,Rugerizada,Acrílico
6, Funda Silicona Premium iPhone 8 7 8 Plus + Vidrio Templado ,659,NA,1238,126,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,3.9,48,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-741182860-funda-metalica-magnetica-vidrio-iphone-x-xs-max-8-7-6-plus-_JM?searchVariation=36653627402,31,4,1,3,9,#741182860,Apple,Iphone X;Iphone Xs Max; Iphone 7; Iphone 8; Iphone 7 plus; Iphone 8 plus; Iphone 6; Iphone 6 Plus; Iphone Xr,Norcel,Magnetica,Bumper,TPU/Policarbonato
7, Funda Metalica Magnetica Vidrio iPhone X Xs Max 8 7 6 Plus ,400,NA,1429,9019,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,37,https://perfil.mercadolibre.com.ar/GENERACIONUNO,https://articulo.mercadolibre.com.ar/MLA-687478565-funda-silicona-premium-iphone-8-7-8-plus-vidrio-templado-_JM,26,10,1,0,0,#687478565,Apple,"Iphone 7, Iphone 7 Plus, Iphone 8, Iphone 8 Plus",Soul | West,Cover,Silicone,Silicona
8, Funda Silicona Premium iPhone 8 7 8 Plus + Vidrio Templado ,400,NA,1429,9019,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,37,https://perfil.mercadolibre.com.ar/GENERACIONUNO,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=ZWSwOsO5Z5bF6oSBWTYfaTw6NTCz1%2BVCjvLcbGXAHrwbXrebXmmcqQnxNwdQzYJM329xpJo%2Fvg8BjBcNvE6Tbh%2BOVblt81dtOK7AB%2B0JPZ85OzFmb99yrnfyuG%2F8Qoufuz7Dw%2FsedBGGdEntGbiMviyW%2B2S2UT%2FkWeJdmT9Lm6l8VtPhZ7MtfQbBnpE%2FBRAN15OApQ4cAX3RUweCY6UJ2fZoVgTs6mFDCg01rqBRJims4jZ8lpAv983eelXSI0pWD1WNC98aam8zOEDVCcYMgSwDnhJ8qxgf2ZQEaySWm4%2BuJxv0swo7tLz6DjcrjcJ3iVKveroChLAnlwpQThs0VAE3yGYfTh02kfT15JVR6uMKPC%2FxtsmkgnJj8NvxJPgwY2iQQVVHssAbvgQCoeFrTvV8p9b1yOQ7NaZIq7k%2F8WYcUAxRJ56nMvvsfc7%2B6EeJ3kA1Do%2FskLbmMBQvBou9ncPHob0YVBJ9SMtavxgd4D1HkIuDhs8VokPaDl%2BtVGK6JT2NtYTuBN%2FP%2FvMn2XuZAynEDp%2Bp%2B2BgwTwaFat4jtKZSKMKnEe5MlVN7CzTWx1EJRQXlz%2Fm30cdZ4%2BPW8LOmDRaMUoXllR%2FcleZjyM9x5mMwv847V7ODLCOWMoKxj36grALUGT82F1J1PHX5qVvsXopIwesl%2Bk0NdWApyrHuymawJYmfwEJJMbf1L%2BrcnF4GQerXMpFHKjnyjPu%2FMBtaDqxG%2FzpSza6DxqqP6fIDRgLiLJrIVIvdSlKJHlTqgHpZIqY5y9w%2BzSa6eCQQfR%2FKBDnvsffa0%2Brlz6PPacdy%2BNe7vZC14h2P7HVT2hz7WUoIX09qw751lHe%2B9iT2KoOVV%2BCIEyFDe0yH0yY6pfpl2zlBSEoMOjOp7CzM7YGSr5PODfegMPT1IMjmtylohYdhgflcHvn8tS6yPX%2FjBL%2F16eqYQyblnY4eWoZq46UscVmqwhOEy%2BFyXJrmdjQeCmQ08q%2FtNMHjN9OyD4QPtet8QtIiR1ULu8MqIqow0leXpTJGTxRB1Lzq19P24GjBZbzXPqafXDRBC8ppkHaxyNzr2sJDIYgF5SxAAQvarFMhZjbjabrfDXcUOo4GdVRQDnZv7N1ZRh5XncvwJ86iRXSdMXYA55l7w2o3%2BeBC2tFxzW%2Bl4RUKc%2BPFB3vNDL3wsKzNqSnMPATEm2H%2FPySiUE1Rb%2FUpc8B9AOve8EQIq09gV8xeQ6EhnNL6LRkFyeopftFrwJ21DKfBC9W%2FcBPvGWWkwwp6MLX8VaV3fVCDkirCOOOpBwUJsOLF5b4C4QLy6Ah0LL%2BhVOkuchu4NP%2BBy88wHBhPRyin3sV5nArJ%2FNGl%2B4paHRmoXxIzCH6PpKrVDWoItaWzyIeQPESStqaF%2BZAnThhKkBzIuX%2FqH6PXyncz5lHUqNxgU6SS3%2BXthoRZKvUTufMSQirbY4so%2B12OkRPYmu3F4eGxFtGz0AvnH2MWopvpt%2BIx1MN9JOVpx8wXVez6fWtUUlzkfAR43J53YfmLn0Tp9F8xis0x1OrQPxottE%2BvH11RqfOzEPftabFJdubHPaelxSBN4gtWZYAsNnQnexGGIFrv9UCMSo0oTrOntXcSIjqJrdSEzRFxLIuUI1mFdUe1%2BcCIJCskBnQqCLitaQeSw%3D%3D,26,10,1,0,0,#687478565,Apple,"Iphone 7, Iphone 7 Plus, Iphone 8, Iphone 8 Plus",Soul | West,Cover,Silicone,Silicona
9, Funda Super Anti Golpe Reforzada iPhone X 6 7 Plus 5 Se X ,139,NA,553,29,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,21,https://perfil.mercadolibre.com.ar/GRUPO+TTB.S.R.L.,https://articulo.mercadolibre.com.ar/MLA-746999903-funda-super-anti-golpe-reforzada-iphone-x-6-7-plus-5-se-x-_JM?searchVariation=36479608140,16,4,1,0,0,#746999903,Apple,iPhone X 6 7 8 PLUS,TTG,iPhone X 6 7 8 PLUS,Air,Acrílico
10, Funda iPhone 8 Plus 7 Plus Apple Original Silicona Soft ,450,NA,5086,472,12 cuotas,NA,NA,Envío a todo el país,NA,NA,4.6,198,https://perfil.mercadolibre.com.ar/CRAZYSTATION,https://articulo.mercadolibre.com.ar/MLA-655324667-funda-iphone-8-plus-7-plus-apple-original-silicona-soft-_JM,147,29,15,4,3,#655324667,Apple,8 Plus / 7 Plus,Apple,Silicone Case,Bumper,Silicona
11, Funda Ringke Original iPhone X Xs 7 8 Plus Max+vidrio+envio ,1189,NA,331,384,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,16,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-749127423-funda-ringke-original-iphone-x-xs-7-8-plus-maxvidrioenvio-_JM?searchVariation=32500157132,15,1,0,0,0,#749127423,Apple,IPHONE 7; 7 PLUS; 8; 8 PLUS; X; XS; XS MAX; XR,Ringke,Fusion,Rugerizada,Acrílico
12, Funda Silicone Case iPhone 8 7 Plus 5s Se 6 6s Original ,520,NA,573,866,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4,22,https://perfil.mercadolibre.com.ar/TIENDASHOPEALO,https://articulo.mercadolibre.com.ar/MLA-636606079-funda-tpu-slim-iphone-6s-7-8-plus-x-xr-xs-max-templado-_JM?searchVariation=28306700078,10,7,2,1,2,#636606079,Apple,"iphone 6, 6s, 6 plus, 6s plus, 7, 7 plus, 8, 8 plus, X, Xs, Xr, Xs Max",Sin Marca,TPU,Silicona,Silicona
