seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
JAPIMPORTA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,6,6 años vendiendo en Mercado Libre,1727,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1051,Negativa (3),Neutral (34),Positiva (1014),"Lima, Lima.",NA
APPLEMALLCENTER,http://perfil.mercadolibre.com.pe/APPLEMALLCENTER,3,3 años vendiendo en Mercado Libre,1016,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,744,Negativa (1),Neutral (4),Positiva (739),"Lima, Lima.",NA
PASAJECENTRALSAC,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,1,1 año vendiendo en Mercado Libre,1066,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,614,Negativa (0),Neutral (3),Positiva (611),"Lima, Lima.",NA
CSHOP1,http://perfil.mercadolibre.com.pe/CSHOP1,12,12 años vendiendo en Mercado Libre,653,NA,NA,NA,418,Negativa (0),Neutral (3),Positiva (415),"Lima, Lima.",NA
CASEMOTIONS.PE,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,4,4 años vendiendo en Mercado Libre,4318,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2576,Negativa (1),Neutral (12),Positiva (2563),"Lima, Lima.",NA
HAPPYSHOPVENTAS,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,4,4 años vendiendo en Mercado Libre,1495,NA,NA,NA,608,Negativa (9),Neutral (34),Positiva (565),"Lima, Lima.",NA
GLOBAL CELS,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,6,6 años vendiendo en Mercado Libre,2419,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1383,Negativa (5),Neutral (41),Positiva (1337),"Lima, Lima.",NA
GHINEXS,http://perfil.mercadolibre.com.pe/GHINEXS,7,7 años vendiendo en Mercado Libre,8,NA,NA,NA,31,Negativa (1),Neutral (8),Positiva (22),"Lima, Lima.",NA
TIENDAEXPRESS.PE,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,2,2 años vendiendo en Mercado Libre,628,NA,NA,NA,362,Negativa (0),Neutral (0),Positiva (362),"Lima, Lima.",NA
RODRI STORE01,http://perfil.mercadolibre.com.pe/RODRI+STORE01,11,11 meses vendiendo en Mercado Libre,391,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,194,Negativa (0),Neutral (4),Positiva (190),"Lima, Lima.",NA
ZONAMOVILPERU1,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,1,1 año vendiendo en Mercado Libre,653,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,429,Negativa (2),Neutral (7),Positiva (420),"Lima, Lima.",NA
MALUPHONE,http://perfil.mercadolibre.com.pe/MALUPHONE,3,3 años vendiendo en Mercado Libre,820,NA,NA,NA,541,Negativa (1),Neutral (1),Positiva (539),"Lima, Lima.",NA
SERGIOAMARANTOPEREA,http://perfil.mercadolibre.com.pe/SERGIOAMARANTOPEREA,5,5 años vendiendo en Mercado Libre,22,NA,NA,NA,9,Negativa (0),Neutral (2),Positiva (7),"Lima, Lima.",NA
NEGOCIOS DANTE1920,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,1,1 año vendiendo en Mercado Libre,191,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,99,Negativa (0),Neutral (1),Positiva (98),"Lima, Lima.",NA
DASTOREPUNTOPE,http://perfil.mercadolibre.com.pe/DASTOREPUNTOPE,5,5 años vendiendo en Mercado Libre,3872,NA,NA,NA,1945,Negativa (10),Neutral (126),Positiva (1809),"Lima, Lima.",NA
ALBERTOPP75,http://perfil.mercadolibre.com.pe/ALBERTOPP75,10,10 años vendiendo en Mercado Libre,537,NA,NA,NA,310,Negativa (2),Neutral (9),Positiva (299),"Piura, Piura.",NA
MERKA.G,http://perfil.mercadolibre.com.pe/MERKA.G,2,2 años vendiendo en Mercado Libre,654,NA,NA,NA,443,Negativa (0),Neutral (2),Positiva (441),"Lima, Lima.",NA
LAGRAN_VENTANA,http://perfil.mercadolibre.com.pe/LAGRAN_VENTANA,7,7 años vendiendo en Mercado Libre,3337,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1560,Negativa (11),Neutral (86),Positiva (1463),"Lima, Lima.",NA
MAOMATACASTILLO,http://perfil.mercadolibre.com.pe/MAOMATACASTILLO,6,6 años vendiendo en Mercado Libre,219,NA,NA,NA,100,Negativa (2),Neutral (6),Positiva (92),"Lima, Lima.",NA
SABO520433,http://perfil.mercadolibre.com.pe/SABO520433,2,2 años vendiendo en Mercado Libre,115,NA,NA,NA,84,Negativa (0),Neutral (5),Positiva (79),"Lima, Lima.",NA
AZTILEYRODRIGUEZ,http://perfil.mercadolibre.com.pe/AZTILEYRODRIGUEZ,9,9 meses vendiendo en Mercado Libre,20,NA,NA,NA,15,Negativa (0),Neutral (0),Positiva (15),"Lima, Lima.",NA
TEVEN255,http://perfil.mercadolibre.com.pe/TEVEN255,4,4 años vendiendo en Mercado Libre,827,NA,NA,NA,505,Negativa (0),Neutral (6),Positiva (499),"Lima, Lima.",NA
BTPERU_VENTAS,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,13,13 años vendiendo en Mercado Libre,16830,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,23050,Negativa (359),Neutral (3505),Positiva (19186),"Lima, Lima.",NA
MOBITECH.PE,http://perfil.mercadolibre.com.pe/MOBITECH.PE,5,5 años vendiendo en Mercado Libre,309,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,230,Negativa (4),Neutral (11),Positiva (215),"Lima, Lima.",NA
YAJOMATECH,http://perfil.mercadolibre.com.pe/YAJOMATECH,3,3 años vendiendo en Mercado Libre,307,NA,NA,NA,160,Negativa (0),Neutral (4),Positiva (156),"Lima, Lima.",NA
JOHNEDWARDROJASMOZOMBITE,http://perfil.mercadolibre.com.pe/JOHNEDWARDROJASMOZOMBITE,1,1 año vendiendo en Mercado Libre,113,NA,NA,NA,37,Negativa (1),Neutral (3),Positiva (33),"Lima, Lima.",NA
