search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca de Celular,Modelo de Celular,Marca da Capa,Modelo da Capa,Tipo de capa,Material
1, Capinha Armor Para iPhone 8 Plus - Gorila Shield ,90,NA,"
			
			
				
				15
				vendidos
			
		",(9986 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 750
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/GORILASHIELD.COM.BR?brandId=1976,https://produto.mercadolivre.com.br/MLB-911931350-capinha-armor-para-iphone-8-plus-gorila-shield-_JM,NA,NA,NA,NA,NA,#911931350,Apple,iPhone 8 Plus,Gorila Shield,iPhone 8 Plus,Anti Impacto,Poliuretano
2, Capinha Capa Case Silicone iPhone 6/6s 7 8 Plus C/logo Apple ,33,NA,"
			
				Novo
			
			
				
					 - 
				
				307
				vendidos
			
		",(3495 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 565
		
		 sem juros
		
	

	
		",65,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,3,https://perfil.mercadolivre.com.br/MALE2382936,https://produto.mercadolivre.com.br/MLB-1248683581-capinha-capa-case-silicone-iphone-66s-7-8-plus-clogo-apple-_JM?searchVariation=38604797226,3,0,0,0,0,#1248683581,Apple,7 8 Plus,Silicone,Protetora,Apple Case,Silicone e microfibra(camurça)
3, Capinha Casca De Ovo Ultra Fina iPhone 7 8 Plus X + Pelicula ,14,NA,"
			
				Novo
			
			
				
					 - 
				
				68
				vendidos
			
		",(15 disponíveis),"
	
		
			
		
		2x 
		
			
				R$ 760
		
		 sem juros
		
	

	
		",60,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,1,https://perfil.mercadolivre.com.br/MAITE_26,https://produto.mercadolivre.com.br/MLB-1205102371-capinha-casca-de-ovo-ultra-fina-iphone-7-8-plus-x-pelicula-_JM?searchVariation=34807626231,NA,NA,NA,NA,NA,#1205102371,Apple,"Iphone 7, 8, 7Plus, 8Plus e X",Ipremium,Slim Transparente,Slim Transparente,TPU/Policarbonato
4, Capinha Magnética Com Vidro Frontal iPhone 7 8 Plus X Xs Xr ,69,NA,"
			
				Novo
			
			
				
					 - 
				
				29
				vendidos
			
		",(20 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 582
		
		 sem juros
		
	

	
		",82,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/EXTURO,https://produto.mercadolivre.com.br/MLB-1250967986-capinha-magnetica-com-vidro-frontal-iphone-7-8-plus-x-xs-xr-_JM?searchVariation=38729600765,NA,NA,NA,NA,NA,#1250967986,Apple,Iphone,Eqvvol,Magnética,Com Vidro Frontal e Traseiro,Alumínio
5, Capinha iPhone 7 8 X Xr Xs Max Case Ultra-fina Transparente ,9,NA,"
			
				Novo
			
			
				
					 - 
				
				16
				vendidos
			
		",(17 disponíveis),"
	
		
			
		
		1x 
		
			
				R$ 990
		
		 sem juros
		
	

	
		",90,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MAITE_26,https://produto.mercadolivre.com.br/MLB-1205108713-capinha-iphone-7-8-x-xr-xs-max-case-ultra-fina-transparente-_JM?searchVariation=34807596898,NA,NA,NA,NA,NA,#1205108713,Apple,"Iphone 7 8 Plus X, Xr, Xs Max 6.5",H'maston,Slim Transparente,Slim Transparente,TPU/Policarbonato
6, Capa Capinha Ultra Fina Fosca iPhone 5 6 7 8 Plus Xs Xr Max ,35,NA,"
			
				Novo
			
			
				
					 - 
				
				227
				vendidos
			
		",(10991 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 583
		
		 sem juros
		
	

	
		",83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,5,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1197368219-capa-capinha-ultra-fina-fosca-iphone-5-6-7-8-plus-xs-xr-max-_JM?searchVariation=34356084379,5,0,0,0,0,#1197368219,iPhone,iphone,jk capas,ultra fina fosca,capa protetor,TPU/Policarbonato
7, Capa Anti Impacto + Película Gel P iPhone 5 6 7 8 10 X Xs Xr ,15,NA,"
			
				Novo
			
			
				
					 - 
				
				758
				vendidos
			
		",(16 disponíveis),"
	
		
			
		
		3x 
		
			
				R$ 533
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,25,https://perfil.mercadolivre.com.br/NOMOTEC,https://produto.mercadolivre.com.br/MLB-1047628140-capa-anti-impacto-pelicula-gel-p-iphone-5-6-7-8-10-x-xs-xr-_JM?searchVariation=36089029791,19,4,2,0,0,#1047628140,Apple,Iphone,HR,TPU,Capinha de silicone,Silicone
8, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Lacrada ,31,32,"
			
				Novo
			
			
				
					 - 
				
				95
				vendidos
			
		",(917 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 522
		
		 sem juros
		
	

	
		",22,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,2,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Ygq9ijpLl5V2m3zqp5ycNSaHA6m8%2FBb3f6E86z13YOoEUSlMOyuy5sczgONrJbmq79zaf4kUNoAu4M0WJnqWYyKSNZpsDnnrmD27aWNr%2BSL2rDhcqeFBmlz9alddTpYuGBJj70WnW1AffvPdy3BjmVzRbY8f40MvtoPyslPmI8wrekK49NkbOADUWELCIib5LWwgP2rRoV1jVG2ZfdYmXvHjp6wOL0QPLxhZ3nXrJlHFQ7FDc5sKDOHDaWE%2FreK%2BWpSLPDg0V8xvPhuClZP9vFKJxVTTrV2VyEzM%2Fwrqp8ng8vMfbUGJsxP1Y1whjkjuNqS2ypx8C34XSV70I2jZUeTPZi6YwYDilKxr0Ehc0xMQr8H6NBrxBdF3VeAAQi%2B6Ur%2F1X%2B%2Be6ZS8JnpCqgjMbqS3tQ0E0lUlggcsFC%2BfZlRHhaOp2TDnb%2Fne43uxzK4FEKACTctmLq7nLgP2AVmMEN4%2B50fvrXok%2BJ0jXxCAgo6QeH%2B9fUIn51HKXXRw1wnkqFQwMMdg8ONigajDXCxuiWxvqUQExt7vGwmAr1SrS23ZrB9LlempwceUbwiDvSsWVdWScMgXbqVePwXgCXZScek9sf9QP%2Bbb18jNFJmpzX5iiFbLb6AqkxcO5a5cc3C0aujZW7lrj%2BHkd8nKjYP024%2FWLMEOvVcLqR2T5sLpRxs5eg2cntSPcxIsUzT79mhiZs1KtuvHXZd4CdEevejn0q0SudFguuq6X0nE8v%2FIeFePsWiHIqPQf%2BUgornfrWmF3OtNrj2ntfeIOaSbF17Ma3nNsgFaL7hSmZDnW1YBsKSuOkINISF2rn6pRB%2B9N6nyMgXuSH1mNShRbW0ZLFa8GdRgClz6J8kYCSgEuXklNqfw0saj6vWsXOYU1u30M8n5BW54XmlKbreR31O5w5O4xxIUWPue6PtAeXARiP%2BvPNvNI6vhWpQNvpgsZV52ktUUJicD8xYWz34lAnGcJdSahg1QwSq1f94cAq8IRsdmqJUY48L%2BTuheuhHSdCX1eXgY2p2zhUfziRIKM0rCY6swVYW%2Bq8Wblufdy%2B1IMiouC511pKfqprGXsHTrtnG9t5zMJU5ADIbTlhHV1v7nbUVh%2BWzix5fIZLOS81AMDVhxDGAUe1JEfQ6FPuwBrIszqoKI%2BfLd1KQlAJprKr7fIoJ1AmYAlt97HN2eFW0c3r%2BOmMpMeAV%2B2WKvxATU7DRNM5NXzp0rqXZ7Bk04eEl4OKvZEFapZ3M2mt%2FKHbzBXbRP3GA5OP1r1GYQDO3A%2BcxEP4Q0JPdH%2BR%2FsaaiEjqzedF79i%2BiluMd6LbTjcnruqTZwLHmWBi%2FtPMxQe5D%2BcIw67WC3JdBz6U2sJii99sRhUe70QnzYHEGK6b9Qp26%2BuhFAtDeoc%2F9Ud89ftRc4FH%2FjIrUPQPqPPYgQ%2Bivat3MMTjKUZRu8iPpbdO7tU2i8v1eBGrb5GJPJAeuyPUnwaBDLPxby%2BGNLcEhEowmUq720KyrV,NA,NA,NA,NA,NA,#1246923437,Apple,iphone7 plus  iphone 8 plus,Apple,iPhone,Apple Original,Silicone- Aveludada
9, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Lacrada ,31,32,"
			
				Novo
			
			
				
					 - 
				
				95
				vendidos
			
		",(917 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 522
		
		 sem juros
		
	

	
		",22,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,2,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://produto.mercadolivre.com.br/MLB-1246923437-capinha-capa-case-silicone-iphone-7-plus-8-plus-lacrada-_JM,NA,NA,NA,NA,NA,#1246923437,Apple,iphone7 plus  iphone 8 plus,Apple,iPhone,Apple Original,Silicone- Aveludada
10, Capinha Silicone Aveludado iPhone 8 Plus Verde Agua ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				166
				vendidos
			
		",(334 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 580
		
		 sem juros
		
	

	
		",80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,6,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165539317-capinha-silicone-aveludado-iphone-8-plus-verde-agua-_JM,5,1,0,0,0,#1165539317,Apple,Iphone 8 Plus,Apple,iPhone 8 Plus,Silicone,Silicone
