search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material
1, Funda Silicone Case 5s Se 6 6s 7 Plus iPhone 8 Plus Original ,499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1969
				vendidos
			
		",(419 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,66,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-689528238-funda-silicone-case-5s-se-6-6s-7-plus-iphone-8-plus-original-_JM,51,10,3,0,2,#689528238,Apple,Iphone,Apple,Silicone Case,Silicone case,Silicona
2, Funda Rigida Antigolpe iPhone 6s 7 8 Plus Xs Max Xr + Glass ,740,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1677
				vendidos
			
		",(591 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,116,https://perfil.mercadolibre.com.ar/TIENDASHOPEALO,https://articulo.mercadolibre.com.ar/MLA-666368423-funda-rigida-antigolpe-iphone-6s-7-8-plus-xs-max-xr-glass-_JM?searchVariation=34624942900,76,25,7,3,5,#666368423,Apple,"iPhone 6, 6s, 6 Plus, 6s Plus, 7, 7 Plus, 8, 8 Plus X, Xs, Xs Max, Xr",Sin Marca,Fusion,Bumper,Acrílico
3, Funda Silicona Silicone Case iPhone 7 8 Plus X Original ,401,NA,"
			
				Nuevo
			
			
				
					 - 
				
				934
				vendidos
			
		",(399 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,19,https://perfil.mercadolibre.com.ar/TECHYOK,https://articulo.mercadolibre.com.ar/MLA-699391515-funda-silicona-silicone-case-iphone-7-8-plus-x-original-_JM,15,3,1,0,0,#699391515,NA,NA,NA,NA,NA,NA
4, Funda Silicone Case iPhone 8 6s 7 Plus Se + Vidrio Templado ,599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				646
				vendidos
			
		",(420 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,12,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-722492563-funda-silicone-case-iphone-8-6s-7-plus-se-vidrio-templado-_JM?searchVariation=34039427293,11,1,0,0,0,#722492563,Apple,Ihone 6s 7 8 Plus,Apple,Silicone Case,Silicone Case,Silicona
5, Funda Metalica Magnetica Vidrio iPhone X Xs Max 8 7 6 Plus ,622,659,"
			
				Nuevo
			
			
				
					 - 
				
				1284
				vendidos
			
		",(179 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,3.9,51,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-741182860-funda-metalica-magnetica-vidrio-iphone-x-xs-max-8-7-6-plus-_JM?searchVariation=36653627402,33,4,1,3,10,#741182860,Apple,Iphone X;Iphone Xs Max; Iphone 7; Iphone 8; Iphone 7 plus; Iphone 8 plus; Iphone 6; Iphone 6 Plus; Iphone Xr,Norcel,Magnetica,Bumper,TPU/Policarbonato
6, Funda iPhone X 7/8 7/8plus I-blason Maxima Proteccion 360 ,971,1029,"
			
				Nuevo
			
			
				
					 - 
				
				938
				vendidos
			
		",(16 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,47,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-711298702-funda-ringke-original-iphone-x-xs-max-7-8-plus-xr-envio-_JM?searchVariation=32500129944,39,6,2,0,0,#711298702,Apple,IPHONE 7; 7 PLUS; 8; 8 PLUS; X; XS; XS MAX; XR,Ringke,Fusion,Rugerizada,Acrílico
7, Funda Ringke Original iPhone X Xs Max 7 8 Plus Xr +envio ,400,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1433
				vendidos
			
		",(9015 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,37,https://perfil.mercadolibre.com.ar/GENERACIONUNO,https://articulo.mercadolibre.com.ar/MLA-687478565-funda-silicona-premium-iphone-8-7-8-plus-vidrio-templado-_JM,26,10,1,0,0,#687478565,Apple,"Iphone 7, Iphone 7 Plus, Iphone 8, Iphone 8 Plus",Soul | West,Cover,Silicone,Silicona
8, Funda Silicona Premium iPhone 8 7 8 Plus + Vidrio Templado ,2374,3000,"
			
				Nuevo
			
			
				
					 - 
				
				21
				vendidos
			
		",(12 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5.0,1,https://perfil.mercadolibre.com.ar/COSASLINDAS-,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=CIsaXXCQ0z3m61u8g%2Fz8g7XZ%2Fzcxs7zNDdjGrfUEA6qZ8UQFl5VGZm77I3RQsE5OPo7qjyg58DyO1APGdoLT8EBPWS9FTTLy9kHoiQFdnky6tC7Ge1PIkLjWkvAOP10G8uRV7uqWzCHtHo%2B6RqM%2BLcf2Vva78YK0GX3o1a6tDOH8i%2FRAC9xaZYij44GnuJ00%2ByfxKPlM2g6NOEuqdw%2FkX3pAvG97hu99Xo95kJUwubFg6n1KKqxFyr66q9XKSGHJ3jSLRSnRK%2BiwqfCT6RPxTCMk5p6me57avaRG1oCE%2FuAcvep4J0%2FbJqA9LydPZ%2BoReRdKJ7RxEnSo5fUzDYo0ww2m2j8gcB%2BcX%2FFm9V5qTV66wne6EdGBC2NjAFN8p6fvibTq087d0XbvRpXMjnDbHWzNFG%2F5AWD1KEFLt9%2F5%2BSRzE2X0pqUgXQtDOwELbweurp7oOy1opO%2B2Il4tjisQpOzg5uth%2FKSqjlxi4eOYW1oN6JFw8KM3IH5FJKCBmkSQwWbHHNtmcufjWe0j%2Bfa6NU8Oa6c6MkoLHSu6IBhZl9ourvL1O9hs6gWKVwMbvHQvrPe1IsYZ554WNKJlko%2BG1sgPjrxoVLImITD5tb4oJyiXNlu2Y02wUfg7kPJfMpGz2RPw%2BRC4L8RUSlmFn8B%2Bj4lG2JAPs9s9aT5VUzd7gbYjhzpHO2GtqYx2Re2jg6stqE11mEqNIXCnRufSucI7i60UxEknwp67D%2FbCo%2F9Vie1TrHtOnWJqgr99ETHe2jkFpe6nOEFAMOYmndVXu%2BELAfL0sQrFd9Ctwm%2FmYQYkQKU9Vz0Yh88R5SGqx8JoWN%2B8AVmARvfaUrG1zUiOi3iZ%2FjZnrIO9sjP7wEVpwB739Z104II2%2B6DR9jdxT2SdYAGdiq81mzXIe9jdqFDSLTdGCYryASnk3XD0pp%2Fya%2FjFLVyWTplOqkhI%2BkdPsLWibYjMmya0ZSZ9GA26iTZyiyB9XV9RkFC%2FylQg5y1kgnojngYnnUmnGL1g8koK34Y6n43Y4DD0o6QsYwl%2Bu6czTRrl4Tn9WaYbf%2FcTHiKLT2ZLzwNp%2F8olYcKVYyORiqEDsKzNCTG80CeiDNHbmw3A6uSGV7EPrF%2F2kgonZSFm3L9bP%2BwdQQlEFMKfAKh058a3uaQyh5nfLBUSAr8YmbTBNFeLM3fe2ov4RV0O71x%2FAqS9FeR4coLTfpAl%2FLLTN6gY47jjztWsMpwPRXl%2FmsaeCifAUSbIqYwpJ20FBahFQr2D8p%2FmhULPInCL%2FkoxD31dVNGBXnzuc1YP%2Fp7hEw5llXDLnYWuvSLVOSU8Nr1zWT59wPC8%2For8d%2BCCw7Vrmg1cZKHtj%2BrPEPJX5RHjxCbhNBSEtir8PMqgz51%2Bya1%2B70qqPsrPWg5ZmmIknmHGoatkUXnby%2FkCKQ28KCyi74iJWn%2FYXdVxPiRRKbb1GEJl6R%2FUV2OUxWjbPwj%2BgzuPMEO9uaBMJSb%2BMUo%2FbOZeImhZEc0771Un2p6c8yO%2F9apfUCSN1jZGFogNu92shxPgmnbTbwgdDUzFvwSA34UUVYGshkNyIABEfHpQOXeN6WRlSZQ2f1eYMSLgaOjJfHeAdtSon0JYC8PLQUalPfPmXW71N%2B%2F7EHWeL5PVvZ0MqUAB1BdbF5koOc16Qy1B%2FPHCofyFRu3P3hikJ2RJqfEC1VnsXwE%2BFrqBJZM6sM5XNGvU56Jy79ZFyVbW6VtW2ZWtG8PNHuGjZ4fQe%2FxZPzLETD3bsbqozHlrBlHnUslMW20W6N40bMMcN0rcAVBec0ywoq5nJ5zx65lY20To4Sxucb4ynBH5VIsD4nlOpDp8u%2Bxu,NA,NA,NA,NA,NA,#751114998,Apple,Iphone X  7/8 7/8 Plus,i-Blason,Ares,Maxima Proteccion 360º Premium,TPU/Policarbonato
9, Funda Ringke Original iPhone X Xs 7 8 Plus Max+vidrio+envio ,1122,1189,"
			
				Nuevo
			
			
				
					 - 
				
				362
				vendidos
			
		",(341 disponibles),12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,19,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-749127423-funda-ringke-original-iphone-x-xs-7-8-plus-maxvidrioenvio-_JM?searchVariation=32500157139,18,1,0,0,0,#749127423,Apple,IPHONE 7; 7 PLUS; 8; 8 PLUS; X; XS; XS MAX; XR,Ringke,Fusion,Rugerizada,Acrílico
10, Funda Silicone Case iPhone 8 7 Plus 5s Se 6 6s Original ,489,NA,"
			
				Nuevo
			
			
				
					 - 
				
				376
				vendidos
			
		",(142 disponibles),12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,9,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-686264793-funda-silicone-case-iphone-8-7-plus-5s-se-6-6s-original-_JM,7,2,0,0,0,#686264793,Apple,Iphone 7 8 y Plus,Apple,Silicone Case,Silicone Case,Silicona
