search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca de Celular,Modelo de Celular,Marca da Capa,Modelo da Capa,Tipo de capa,Material,Cor
1, Capinha Armor Para iPhone 8 Plus - Gorila Shield ,14,NA,"
			
				Novo
			
			
				
					 - 
				
				861
				vendidos
			
		",(19 disponíveis),"
	
		
			
		
		2x 
		
			
				R$ 749
		
		 sem juros
		
	

	
		",49,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,26,https://perfil.mercadolivre.com.br/NOMOTEC,https://produto.mercadolivre.com.br/MLB-1047628140-capa-anti-impacto-pelicula-gel-p-iphone-5-6-7-8-10-x-xs-xr-_JM?searchVariation=36089029726,20,4,2,0,0,#1047628140,Apple,Iphone,HR,TPU,Capinha de silicone,Silicone,NA
2, Capinha Capa Silicone C/ Logo iPhone 6s 7 8 Plus X Xr Xsmax ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				784
				vendidos
			
		",(102 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 572
		
		 sem juros
		
	

	
		",72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,13,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026051169-capa-capinha-ultra-fina-fosca-iphone-6s-plus-7-8-plus-novo-_JM?searchVariation=25994987550,9,2,0,0,2,#1026051169,Apple,Iphone,Bumper,Silicone,Slim,Silicone,NA
3, Capinha Casca De Ovo Ultra Fina iPhone 7 8 Plus X + Pelicula ,10,NA,"
			
				Novo
			
			
				
					 - 
				
				332
				vendidos
			
		",(19 disponíveis),"
	
		
			
		
		2x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,5,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1230329082-capa-anti-impacto-p-iphone-6-7-8-10-x-xs-xr-pelicula-vidro-_JM?searchVariation=37033346817,4,1,0,0,0,#1230329082,Apple,Escolher no anúncio.,HR,TPU,Capinha,Silicone,NA
4, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Lacrada ,33,NA,"
			
				Novo
			
			
				
					 - 
				
				532
				vendidos
			
		",(4486 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 566
		
		 sem juros
		
	

	
		",66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,8,https://perfil.mercadolivre.com.br/MALE2382936,https://produto.mercadolivre.com.br/MLB-1248683581-capinha-capa-silicone-c-logo-iphone-6s-7-8-plus-x-xr-xsmax-_JM?searchVariation=38604797226,6,2,0,0,0,#1248683581,Apple,iPhone 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / XR / XS / XS Max,Silicone,iPhone 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / XR / XS / XS Max,Apple Case,Silicone e microfibra(camurça),NA
5, Capinha Anti Queda Silicone Resistent iPhone Xs 7 8 Plus Xr ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				381
				vendidos
			
		",(128 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 572
		
		 sem juros
		
	

	
		",72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,7,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026034649-capinha-ultra-fina-fosca-iphone-6-6s-plus-7-plus-8-luxo-capa-_JM?searchVariation=23594227857,4,2,1,0,0,#1026034649,Apple,Iphone,Bumper,Silicone,Slim,Silicone,NA
6, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Lacrada ,35,NA,"
			
				Novo
			
			
				
					 - 
				
				259
				vendidos
			
		",(10965 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 583
		
		 sem juros
		
	

	
		",83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,6,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1197368219-capa-capinha-ultra-fina-fosca-iphone-5-6-7-8-plus-xs-xr-max-_JM?searchVariation=34356084379,6,0,0,0,0,#1197368219,iPhone,iphone,jk capas,ultra fina fosca,capa protetor,TPU/Policarbonato,NA
7, Capa Anti Impacto P iPhone 6 7 8 10 X Xs Xr + Película Vidro ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				195
				vendidos
			
		",(27611 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 833
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,12,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1210095124-capa-capinha-anti-impacto-4em1-iphone-6-7-8-plus-xr-x-xs-max-_JM?searchVariation=35219107399,10,1,1,0,0,#1210095124,Apple,IPHONE,JK CAPAS,CAPA 4 EM 1 ANTI IMPACTO,CAPA PROTETOR,TPU/Policarbonato,NA
8, Capinha Silicone Aveludado iPhone 8 Plus Verde Agua ,32,NA,"
			
				Novo
			
			
				
					 - 
				
				240
				vendidos
			
		",(876 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,3,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=lCNtSvpcO0JVDF4DgilWvF2KDlrgJn3i5LJaZfWBLRHZX2N%2BinMbmuYnzrezg%2BFnLvlovy7UXgylMT%2FAYyOgP18aQVgBrYdT%2B41yMzsG4KCd%2FsmBN00UP%2BlOQqGgtJ3BHAQtOGOQkpXmwtugCckXRqkWdlcKJ4LTYqIEtbq9QQQ8g%2FfQLa1OgWy7bCheOg85hg4c3BQbDvSF65Q1BP%2BALUlVRKfdRj6lUTfe%2B6mKU6sd06yjftxllgMKM53GRWWD%2BJXgj%2BKTyCO4BsoBSBhtY7z%2Fn3FaYJBUUB2InarenwEZSvcba6RRKZga73pMqJ4gzWdX2J1hqIiyPVF6gQMn%2B2fRjOkiEPCNhQG%2FLCPnceoXxLB7Gz0Yc3k%2BYYnvkp9G6iuLvY6TyHh8PlLDugVOvrBH9EB0Xs0zad410%2FoaKYmqa%2B2XOlpCi7mzNql26LgCsDQ9BebDKu9WLvrquTVF0CQHUAoM75NGRPzlcMVNdm2EYuM9J%2FeAyib0CDKSdE774CjdO6x5QsN2X5NJ2izBr5mpjE5StPoRLwW2W68FhJHETjYah51ocQHA%2FEG7YGEsmcyXpszd5jvjIZG9a8GzCBUJny5Qr76KgC321yBPqBZNrR3VHNRdHThhp4xt35ADalo5a8JWv43haK54%2FFnBAWc9V%2B8QJVI%2FKDJ4xz2AkjcT9%2BrdKiFpRiF68uYBI0qKFW7haoup0cpCnPevhqPvyzAiDuCG1PEqgs%2FqjleVML9ggy%2FCz87LfmrJR%2B5ksO2I29KU1sHdQH7Wu%2BifFKtN6UaeMedh2IH8PRVF%2Fc8WH3539Vb3%2BKvlTaQu%2Fnxf4CWr3ZHHpNrYja4ODj6Bavbo99sG6enJFi%2FbmO5a5kWOJbMPHptvSV3C0ViLDBG0CyR2Qqcf3uscTXAn1%2BcZC5CYAbIWHSelNJhYMzW2blAIdJ1WPlJj7A0VALWmcCqDyPf9CXfGy1EFQc29GAote7%2BKRrtAFFjg%2FtgokO1mfPAGpl9eNWMaW7xoB85qB6a%2FxyGzlTD6d%2FOAq7ra6nd5itxxxgU7YdyBXLUjFv2FCkkr0pKyTBVyQJNgWDsbsBwpXZDbrPyItDdzk%2BnR6j222P0N9NpQDarAUxTtLs6mZ9T6k2i8Kv5RUAm3I0f3kdyAZovfoGe2yTLQ%2FNUBydPkRJvR8JcxO0CyzgKgIF19n4B%2BhO2BLZTxt%2BNj6pTABVXVNWsfi4HB%2BFmNoccRiXqomxZwavCBw7mwaSS4yCNiJ7g3xWdtMuR3Tyr%2BCTUM0JXBTQ8tOZcwC49HjaZyknPmhZn%2BBGiwQbxpNOk5kR9vIXp%2BgvSpfn%2FMHVw3neLbu0prNQIIYV6QARvIS%2BN4Pqf%2BI5brxeI1VAHB%2BikFj97GYTiSwm8%2BkTBLlotj2RMYD4V7SDJVIHNyXMx10xMcuUHF%2FUFWerj96gaCjoLZApheGlU6fU1KbVOpW1aS4lwva7%2BUzEpug1doPs4LlVZr9nzVocRcRLfj7Viy7sgSohUFdAzJb0rlF8qGszABFxqWR968RApx3FOpycZ37gHHRop29NO0CC8XK4GsaskBAEZzEAJz0c1ndcTcLLxF5WWuFH0qa5OVhcLPYZHS9MNd%2BMdv1%2F%2BmHA%3D%3D,3,0,0,0,0,#1246923437,Apple,iphone7 plus  iphone 8 plus,Silicone,iPhone,Silicone,Silicone- Aveludada,NA
9, Capinha Anti Queda Silicone Resistent iPhone Xs 7 8 Plus Xr ,9,NA,"
			
				Novo
			
			
				
					 - 
				
				1657
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		1x 
		
			
				R$ 999
		
		 sem juros
		
	

	
		",99,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,42,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1047637856-capa-anti-impacto-queda-iphone-5-se-6-6s-7-8-plus-xs-max-xr-_JM?searchVariation=26827628457,30,3,3,4,2,#1047637856,Apple,Escolher no anúncio.,HR,TPU,Capinha,Silicone,NA
10, Capa Capinha Ultra Fina Fosca iPhone 5 6 7 8 Plus Xs Xr Max ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				358
				vendidos
			
		",(7567 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,10,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1213994623-capa-capinha-magnetica-luxo-iphone-7-8-plus-x-xs-xr-xs-max-_JM?searchVariation=38590025464,10,0,0,0,0,#1213994623,Apple,iphone,jk capas,Magnética,capa protetor,metal e vidro,NA
