search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Tipo de funda,Material
1, Funda Silicone Case 5s Se 6 6s 7 Plus iPhone 8 Plus Original ,499,NA,2010,378,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,68,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-689528238-funda-silicone-case-5s-se-6-6s-7-plus-iphone-8-plus-original-_JM,52,10,4,0,2,#689528238,Apple,Iphone,Apple,Silicone Case,Silicone case,Silicona
2, Funda Silicone Case iPhone 8 6s 7 Plus Se + Vidrio Templado ,599,NA,666,400,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,12,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-722492563-funda-silicone-case-iphone-8-6s-7-plus-se-vidrio-templado-_JM?searchVariation=34039427293,11,1,0,0,0,#722492563,Apple,Ihone 6s 7 8 Plus,Apple,Silicone Case,Silicone Case,Silicona
3, Funda Silicone Case iPhone 8 7 Plus 5s Se 6 6s Original ,499,NA,393,125,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,9,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,https://articulo.mercadolibre.com.ar/MLA-686264793-funda-silicone-case-iphone-8-7-plus-5s-se-6-6s-original-_JM,7,2,0,0,0,#686264793,Apple,Iphone 7 8 y Plus,Apple,Silicone Case,Silicone Case,Silicona
4, Funda Rigida Transparente Antigolpe iPhone 5 6s 7 8 Plus X ,499,NA,84,58,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,5,3,https://perfil.mercadolibre.com.ar/CLUBDELCELUOFICIAL,https://articulo.mercadolibre.com.ar/MLA-721627899-funda-rigida-transparente-antigolpe-iphone-5-6s-7-8-plus-x-_JM?searchVariation=34805249032,3,0,0,0,0,#721627899,Apple,"iPhone 6, 6s, 6 Plus, 6s Plus, 7, 7 Plus, 8, 8 Plus X",OEM,Fusion,Acrilico Reforzada,TPU/Policarbonato
5, Funda Ringke Original iPhone X Xs 7 8 Plus Max+vidrio+envio ,1122,1189,374,325,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,19,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-749127423-funda-ringke-original-iphone-x-xs-7-8-plus-maxvidrioenvio-_JM?searchVariation=32500157139,18,1,0,0,0,#749127423,Apple,IPHONE 7; 7 PLUS; 8; 8 PLUS; X; XS; XS MAX; XR,Ringke,Fusion,Rugerizada,Acrílico
6, Funda Tpu Slim iPhone 6s 7 8 Plus X Xr Xs Max + Templado ,520,NA,599,840,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4,22,https://perfil.mercadolibre.com.ar/TIENDASHOPEALO,https://articulo.mercadolibre.com.ar/MLA-636606079-funda-tpu-slim-iphone-6s-7-8-plus-x-xr-xs-max-templado-_JM?searchVariation=28306700078,10,7,2,1,2,#636606079,Apple,"iphone 6, 6s, 6 plus, 6s plus, 7, 7 plus, 8, 8 plus, X, Xs, Xr, Xs Max",Sin Marca,TPU,Silicona,Silicona
7, Funda Ringke Original iPhone X Xs Max 7 8 Plus Xr +envio ,971,1029,962,14,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,49,https://perfil.mercadolibre.com.ar/NORCEL_CABA,https://articulo.mercadolibre.com.ar/MLA-711298702-funda-ringke-original-iphone-x-xs-max-7-8-plus-xr-envio-_JM?searchVariation=32500129944,41,6,2,0,0,#711298702,Apple,IPHONE 7; 7 PLUS; 8; 8 PLUS; X; XS; XS MAX; XR,Ringke,Fusion,Rugerizada,Acrílico
8, Funda Magnetica Metalica iPhone 7 8 Plus Xs Max Xr +glass 5d ,1300,NA,38,187,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,3,4,https://perfil.mercadolibre.com.ar/TIENDASHOPEALOML,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=opRHyVp545W7%2BR3ULJuxYgbli5xU9MFpMNYMNfH9gYW%2Fc18xoqv8VG7d9hAoXqB9QUODs8Kc5fZSbmzqeAJWl3hRv9f4cd2%2F9R%2FAiUr6LPfrS63T3NFbY4W2u%2BLQeVJkPBCoI68z2QFQq6WosE553kg71mMfYhN5YChHfilBlHo4x1ZOwAPpHUIgbi78ZuE7ZTdr3alcgbJSTTee3OxyvPvQDxZg4c5afY8HmBRCnPBBj7hKf%2Boz4Knpao%2FpLRd0lS4cLoJ0tgJi8oqbEpUMzK787Ujkxp3QxFQ64TTw7jrYdSxzCAQYoOVdfFQNV8hT2SQemSYGcjZ0XhUmrMzIi6ZMluDOVH3pH7%2BNAUh5WvqLJ%2F8mgNi81sF4DmqPWFHj1heAsky%2BROBu7yPTAg0ad2N4BuPtn4GgUlmoH%2F06TnyzGYQY%2FKPjQwTPC6mIS4ri7nPD31AB5G7crBWFSecDMPcVA9SKxwzAoDrjRkpa%2FOGZM6%2BArurqNek3%2BlOaxI1ZdEZCuQ8S84CZHahPqq%2FM5NY31ncb6zBrgYJv2rU5XBGcjNyYV7NLv8k04ONGLLNNjkf6UIlFA4ekSBrLJ75W9kCl%2B%2FwGeIv7IDCJJe61SZxCFxcCDQSP4zyg6BLJ4wtEozL3ja7sDhl%2BE4DMRCBpHQhpNtnj1CMbdLI2Pu7gUk8sH4JomFwEk1Q5SxmOScEIi1ova%2F0hzv12Wee%2FYMTrKfd7x62MYXUQUSsRhXXlsMNTITOnt3Fcg%2BD%2BfrbHkUq2%2BNFGt4Io9UaNzKiGUz0zzsWAYJacyFObNabIj%2BAmdSWMHdK8nsFn6FVfnFQUEZy0udTS0F%2FLNQJ0JDxVw6lMDSPbOtMSUBFddVLS8lIrbD4b8cv1hrQHzke7Wa3kF%2Fsm%2B5qfJE%2B5DclqrJ2mENSMReRs%2BMcTZyxmkTHf5i3GoSXO0F4sJ7gvGU80KBH471osVGlc%2BE%2BJhgVCpjl7e9QVYDL5rlKTlMo1XUAdzQRYtIVLONcVtW4l0W8p0AxPLPHsnlWL7Mq2P2dErB%2F8xAOrE7n%2FLRKXvk%2BszPSLRcTvWHpNV4nID0LSPavC4WmKPtm1cYueSCScFtO2edkXm5xvvtKDmrBcC8slN7IFgDmBz6SyvcWHLtCFs50dBy6np1myWikyl9aDziGApmUgo9S1W52q3fi1E4fF3HPALDwnjY6quX0ewGuhHHzxsYaSB1HorpeMJCoZgtx7eLkjYXM5A2EN2b7U3P%2FWkLSryzcsR%2BbdNiKNJ1FWeyxapdjUqYigmbp7kFXLyDA%2BNes6s6ZYuNKy2SfGkh1ypr4lNcTXghEap%2FWcCrA2KHIZDfT2zQILz%2FNX0c9xcsyozxAXLh%2BOwRL1%2FsnODpt%2FcmjVtwwYqgCIxv0ViX6NfHqiA05XJCe3nr%2B8iiMuhUk%2BZHBBZhBHZockm%2FH6xxMNwnVKmnrg3DohYZzz4yrf46aPIdnXQ2Dbd89xJ%2BAPIMnIA21B5KIPc3tbeQ474sEmeX1J8V3AplRQamzzymgHgZvnNTq1p5q5Vg6%2FoMhT4hwTDZ0HrZvOgZF6L7s7Ec%2BvTMX660YpcRo%2BEiN8kLdWTMFj3Oai%2B%2FPQ0usBXLh2Tc5nohFZGrozup3TPxZ7welXn67cPbxfdA3psHiDN7vzncSiFnW3B6Gb%2FUNLmteZehIilN5Eu5xEYyimCGy65qoDCFy4nf%2BX3PpX%2BGXdChGsB5Wl8fUS30Hm84lI3aFbxi7ceAuXxeumSGG5WG6xV9HHuZxBj%2BYylTWNFZ7hzU0meormS5ZKADhPj4wHLVwjKftVFCHBDLOhd%2B5hzuy84RJkF1YJlJRb,2,0,0,0,2,#740833788,Apple,"Iphone 7, Iphone 8, Iphone 7 Plus, Iphone 8 Plus, Iphone X y Iphone Xs",TiendaShopealo,360º Magnetico,360º Magnetico,Aluminio
9, Funda Rigida Antigolpe iPhone 6s 7 8 Plus Xs Max Xr + Glass ,740,NA,1699,572,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,116,https://perfil.mercadolibre.com.ar/TIENDASHOPEALO,https://articulo.mercadolibre.com.ar/MLA-666368423-funda-rigida-antigolpe-iphone-6s-7-8-plus-xs-max-xr-glass-_JM?searchVariation=34624942900,76,25,7,3,5,#666368423,Apple,"iPhone 6, 6s, 6 Plus, 6s Plus, 7, 7 Plus, 8, 8 Plus X, Xs, Xs Max, Xr",Sin Marca,Fusion,Bumper,Acrílico
10, Funda Super Anti Golpe Reforzada iPhone X 6 7 Plus 5 Se X ,139,NA,598,19,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,23,https://perfil.mercadolibre.com.ar/GRUPO+TTB.S.R.L.,https://articulo.mercadolibre.com.ar/MLA-746999903-funda-super-anti-golpe-reforzada-iphone-x-6-7-plus-5-se-x-_JM?searchVariation=36479608140,18,4,1,0,0,#746999903,Apple,iPhone X 6 7 8 PLUS,TTG,iPhone X 6 7 8 PLUS,Air,Acrílico
