search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Material,Fabricante,Tipo de funda
1, Funda iPhone 5|6|7|8|plus|x|xs|xr|xs Max Airbag Transparente ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5725
				vendidos
			
		",(30 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 939
		
		 sin intereses
		
	

	
		",39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,254,https://perfil.mercadolibre.com.mx/BROXYMEXICO,https://articulo.mercadolibre.com.mx/MLM-582143415-funda-iphone-5678plusxxsxrxs-max-airbag-transparente-_JM?searchVariation=17472366030,219,26,3,2,4,#582143415,Apple,iPhone,BMX,iPhone XS MAX | XR | XS | X | PLUS | 8 | 7 | 6 | SE | 5,TPU,BMX,NA
2, Protector Funda Case Uso Rudo iPhone 5 6 7 8 X Xs Xr Xs Max ,250,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1768
				vendidos
			
		",(288 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1389
		
		 sin intereses
		
	

	
		",89,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,58,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-653278098-protector-funda-case-uso-rudo-iphone-5-6-7-8-x-xs-xr-xs-max-_JM?searchVariation=30591645308,46,9,2,1,0,#653278098,iPhone,iPhone 5 5s se 6 6s 7 8 PLUS X XR Xs MAX,OEM,Oem,Plástico,OEM,uso rudo
3, Protector Funda iPhone 7 8 7 Plus 8 Plus X Xs Nuevo Uso Rudo ,250,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1789
				vendidos
			
		",(165 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1389
		
		 sin intereses
		
	

	
		",89,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,49,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-637771698-protector-funda-iphone-7-8-7-plus-8-plus-x-xs-nuevo-uso-rudo-_JM?searchVariation=26411510022,38,8,2,1,0,#637771698,Apple,iPhone 5 5s se 6 6s 7 8 PLUS X XR Xs MAX,RAMEER,2018,Plástico,OEM,USO RUDO
4, Funda Ultra Slim Transparente iPhone 6 7 8 Plus X Max +mica ,239,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1162
				vendidos
			
		",(37 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1328
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,30,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-651098477-funda-ultra-slim-transparente-iphone-6-7-8-plus-x-max-mica-_JM?searchVariation=32254386866,20,6,1,0,3,#651098477,Apple,6 6s 7 8 Plus X Xs Max Xr,Gurio,Ultra Thin,TPU,Apple,Protector
5, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2349
				vendidos
			
		",(19 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1494
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,79,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623748083-funda-tipo-piel-leather-case-iphone-6-7-8-plus-x-max-xr-mic-_JM?searchVariation=32254170142,69,9,1,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,TPU,NA,Protector
6, Funda Ultra Slim Silicon iPhone 6 7 8 | Plus X Xr Xs Max ,239,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1162
				vendidos
			
		",(37 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1328
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,30,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=ZCdmsAvUoQFlh%2Fcuy9unHMll749ov5QpGSeecEqtl2nLZbBfGz5c%2BClYTxTkjw2AKh3AbCEDhB%2BbrwaILnu%2Fu9tbdH%2B%2Fz7EAUvbOOBh4K64CkNH855U44jdsyFPwpfA7YGGnNf8Y24AT1ijgvhS%2BsiQzov49RTG3nI9FENx8XYjcMVsf4VXaSzVU0fy3%2BnxGTERSOrX%2F2BDif%2FVqlf1qo6h9baJN5kEDkyp6SM8l4L%2Ba5xSe9E1nExI5wC0DMIKoNK4EGZyG1QaXvSgj3UiT2QhuLKVePS6j5bJw6IJUdMehQIlk0x1xEtrD3BS1RLd4nCj67m5og3ek5LcBYuyAau9chFwXAWR%2FLxmQ0FyNW40Ibvq3F7fD8v2UV3s8K8%2BiWLGC3BMoss7SXgqF8lqQ%2F98nMms%2B8pNARD2MIYcoGMcBwUyqxNocXPmf1WvVMwufxrDSbrIhAYNcYd46HVjyI8ZKaXbiCwN48IDx%2BO5zdJZRIuDp%2F0oWa6vZDgg9%2B5Jr6egNk4Pm3qW5gvDBs9IF8BeYmAnxjm7OCsNslsqStkwMT1KA9gPdu4Jfsf0FSKN%2BDNaOqOG7riXmZJ%2FfN25k%2FzpdjjWEoutPGxXboe0Thtrqy%2FvoIKiuLbP2Uw%2BmcBhK5vcoMeVHd1eRavBQnemgQf9T4OwwNx%2FxejUl19LLEUqEQRaXaUenYWZBJdhwpFLBscdE9ih6B0B9XXib9IZmdJZs41Y0GHzZZNOLeZap7QLUGPNdDm2Jb6R1ja9zVioH1zfQdzLdKRavuw9ikIh2xgdQLIf8493VXIe6wUydbbpb30UU%2FNfTyPIOpi8KRFhoYXNWVqLz5QDaSUIXYtYL3UeasCZXYUOCeQxlE%2F8aPFrSq1hNBwcEcGFdHIbGvH9F1j%2FAmfjI68Ira58PYZC75Bfe9RNp3OQS0mFNpZlohP%2Bx3DsPFJ%2BmcIdpIggs%2B29NImVzHHtgNvLzjvw1Gx12BAL8ijsocj41EYtgEKkI4NWIRVWDGYvBbeFAo7wQ1KpwBokyHn9kW0FlgCMtyEi6JfgDjqw66EHpfYe%2Fsk9zGDvAYZL8sWrUrRH93OROhHhxjQ0BxBxNhFYsWaQyUxlS8KrfwuaWafnTqBmgiEsvixK24FSRtwYkSLFOa2n1r%2B%2F%2BADXU7kpUxdFOfcAxhUNhY8fyy4L8tBLkAs9nX3iA%2F1lb7a%2Bz3cZuEkKeKOznT%2FsLO5p%2FWJ7f3sftKu0aiiBPCZ8ODAnygUhPp7gpeMVzq6zLT2r%2F4LYip%2BSuPNO4HD71Q4HFQsZoGvFEHkZJzDPfIEeznVpSSplgBGVzkwh9llhNPg3OCeYxuf31C0f%2BcgLCOk9QUL6BGHUeEPV0d2PPGFXm5i0d6y%2FC%2FBDoG0fqp36%2BB5AZNV6BlSF9DwBXXNMiq5JWoN5XRsCESgjnKKM7Ru5OybDuAzUqwM%2FVyoQPaUbaaboqcwV2JVZbAux4%2BXHfTZpf4f3bx0jM%2F7MKapS8iotbucBRs0JdQji9QJgoHZpU1XMbMd%2B62AHp4qwscnc%2BPA9CLreXsmulNTDPi285fdvepHzv8zO1Tiow48zifljFrp9znXukXK9EnMoNEihIofHsDezZeEh%2FAuDlZ0Cz4tbNBKsGCzgodHm%2BLZYIG1g7N%2B3O5fKOUW2XGQ7PYWLeiSIkrP7VlAirrakddvBowQERv2oDFsVbR3wh1okgWaTJLfgepDcHd4PAdgZ%2B5lwhckJ3Ft6kXv549fGALWd%2F74Wk073HuK53uN6kQrs%3D,20,6,1,0,3,#651098477,Apple,6 6s 7 8 Plus X Xs Max Xr,Gurio,Ultra Thin,TPU,Apple,Protector
7, Funda Magnética De Metal Con Vidrio 9h iPhone Y Samsung ,219,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1838
				vendidos
			
		",(70 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1217
		
		 sin intereses
		
	

	
		",17,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,62,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-618319522-funda-ultra-slim-silicon-iphone-6-7-8-plus-x-xr-xs-max-_JM?searchVariation=32254069859,45,11,4,0,2,#618319522,Apple,iPhone,Apple,Apple,Silicona,Apple,Protector
8, Funda Ultra Slim Transparente iPhone 6 7 8 Plus X Max +mica ,249,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1065
				vendidos
			
		",(351 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1383
		
		 sin intereses
		
	

	
		",83,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.2,20,https://perfil.mercadolibre.com.mx/IBUMPER+VERACRUZ,https://articulo.mercadolibre.com.mx/MLM-638119024-funda-magnetica-de-metal-con-vidrio-9h-iphone-y-samsung-_JM?searchVariation=29751866132,12,3,2,2,1,#638119024,Apple,6/6S/6Plus/6SPlus/7/7Plus/8/8Plus/X/XS/XSMAX/XR/ Samsung S7Edge/S8/S8+/S9/S9+/Note8/Note9,NOHON,Magnética Metálica 9H,Aluminio,NOHON,Bumper Metálico con Vidrio 9H
9, Silicon Case Protector iPhone Varios Colores Y Modelos ,203,NA,"
			
				Nuevo
			
			
				
					 - 
				
				864
				vendidos
			
		",(45 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1132
		
		 sin intereses
		
	

	
		",32,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,26,https://perfil.mercadolibre.com.mx/CELLKING21,https://articulo.mercadolibre.com.mx/MLM-671538364-silicon-case-protector-iphone-varios-colores-y-modelos-_JM?searchVariation=34395449953,21,5,0,0,0,#671538364,Apple iPhone,iphone 6 / 6 plus / 6S/ 6S plus / 7 / 7 plus / 8 / 8 plus / X / XS / XR / XS MAX,Apple,Silicon Case,Silicone / microfibra interior,NA,Liquid silicone
10, Case Funda Magnetica Aluminio iPhone X Xr Xs Max 6 7 8 Plus ,279,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1185
				vendidos
			
		",(119 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1550
		
		 sin intereses
		
	

	
		",50,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3.7,29,https://perfil.mercadolibre.com.mx/TEKKNOSHOP,https://articulo.mercadolibre.com.mx/MLM-599328986-case-funda-magnetica-aluminio-iphone-x-xr-xs-max-6-7-8-plus-_JM?searchVariation=31761977872,14,5,2,3,5,#599328986,Apple,iPhone,Apple,Magnetic-Adsorption,Aluminio y Cristal,Varios,Magnética
