search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca de Celular,Modelo de Celular,Marca da Capa,Modelo da Capa,Tipo de capa,Material,Cor
1, Capa Capinha Ultra Fina Fosca iPhone 6s Plus 7 8 Plus Novo ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				802
				vendidos
			
		",(95 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 572
		
		 sem juros
		
	

	
		",72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.2,14,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026051169-capa-capinha-ultra-fina-fosca-iphone-6s-plus-7-8-plus-novo-_JM?searchVariation=25994987550,9,3,0,0,2,#1026051169,Apple,Iphone,Bumper,Silicone,Slim,Silicone,NA
2, Capa Anti Impacto + Película Gel P iPhone 5 6 7 8 10 X Xs Xr ,15,NA,"
			
				Novo
			
			
				
					 - 
				
				887
				vendidos
			
		",(19 disponíveis),"
	
		
			
		
		3x 
		
			
				R$ 529
		
		 sem juros
		
	

	
		",29,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,26,https://perfil.mercadolivre.com.br/NOMOTEC,https://produto.mercadolivre.com.br/MLB-1047628140-capa-anti-impacto-pelicula-gel-p-iphone-5-6-7-8-10-x-xs-xr-_JM?searchVariation=36089029726,20,4,2,0,0,#1047628140,Apple,Iphone,HR,TPU,Capinha de silicone,Silicone,NA
3, Capa Anti Impacto P iPhone 6 7 8 10 X Xs Xr + Película Vidro ,10,NA,"
			
				Novo
			
			
				
					 - 
				
				390
				vendidos
			
		",(19 disponíveis),"
	
		
			
		
		2x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,6,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1230329082-capa-anti-impacto-p-iphone-6-7-8-10-x-xs-xr-pelicula-vidro-_JM?searchVariation=37033346817,4,2,0,0,0,#1230329082,Apple,Escolher no anúncio.,HR,TPU,Capinha,Silicone,NA
4, Capinha Capa Silicone C/ Logo iPhone 6s 7 8 Plus X Xr Xsmax ,33,NA,"
			
				Novo
			
			
				
					 - 
				
				625
				vendidos
			
		",(4485 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 566
		
		 sem juros
		
	

	
		",66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,9,https://perfil.mercadolivre.com.br/MALE2382936,https://produto.mercadolivre.com.br/MLB-1248683581-capinha-capa-silicone-c-logo-iphone-6s-7-8-plus-x-xr-xsmax-_JM?searchVariation=38604797226,6,2,1,0,0,#1248683581,Apple,iPhone 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / XR / XS / XS Max,Silicone,iPhone 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / XR / XS / XS Max,Apple Case,Silicone e microfibra(camurça),NA
5, Capa Capinha Anti Impacto 4em1 iPhone 6 7 8 Plus Xr X Xs Max ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				213
				vendidos
			
		",(27597 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 833
		
		 sem juros
		
	

	
		",33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,12,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1210095124-capa-capinha-anti-impacto-4em1-iphone-6-7-8-plus-xr-x-xs-max-_JM?searchVariation=35219107399,10,1,1,0,0,#1210095124,Apple,IPHONE,JK CAPAS,CAPA 4 EM 1 ANTI IMPACTO,CAPA PROTETOR,TPU/Policarbonato,NA
6, Capinha Ultra Fina Fosca iPhone 6 6s Plus 7 Plus 8 Luxo Capa ,22,NA,"
			
				Novo
			
			
				
					 - 
				
				403
				vendidos
			
		",(109 disponíveis),"
	
		
			
		
		4x 
		
			
				R$ 572
		
		 sem juros
		
	

	
		",72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,8,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026034649-capinha-ultra-fina-fosca-iphone-6-6s-plus-7-plus-8-luxo-capa-_JM?searchVariation=23594227857,5,2,1,0,0,#1026034649,Apple,Iphone,Bumper,Silicone,Slim,Silicone,NA
7, Capa Capinha Ultra Fina Fosca iPhone 5 6 7 8 Plus Xs Xr Max ,35,NA,"
			
				Novo
			
			
				
					 - 
				
				267
				vendidos
			
		",(10959 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 583
		
		 sem juros
		
	

	
		",83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,9,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1197368219-capa-capinha-ultra-fina-fosca-iphone-5-6-7-8-plus-xs-xr-max-_JM?searchVariation=34356084379,9,0,0,0,0,#1197368219,iPhone,iphone,jk capas,ultra fina fosca,capa protetor,TPU/Policarbonato,NA
8, Capinha Maxima Proteção 3 Em 1 iPhone 5_5s_se_6_7_8_plus ,34,NA,"
			
				Novo
			
			
				
					 - 
				
				170
				vendidos
			
		",(384 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 583
		
		 sem juros
		
	

	
		",83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/AJCAPA,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=tSu7tN%2BrdidslnXcFogM%2F1yC8eLxL1ngI0jiLYWDbth7hDGcloQsM6o1jIBglIdKoeI0ZjxiGzev58k1EttRpygtwA%2FdYWGqCrgkB%2BODScDbWGFUDMYyn3Q0D6i9Oc3sdMbjpGvfSzKDX1dWfZrZRyfpJ0CITcVsljHk55klrJEeT4MZPlFMBKUBXz5itCeJ3aOmM0l%2BPA08oFKz%2BglmC9KAuLFNr2kQnnitKGkcV1QzDrhLzVF4sUHndtYjabBtDTnNeC3vf%2BlxML4St1%2Fv0vbu7aDwqfgBgQOqzhu8ZGGAVzINt0l6F9Xi9Q0LeUm1l4DdJ8gCLA6yATqI82Oq8ufcfDYpKm2bVkyBPst3ME%2BYysLVqgKkKu0n8ljbkxzRfohmDRwSd7MpLP3TqqP7YcvLH6qXzgUxpfOqECviuwhedPE8t7g1OcW2yBNPA6ezeOPvvjSRSgo1gBQh6%2F9B82L4wE8KVm2lRIgzEOlUf%2Bs7sE8qRlIKz54w%2Br6LyWjD2%2Fyb9F%2BZhh%2BntFT17eG48Bv5qaHi8PmE1omHZt9i31BrJRwEMG57r1f39JZTckkqEfDlKGfKCSFFxfoohEMXnVYiaqYaJ7p%2FeoDpCOjedVUH7IW07Q%2FjFwHH6LJlWZbubGtTxhN4%2F4oG6mmRfR49JqQn8rFY3BDTRnUd7i4P3B0jELZuPcYIz9a3iO1rB3Pf%2FkrsRc647lYmT8FNriFczcHE3uspBjk7v5WiLiulxw8WeY1g9%2BlKihmJIvgpoG9T4Lua9zSShNHFC5btcDHjphFLJjsCJeKP8jmVhehlMcjfcy5MSX36qGSQEvSp4A4JENj9kuME%2FbBx%2BDPCQsfLey0lMOiG7SQ2odY%2Fc%2B6bp0yDDJeuIia72rolMNaakseufTCoFk6744EnC8O2YqHSp3n4R4LLS0J8sY8tb0ai4t9EE2juQFZ9nRaMD8nosIf3Pp8hOwFS%2BmT4X4KAKTKu2W4JTdrjy9ZN436X%2F81CcMGUpalHHwi8Np6Aa4ad5gAmzf0UUsKMyS%2BUvM6Ay5DAOq2kqN4ggwCWvJFTqWFgV2CuCThino9h1wl10aBeFWThjdHG%2BLudPneF3asny68y7kK3do6GPlc3pOWkeEwZquGf5vRX2htHG6WD8wHobJzmnaqS36vpt4YL26P1uiZj%2BMUdMLqmr48nPOShqJGqlAAuVZGuLyKz2VUErFLTAK7g3AK%2B9ZJYd6TO2sdMWh2GqwA6HQdmmWgrFY4P5jx%2BjmNcwH42vpsP0bz59XpQlp6OdFcMu99J7JZs%2FF5XSyxspxRmgRvM1nX6AN527Ej5zAgCHITvZFmqRhJX7pLd0voNUZcZmqudGu%2FNBTKNTMMGBfDuJ4VsAl6RFTGNpcJpoNLLqauWru1qnk7Dsk3aNnBePJtLiZh55%2BHFA%2FtnlqK1evZvxNqlpr%2B7zp37jfozJmKQDsaC4JLzCZ7XUQx5Odi7UCAP0PaQzJJXHfDSRxLStKZpYvEucKontIZSNi1kC1qDpDUlAdFi4On2L3IFx3FKn4LKAlUXdb%2FXxEdWGw%2BH4jxRbfH82rHidZ2OR9FVcqrQ%2BKvfdrb%2F%2Bwb2MMXKkkvfmWKe3sI6BhgMSd30Zw%3D%3D,NA,NA,NA,NA,NA,#1234100623,Apple,Iphone 5_Se_6_6+_7_7+_8_8+,ADS,Capa Fina 3 em 1,Case cabido,TPU/Policarbonato,NA
9, Capa Capinha Magnetica Luxo iPhone 7 8 Plus X Xs Xr Xs Max ,54,NA,"
			
				Novo
			
			
				
					 - 
				
				382
				vendidos
			
		",(7554 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 550
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,10,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1213994623-capa-capinha-magnetica-luxo-iphone-7-8-plus-x-xs-xr-xs-max-_JM?searchVariation=38590025464,10,0,0,0,0,#1213994623,Apple,iphone,jk capas,Magnética,capa protetor,metal e vidro,NA
10, Capinha Silicone Aveludado iPhone 8 Plus Verde Agua ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				195
				vendidos
			
		",(305 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 580
		
		 sem juros
		
	

	
		",80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,7,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165539317-capinha-silicone-aveludado-iphone-8-plus-verde-agua-_JM,6,1,0,0,0,#1165539317,Apple,Iphone 8 Plus,Apple,iPhone 8 Plus,Silicone,Silicone,NA
