search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca de Celular,Modelo de Celular,Marca da Capa,Modelo da Capa,Tipo de capa,Material,Cor
1, Capa Capinha Ultra Fina Fosca iPhone 6s Plus 7 8 Plus Novo ,22,NA,814,84,4x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,15,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026051169-capa-capinha-ultra-fina-fosca-iphone-6s-plus-7-8-plus-novo-_JM?searchVariation=25994987550,10,3,0,0,2,#1026051169,Apple,Iphone,Bumper,Silicone,Slim,Silicone,NA
2, Capa Anti Impacto + Película Gel P iPhone 5 6 7 8 10 X Xs Xr ,16,NA,934,18,3x,5.65,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,26,https://perfil.mercadolivre.com.br/NOMOTEC,https://produto.mercadolivre.com.br/MLB-1047628140-capa-anti-impacto-pelicula-gel-p-iphone-5-6-7-8-10-x-xs-xr-_JM?searchVariation=36089029726,20,4,2,0,0,#1047628140,Apple,Iphone,HR,TPU,Capinha de silicone,Silicone,NA
3, Capinha Capa Silicone C/ Logo iPhone 6s 7 8 Plus X Xr Xsmax ,33,NA,723,4485,6x,5.66,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,9,https://perfil.mercadolivre.com.br/MALE2382936,https://produto.mercadolivre.com.br/MLB-1248683581-capinha-capa-silicone-c-logo-iphone-6s-7-8-plus-x-xr-xsmax-_JM?searchVariation=38604797226,6,2,1,0,0,#1248683581,Apple,iPhone 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / XR / XS / XS Max,Silicone,iPhone 6 / 6s / 6 Plus / 6s Plus / 7 / 7 Plus / 8 / 8 Plus / X / XR / XS / XS Max,Apple Case,Silicone e microfibra(camurça),NA
4, Capa Capinha Anti Impacto 4em1 iPhone 6 7 8 Plus Xr X Xs Max ,49,NA,234,16511,6x,8.33,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,12,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1210095124-capa-capinha-anti-impacto-4em1-iphone-6-7-8-plus-xr-x-xs-max-_JM?searchVariation=35219107406,10,1,1,0,0,#1210095124,Apple,IPHONE,JK CAPAS,CAPA 4 EM 1 ANTI IMPACTO,CAPA PROTETOR,TPU/Policarbonato,NA
5, Capinha Ultra Fina Fosca iPhone 6 6s Plus 7 Plus 8 Luxo Capa ,22,NA,425,96,4x,5.72,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,9,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,https://produto.mercadolivre.com.br/MLB-1026034649-capinha-ultra-fina-fosca-iphone-6-6s-plus-7-plus-8-luxo-capa-_JM?searchVariation=23594227857,6,2,1,0,0,#1026034649,Apple,Iphone,Bumper,Silicone,Slim,Silicone,NA
6, Capa Capinha Magnetica Luxo iPhone 7 8 Plus X Xs Xr Xs Max ,54,NA,401,7542,10x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,10,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1213994623-capa-capinha-magnetica-luxo-iphone-7-8-plus-x-xs-xr-xs-max-_JM?searchVariation=38590025464,10,0,0,0,0,#1213994623,Apple,iphone,jk capas,Magnética,capa protetor,metal e vidro,NA
7, Capa Capinha Ultra Fina Fosca iPhone 5 6 7 8 Plus Xs Xr Max ,35,NA,276,10951,6x,5.83,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,9,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,https://produto.mercadolivre.com.br/MLB-1197368219-capa-capinha-ultra-fina-fosca-iphone-5-6-7-8-plus-xs-xr-max-_JM?searchVariation=34356084379,9,0,0,0,0,#1197368219,iPhone,iphone,jk capas,ultra fina fosca,capa protetor,TPU/Policarbonato,NA
8, Capinha Capa Case Silicone iPhone 7 Plus 8 Plus Aveludada ,32,NA,312,848,6x,5.50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,4,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=OxncuFwvyNbr23XVs%2Btbc7kI29qsK92Tl9H30IwXv5LGkW2LnPCKWT67tvOUKrTecepbTnaWdnO4DpAmdbSqIaGoMMecLs7LvrvFXGN2%2FTFHlX52ClwJWE%2BOl2Qa2eXtPKW1m%2BgY7yGMX29eFMqC5JRajP5wanDuVaFTqxihRAGZPApSNPykbwutLQBPeHFuZcOf0cHDL1srBfHf%2F98MZy8ES9irOXEAwji09tuVyI8lfQbigekFyaFfaW22xoqOetmX%2B1voiM63g5QXtXfNmk0wqAOmp%2FeOg622z%2BsOT%2Ftr%2BeQd0CLvxk1Ykmaaad1YV6jrgDMPVxxOLuPTagr%2FqX%2Bn5RWyjGHbkBuXNH1r3rcFiZx2Crze4CLbbOnWOSD%2FHQsEB3ZEttFd2IVtPK3bWEWy63O7s7caSQOLf69AReO6l1%2BG%2BXTBdev9%2BYML2vrD%2F%2B6pyxxV57pCec9KEkIpYo1Ye4ssXPwmAhCPD6eMvpJGX8QG81zMzNDiPWCCDZuVFDsBT%2BuptX7qmTKFIjDodnySI4TrbLPUuGCHX4nYzTQG75Hv3Gcv2vxDaCTMuj9XFg7zmLq%2BBwRRgyVvrJN3yvBRgej6Vh6XEBai4I3zTE1MV9KITMB%2FuMxnUDGF44Tup%2B9y0agWF0MipFTpF5WpAPQjmHsh9rfaOobMDqSvRviov4vnv7Yaw8jGJMO6sSN5vWYrfha3XKiXyHxSVWlhbDOkw7aZisYWB4E8ZLGPJnL%2Fi7ohrngfJ52AJry6qy%2BGPIJArwFSNhDY3rOwMqvib0zJ5mDdggQ0NjdBv60vjMQyxSt78TKkwaskkFqDZ0QBqh7ovZ2Ovle9HQsLI7RVrUZmH9yV9kPOya8dmRKScFrkCC3HSyEA7%2Buzd0u1GCRZ5UqJibISIYPJaAhEhO5962253k3jsnh6nUfeHEyaPPK7Ril21AcUJTfpP9qUGYc%2Blj6BV7vrhmBd52K7m43O37NLjCA9Tv87yxWMnJJv2ShUrvu%2Fbi%2FuQlQk%2FLU4crigJKN8kCRS1AoAOWmNpYpZ%2BAtO04XOWHe0iBbkySK7j6nGESEFN8%2FocjHPg3AcoXmHojvN7dw8Vn8sxGngQ4zcEGkHoFTXJ5GiYXBI10XujwmyK7otD4%2BNlhR49g8kgQSQWYmracM0c%2FYAGdW3HB4gk57ukV2q2rPzRYuvrvnkmwbqyjU59G3abGoCDzCpwEqwkD4kVVcBM8XxdZ%2FdlPem6OGiYBnoNnzKGkwIOKlGaPh8cGnAawBs4H1DTlFNHBU6aXlH8UnDDM4ad7gqy6f59W9cBebNtVVj9%2BLQlmKCtZxlc2avct07PaW9XtkPnJtm97RXQUmBE97WhKRQNVAVbkFVnRsDephbHjoxg8yUqti5uS69JhHMf2IyUbgmh3Ab8nTHB0dJmM3TG28cD%2FA4fS4KPKxZK%2BimuM7Td2s4WVXamqm%2BFn%2FAzUtPbmCGJnQzTUkPuiziV%2Fc866KkIv0IG1h1g79oAnSkeJcKNOhV4u4VNIQFrsbBLqrbR%2B%2FKD%2BnagjyQPZLMwAQG6YIXOmwmyTyD9yc71hABh0xDHTziMlUtWuwNvXAozYxcS8AcB2Hz29lxpBpSpDTapCC59qoAi0unew%3D%3D,4,0,0,0,0,#1246923437,Apple,iphone7 plus  iphone 8 plus,Silicone,iPhone,Silicone,Silicone- Aveludada,NA
9, Capinha Silicone Aveludado iPhone 8 Plus Verde Agua ,29,NA,208,292,5x,5.80,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,7,https://perfil.mercadolivre.com.br/REI_CELULAR,https://produto.mercadolivre.com.br/MLB-1165539317-capinha-silicone-aveludado-iphone-8-plus-verde-agua-_JM,6,1,0,0,0,#1165539317,Apple,Iphone 8 Plus,Apple,iPhone 8 Plus,Silicone,Silicone,NA
10, Capa Anti Impacto P/ iPhone 5 6 7 8 10 X Xs Xr + Pel. Gel ,16,NA,309,20,3x,5.62,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5,5,https://perfil.mercadolivre.com.br/TECMODENA,https://produto.mercadolivre.com.br/MLB-1056485759-capa-anti-impacto-p-iphone-5-6-7-8-10-x-xs-xr-pel-gel-_JM?searchVariation=26828489024,5,0,0,0,0,#1056485759,Apple,Escolher no anúncio.,H+,TPU,capinha de silicone,Silicone,NA
