search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Material,Fabricante,Tipo de funda
1, Funda iPhone 5|6|7|8|plus|x|xs|xr|xs Max Airbag Transparente ,169,NA,5822,25,18 meses,9.39,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,259,https://perfil.mercadolibre.com.mx/BROXYMEXICO,https://articulo.mercadolibre.com.mx/MLM-582143415-funda-iphone-5678plusxxsxrxs-max-airbag-transparente-_JM?searchVariation=17472366030,223,26,4,2,4,#582143415,Apple,iPhone,BMX,iPhone XS MAX | XR | XS | X | PLUS | 8 | 7 | 6 | SE | 5,TPU,BMX,NA
2, Protector Funda Case Uso Rudo iPhone 5 6 7 8 X Xs Xr Xs Max ,250,NA,1841,267,18 meses,13.89,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,62,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-653278098-protector-funda-case-uso-rudo-iphone-5-6-7-8-x-xs-xr-xs-max-_JM?searchVariation=30591645308,47,10,3,2,0,#653278098,iPhone,iPhone 5 5s se 6 6s 7 8 PLUS X XR Xs MAX,OEM,Oem,Plástico,OEM,uso rudo
3, Protector Funda iPhone 7 8 7 Plus 8 Plus X Xs Nuevo Uso Rudo ,250,NA,1847,150,18 meses,13.89,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,52,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-637771698-protector-funda-iphone-7-8-7-plus-8-plus-x-xs-nuevo-uso-rudo-_JM?searchVariation=26411510022,39,9,2,1,1,#637771698,Apple,iPhone 5 5s se 6 6s 7 8 PLUS X XR Xs MAX,RAMEER,2018,Plástico,OEM,USO RUDO
4, Funda Ultra Slim Transparente iPhone 6 7 8 Plus X Max +mica ,239,NA,1224,50,18 meses,13.28,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,36,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-651098477-funda-ultra-slim-transparente-iphone-6-7-8-plus-x-max-mica-_JM?searchVariation=32254386866,24,7,1,0,4,#651098477,Apple,6 6s 7 8 Plus X Xs Max Xr,Gurio,Ultra Thin,TPU,Apple,Protector
5, Funda Ultra Slim Silicon iPhone 6 7 8 | Plus X Xr Xs Max ,219,NA,1904,97,18 meses,12.17,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,62,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-618319522-funda-ultra-slim-silicon-iphone-6-7-8-plus-x-xr-xs-max-_JM?searchVariation=32254069859,45,11,4,0,2,#618319522,Apple,iPhone,Apple,Apple,Silicona,Apple,Protector
6, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,269,NA,2406,23,18 meses,14.94,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,81,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623748083-funda-tipo-piel-leather-case-iphone-6-7-8-plus-x-max-xr-mic-_JM?searchVariation=32254170142,71,9,1,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,TPU,NA,Protector
7, Silicon Case Protector iPhone Varios Colores Y Modelos ,203,NA,999,43,18 meses,11.32,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,28,https://perfil.mercadolibre.com.mx/CELLKING21,https://articulo.mercadolibre.com.mx/MLM-671538364-silicon-case-protector-iphone-varios-colores-y-modelos-_JM?searchVariation=34395449949,23,5,0,0,0,#671538364,Apple iPhone,iphone 6 / 6 plus / 6S/ 6S plus / 7 / 7 plus / 8 / 8 plus / X / XS / XR / XS MAX,Apple,Silicon Case,Silicone / microfibra interior,NA,Liquid silicone
8, Funda Ultra Slim Transparente iPhone 6 7 8 Plus X Max +mica ,239,NA,1224,50,18 meses,13.28,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,36,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=%2BUlFUkpoiedcxASZNdUMPtfqdzZT%2BptKur%2BpIRk4Xn%2BLa60IL%2Bh5A2nvFYPiGp0eJCOjuQz0QVQ5ZqUDJd8SUO0FC7X96%2BU%2B6HEgRn27kM3QSABvJJ2wO1oM03dTj%2B70AkaXYwWiS9m36yne%2Byv%2FigNDehVDeVE05pxyAd7zOOhJ2XhmMOzTy7HW6eTnF2Zea6QjcK2vHsucwQXuGPodlUqcZ1OZKKg%2BQaxxMBvioeE6v1uAdyld5LFsGs0C%2BQgBR9sVEO6FcEOWHpvAKrdiljB4QJrtl46DQlQSsDMJRSr6UNSjuIKseGzuMsaH6QjhwdsR2F7XWH02E9ByuhaaHvFd%2Bhp5I6xXPJRjmnE5o8HFr0Z28CnyQVZue%2FW9TUWlg%2BfhoUX3JsD%2FAPuFPxTVcwcu3995%2FKNqar4mIlbkZFDEqsT1olGxSAPsgjC5ubPD%2F8xhI2Z4uKWxXeRKSmQYdgTswF5zt%2F0C0lfKPqVG07klV24zWcEzZaU%2FDXJzVi5nOj2doXVZLmodMhiQXUke56lEKQiAfxp6pcxneOF6AJ8fLVcRW66R3AzDqqyVUpxkBgZ6eC%2B%2B0ovbA1UJWJjw4dMj%2BwgpL9juIwIzQqmM4xYRP0oj8cItD4yedAX1kp8MKNx90mU6Mzb0UshgvKzUCqRz7lD4%2B6aZfFxDDQFBoz4MCt1w1rohtqmqHjh8%2FlNv8Zpv85pkD1nwtoZyyJnPHEZHCubzvEchSXcxfCUjLhQYTtOxGE%2F8jo%2FkFjo5VchY7Z9gvr7wOv9s8jEGStcjG%2BbVcX7dWsXcbxKoiyW1Ni4zDSlcvg9gGBAOArbQqEcByo0ffbnnwcNAPuUB8pxNAXeADTGzKZhjdsxXtBsEDGhpFF4k8QOrSIkVs%2FanN4GP3XbGu5pSDAV%2BUb3yJKUwI%2FWvcV1%2B4%2F%2FHPthLVx9Xg8L9Jw9XpA2XcvVtxSGt3eWRruRA%2B6HOCBlLEQ6sw0qUrynzg%2Bcj3w%2F0pUio%2B52F8vfBnqh8lK7G5TlqL6EBrLqEljxQERJ6KL661azo2nmAFOcFjr02YNjO8EXsaq%2BsO1xr%2BMrTPndAbPocGZK%2Baj%2ByGkBiFruT0HpHQ9hpp8z2JBurg7rqbdmkzabJxTSwxjbd9EBJvyzks7h%2BKb8zbWbU1%2FCnVeVNuNB%2Bd%2BgUqu%2BdLyB5S%2FLgx1%2BBXjo5yBfEbA74pmbK6PNizgDpTm%2BQpxqPHoeT1rvVehql38q6nVkP5Yu1KP85Ptsn7PNd1%2FKgchdwq9RbJxiwAPCHnvwHyDTEIDMsgEBGfoeM3J8OSFCTP%2FZq%2Bib5q2GURzjEuPwjYAoKk82jmn3yXHbaLVXNWdoOS9WkJlkUZxljlJVDF4emXClLmge5ya4Ln%2B0%2BRzW9nNOQBnEDQ79pKcKo16rcHIelYyhFml9CIwCsdGOXg1F6WaAn2MM1vff2ikuCAnNwRjDrq5BmZXlJoxI6kW%2FduWgBciJqMoseJVPni9uby%2FWs0gkj65EBRVBExq9SzQ5nRxglkSA1izhh%2FXdJvhyK4cUm%2BQylivjqlw7lqAbZuSlJFBK%2FfThzUr%2B06feHKiHBzgz06uEi5hp53OLmD4r8ADss91cc0xJ%2FLJ5q64aL57ynRQtH1djzq%2FubYWBlvPvg5ou8bwFGPz9W4TXrU4XFjj0dElf9Tn35qqtEGJ95qEtOXlA2WN6UCS4N6qnURD%2FrYoFSipcGvWI1oebxbXF7zUzaxtOWhuRa9zLeUC3lJyDfDZelBwLuPzzZ%2FbEgOg%3D%3D,24,7,1,0,4,#651098477,Apple,6 6s 7 8 Plus X Xs Max Xr,Gurio,Ultra Thin,TPU,Apple,Protector
9, Funda Rigida Transparente iPhone 5|6|7|8|plus|x|xs|xr|xsmax ,79,NA,2667,334,18 meses,4.39,NA,Envío,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,15,https://perfil.mercadolibre.com.mx/BROXYMEXICO,https://articulo.mercadolibre.com.mx/MLM-621037271-funda-rigida-transparente-iphone-5678plusxxsxrxsmax-_JM?searchVariation=23558966100,12,2,0,1,0,#621037271,Apple,iPhone,BMX,iPhone XS MAX | XR | XS | X | PLUS | 8 | 7 | 6 | SE | 5,TPU/Policarbonato,BMX,NA
10, Funda Magnética De Metal Con Vidrio 9h iPhone Y Samsung ,249,NA,1098,360,18 meses,13.83,NA,Envío,Devolución gratis,Tienes 30 días desde que lo recibes,4,21,https://perfil.mercadolibre.com.mx/IBUMPER+VERACRUZ,https://articulo.mercadolibre.com.mx/MLM-638119024-funda-magnetica-de-metal-con-vidrio-9h-iphone-y-samsung-_JM?searchVariation=29751866132,12,3,2,2,2,#638119024,Apple,6/6S/6Plus/6SPlus/7/7Plus/8/8Plus/X/XS/XSMAX/XR/ Samsung S7Edge/S8/S8+/S9/S9+/Note8/Note9,NOHON,Magnética Metálica 9H,Aluminio,NOHON,Bumper Metálico con Vidrio 9H
