seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
BACKUPSTORECOL,https://perfil.mercadolibre.com.co/BACKUPSTORECOL,5,años,289,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,77,2,2,73,"Chapinero, Bogotá D.C..",meses,4
MLOKEDO,https://perfil.mercadolibre.com.co/MLOKEDO,1,año,262,NA,Brinda buena atención,Entrega sus productos a tiempo,58,0,0,58,"Ibagué, Tolima.",meses,4
GHORA ACCESORIOS,https://perfil.mercadolibre.com.co/GHORA+ACCESORIOS,10,meses,1137,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,268,3,4,261,"Bogotá, Bogotá D.C..",meses,4
NEXOSGROUP2010,https://perfil.mercadolibre.com.co/NEXOSGROUP2010,9,años,354,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,73,0,2,71,"Envigado, Antioquia.",meses,4
APRECIOSDEREMATE,https://perfil.mercadolibre.com.co/APRECIOSDEREMATE,15,años,1296,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,271,8,7,256,"Floridablanca, Santander.",meses,4
IMM_COLOMBIA,https://perfil.mercadolibre.com.co/IMM_COLOMBIA,3,años,542,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,164,5,9,150,"Bogotá, Bogotá D.C..",meses,4
KLIDAD OFICIAL,https://perfil.mercadolibre.com.co/KLIDAD+OFICIAL,2,años,1918,NA,Brinda buena atención,Entrega sus productos a tiempo,839,11,14,814,"TUNPQ1BFUmMwMjJk, Risaralda.",años,2
AKARGO COLOMBIA,https://perfil.mercadolibre.com.co/AKARGO+COLOMBIA,6,años,3129,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1815,33,74,1708,"Bogotá, Bogotá D.C..",meses,4
TEKNINN,https://perfil.mercadolibre.com.co/TEKNINN,7,meses,198,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,50,0,0,50,"Medellín, Antioquia.",meses,4
OLOGHY,https://perfil.mercadolibre.com.co/OLOGHY,4,meses,162,NA,Brinda buena atención,Entrega sus productos a tiempo,46,0,0,46,"Barrios Unidos, Bogotá D.C..",meses,4
WEBCASTERSHOP,https://perfil.mercadolibre.com.co/WEBCASTERSHOP,7,años,225,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,52,3,0,49,"Kennedy, Bogotá D.C..",meses,4
