search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Marca del celular,Tipo de funda
1, Mophie Funda Bateria Juice Pack Para iPhone 8/7 Plus Negro ,47.99,69.990,1,2,6,7.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-475910245-mophie-funda-bateria-juice-pack-para-iphone-87-plus-negro-_JM,NA,NA,NA,NA,NA,#475910245,Mophie,NA,NA
2, Tech 21 Funda Dura iPhone 8/7 Plus Evoke Transparente/azul ,23.99,NA,1,9,6,3.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-496719646-tech-21-funda-dura-iphone-87-plus-evoke-transparenteazul-_JM,NA,NA,NA,NA,NA,#496719646,Tech 21,Apple,Carcasa
3, Carcasa Apple Silicona Original 6 / 7 Y 7 Plus / 8 Y 8 Plus ,7.8,NA,269,72,12,650,NA,Envío a todo el país,NA,NA,4.8,18,https://perfil.mercadolibre.cl/CELLBOX.CL,https://articulo.mercadolibre.cl/MLC-454645969-carcasa-apple-silicona-original-6-7-y-7-plus-8-y-8-plus-_JM?searchVariation=36229993361,17,0,0,0,1,#454645969,Apple,Apple,Carcasa
4, Carcasas Colores iPhone Silicona 6/7/8/x/xs/xr/plus ,6.99,NA,95,46,12,582,NA,Envío a todo el país,NA,NA,5,5,https://perfil.mercadolibre.cl/BANANATIENDA,https://articulo.mercadolibre.cl/MLC-492059051-carcasas-colores-iphone-silicona-678xxsxrplus-_JM?searchVariation=39967227028,5,0,0,0,0,#492059051,Silicone,Apple,Carcasa
5, iPhone 5 5s 6 6s 7 8 Plus Carcasa 360 Slim Gkk | Kyrios ,6.99,NA,85,4,6,1.165,NA,Envío a todo el país,NA,NA,4.8,6,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-473097419-iphone-5-5s-6-6s-7-8-plus-carcasa-360-slim-gkk-kyrios-_JM?searchVariation=41301697027,5,1,0,0,0,#473097419,GKK,Apple,Carcasa
6, Carcasa Rock Ultra Delgada iPhone 6/7/8/x/xs/plus ,8.99,NA,366,153,12,749,NA,Envío a todo el país,NA,NA,4.7,30,https://perfil.mercadolibre.cl/BANANATIENDA,https://articulo.mercadolibre.cl/MLC-452176797-carcasa-rock-ultra-delgada-iphone-678xxsplus-_JM,27,1,0,1,1,#452176797,Rock,Apple,Carcasa
7, Carcasas Apple Cuero iPhone 6 6 Plus 6s Plus 7 8 7 8 Plus ,7.99,NA,613,3,6,1.332,NA,Envío a todo el país,NA,NA,4.3,42,https://perfil.mercadolibre.cl/SMARTBUYCHILE,https://articulo.mercadolibre.cl/MLC-434288453-carcasas-apple-cuero-iphone-6-6-plus-6s-plus-7-8-7-8-plus-_JM?searchVariation=35810579020,26,8,4,3,1,#434288453,Apple,Apple,Carcasa
8, Apple iPhone Xr 64gb 4g Plus Banda28 Mica Funda -phone Store ,649.99,749.990,7,893,6,108.332,NA,Envío gratis a todo el país,NA,NA,4.8,18,https://perfil.mercadolibre.cl/PHONESTORE-RETAILCHILE,https://articulo.mercadolibre.cl/MLC-471445619-apple-iphone-xr-64gb-4g-plus-banda28-mica-funda-phone-store-_JM,15,3,0,0,0,#471445619,Apple,NA,NA
9, Carcasas Apple Cuero iPhone 6 / 6 Plus 7 7 Plus 8 Y 8 Plus ,8.99,NA,134,373,12,749,NA,Envío a todo el país,NA,NA,4.3,8,https://perfil.mercadolibre.cl/CELLBOX.CL,https://articulo.mercadolibre.cl/MLC-455131366-carcasas-apple-cuero-iphone-6-6-plus-7-7-plus-8-y-8-plus-_JM?searchVariation=36233406122,5,2,0,0,1,#455131366,Apple,Apple,Carcasa
10, Power Case Bateria Externa Funda 5000mah iPhone 6 7 8 Plus ,14.99,NA,27,73,6,2.498,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TECNOPICADA,https://articulo.mercadolibre.cl/MLC-471415131-power-case-bateria-externa-funda-5000mah-iphone-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#471415131,NA,NA,NA
11, Carcasa + Soporte Dragon Ball iPhone X 6 7 8 Plus Xs Max ,7.99,NA,19,3,12,666,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALIZADORA+REGALOCO,https://articulo.mercadolibre.cl/MLC-475108196-carcasa-soporte-dragon-ball-iphone-x-6-7-8-plus-xs-max-_JM,NA,NA,NA,NA,NA,#475108196,NA,Apple,Carcasa
12, Carcasa Logo Apple iPhone 7 Plus / 8 Plus + Lamina De Vidrio ,9.99,NA,13,39,12,832,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/CARCASASPUNTOCL,https://articulo.mercadolibre.cl/MLC-477968233-carcasa-logo-apple-iphone-7-plus-8-plus-lamina-de-vidrio-_JM,1,0,0,0,0,#477968233,NA,Apple,Carcasa
13, Carcasa Love Mei iPhone 7 8 X Y 7 8 Plus - Tecnostrike ,20.99,22.990,335,4,6,3.498,NA,Envío gratis a todo el país,NA,NA,4.1,13,https://perfil.mercadolibre.cl/TECNOSTRIKE,https://articulo.mercadolibre.cl/MLC-435358128-carcasa-love-mei-iphone-7-8-x-y-7-8-plus-tecnostrike-_JM?searchVariation=41841315662,8,1,1,3,0,#435358128,LOVE MEI,Apple,Carcasa
14, 10 Carcasas Magnética iPhone 8 Plus Por Mayor ,69.99,NA,0,9,6,11.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALONLINE+EIRL,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=BrIyctFJNdM1z62CBGtQDUjj1hVJQRjXoH2Pxldr3832K1pP%2FxveZPH54liGvi4P6kinfmaa8SVs2m0Sdeq%2B6xHwExkqBQAbOzNdxY9J8B7iSn7OuMhvYpijFBgXRpbgPHhwZOZ52Qv0o0eE8i3GpE7hV558aUQDUxG5GIVXxROozE6Ol9DrHFDNq8P5pRW%2FlvJEYKPwr%2BtX6JIFOD5IC%2Fe9oOHqemPqb5OKMGww2iAmHA9gFlw8Ufy74FcTcwh6yI5DSPMhDPyrmhdPdYh5dzJPu7tJA%2FkLEO1%2BmLc1Z6clK3fytSQCKAWPsgd8JurIE4qPDRE89kNbdEHbtx8JGYUGia6RHVD%2FvMTPmDk62rWYJl6G%2BaOJSvakk8NReM4vX%2FvjSEGhZZryXuB4VWQJAxXwSa1gp0wYhtu%2FOzyFc0XxQXGZA5PRkctW2AwVwqMnV1ZWF3G4JSoEpE23PRP8I2xEtuk2K54nCNksB4oiLDH1ty8KL1WZtNXzd4Lw6M3HRGGkMZxbdRfGGGr1utp0L7ALdIrZeb%2BRjZqBGx3G%2FPs%2FfIvAppxbZVib7pZIobucu8IS5o34TU945P0rFPafRnXeCqmGml%2BFodDrXRkfI%2FUR4TiAsSfwQRbmBU91cfh15Wwe2Rma22j56voFGQLy5HtIKPNJDy3CYHPJVJWeprrqACgnb3efkCSCQ7j39vdD6GFz%2BEs%2BhX74MKDjmhCQ75xFRwlQM0DMAAZcBZT5toN%2BuzuQmb3ZhmDH858fjyCDjoZo7x%2Be9YbG0GLFvxgvL36BroJqKwmXWME2gkSfPhRuA4KxLQeqK3gjRPgnvlN%2BX3lJS9l9cI65u6o8pMB3JG7jGjcfGcpg96Vj%2BeeMzglxQzfcKKpCbCvvtGrgSGwTGvV8dYhtI28STdS%2BIvUjon0PnkMBuM2fWNrCch%2FGihQKGGynAN%2BLTEYWRlaMKHFOnQAKM039EE5pNOhULtMvqY%2FOHGJF16yIcD9a1IbZwoSZw%2BwNExhUJ6XLlC4owxPyIDI%2FqYrD2bPdb5vkKEKosDP%2FC30SRIXyWngFUX6oJG4lr5VQT%2FGv4hgcKWH7cvIPbgzzcURAYJkht%2FGTa8uz5MF5bIj4y26RibbjPgWwJ2tJniBmsqB0wNaVhW2NMVZvug74qXL%2FOvzSt9zCpLX8YpYIGWKxdVl%2BO%2F84PJbY8W8CH4FNVo0uycz7laGYskdJpRZMd5bOqr51oSHudj4Ak2g3AARnfF5H81x2vz2ceFiRgdbs0chYr3ViFdyLpGfF7%2BACBGwQdPNxvuR%2F2XgIbPqMSSG5FofOgoP56dmN%2Fyo0hipeZdUBdRJTkl3L3hFQQWtsIr7mSktbYX9Txgdqg61V5ur9Hjt5CRD6xmAoTG67GYuivfBrhVcFbNhs0KvLCCX%2B91kdp0rSZjhyMsHBF4TUwI1i946jhE%2FepTWTbWquXHbGyLK%2FN%2FyhGe9pA%2Bx9silQjHbFMSDthtXWNK2SSOL4qW98BNopNemwH2KTrKb5X3QDJdl5EiTLXk05BtyXZDpKaNGaecKsCXUTEvUmknOnZcdo2w%3D%3D,NA,NA,NA,NA,NA,#471393023,NA,Samsung,Carcasa
15, Carcasa Original Ipaky 360º iPhone 8 Plus + Vidrio Templado ,13.99,NA,3012,4,6,2.332,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/MONKEYCOLOR,https://articulo.mercadolibre.cl/MLC-451130493-carcasa-original-ipaky-360-iphone-8-plus-vidrio-templado-_JM,NA,NA,NA,NA,NA,#451130493,Genérico,Apple,Carcasa
16," Carcasa Antigolpes Metal R-just Classic iPhone Xr,7y8plus ",19.99,NA,9,3,12,1.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ARAGUISS,https://articulo.mercadolibre.cl/MLC-489269436-carcasa-antigolpes-metal-r-just-classic-iphone-xr7y8plus-_JM,NA,NA,NA,NA,NA,#489269436,r-just,Apple,Carcasa
17, iPhone 7 / 8 / 7 Plus / 8 Plus Carcasa Magnética | Kyrios ,9.99,NA,37,1,12,832,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-470386540-iphone-7-8-7-plus-8-plus-carcasa-magnetica-kyrios-_JM?searchVariation=37721968573,1,0,0,0,0,#470386540,LUPHIE,Apple,Carcasa
18, Carcasas Colores iPhone Silicona 6/7/8/x/xs/xr/plus ,6.99,NA,95,199,12,582,NA,Envío a todo el país,NA,NA,5,5,https://perfil.mercadolibre.cl/BANANATIENDA,https://click1.mercadolibre.cl/mclics/clicks/external/MLC/count?a=f6JDaExDyKK3Zrrnucj4%2FSu7bdNkP4%2B1XdWi116iiIX6xVaxVBHhqx%2F0oTsCKUdlfKK5SlQyYc%2FplmUvbm9R2wv5hFip647C2R62mnpNK5mn7yZtmJMOVOCVq7kHUeXMBUbdiw4ZqQJ4PI1gQbcwgqckKviCrXvwQgXQRfWrjif%2F6d2T3IolE6FvGY6EuRoCIW57rpE2kRPo5vnAijP81aZ%2BKQUI3ANfdreZE2AEsubNftQ%2Ftv%2BZdgEOReKsm3ZvOExxjZZZ5n3OmK5A6L5NgV9o3fTfx3bqYMGt3CSQgeTNr448NkfA3tJWdqPtrjqLC1AzxKsn9HpyyCI8pEJHMlN7wASdH%2BpRIi%2BCW703oxN74NvGKPlGtOxxq8Zt%2B0i4Aebj2lNgFXJJXCF41QZQXn6KinjL0IjM%2FQg7sBf6A1as7e8dbP9FSgwSuGj75etM0Z7W3V1RZLVYcxJfSjOKfaMQ%2BlBsTyb2Gn5iyPdT99PPHgPuOHDl7hkehoLUnN4Jr5UZf5C%2FfzFTX03GEg3cq7Ffoe1skKRp%2BeTv5SyDjK69kyxFhxjQysZzflKQA9QfelyaEPW76DvFRlnl52Ka1xTv%2BQmT8iycVq%2FvnVFT%2FnPSLrn6FcKgWq7mrhTtakIRdPAnz%2B4kUI4QYVGlY3NOLA73A4X3JSGqcAtFW7YxuABSiJZ7MeulRxnsUPa0dZ04ICh4AsgGbVB09msNoy8fAm3RhBgisWMhnD4b43%2F1xXzCFzkzMXK1y4NSyH6AevwNZ%2B4W5E5%2BfstcLy8MtQFSY8ddTP6hgs09dxzVj4E3AP8tLRPLDQ86YASZSYBDvtNkHbmBMbyV5BmlkSEWiG8FWRHTcvd1%2BkowU6p1FfiD8G58wcowsZSCAplkCG1DX22qm3qDk15S6vwMZAuzqT5NRYRM4yNSBX%2Bope0%2BQCtVYI1Imjwr6t0oN0e98EujLy2GWHUZa66vDWnBsRzotH1TusKTmbPS%2BRGxF9%2FZuHRFYrwyz%2FzNkp4wUBapp6JtMnf4Wjo8f2A4kc7ksuNM8MTUO%2FnqWqzgXcGcuismRwdhsB58tXTIWbutCJRYIiJD%2FDNiw0LUwPrWQDmn%2BmRymHxpsWZkhzO0TejxcLd4A8f7biZC9kxTYGrDVuRUV604C%2FHC8At88XVatsAEO6TvbWnQhhXdTxIe9vw%2F0xLKxYDqKpQK3caefCyURsmE3DR1gjI8LaE2yC3TgVAGw%2BaGFbfUChTOAXKLi4DrD52vRESuiGQ8F4PO5Mli3HKiq%2FWAYIGc2m9hURBavulQZzSfiZgJ2AdcdcsFWUkUwzNR3JpA0XWc%2FCsxBvRCZ29nMpDBFiHGfAjACzwXX11mnyY5ZAjSjrL2%2Bn7IFFgWCQW0IeiHeBpiSndOH303XerfbYfddxmzsc5BWLxnorIBlgo2QUYZm2YoQtsh6%2FI8KuP6t8zndfqdRdROnwB5Cz%2Fs5XxMSRj061NY5tBFsZKCXPBNt6OAdqbe6nj2fgZ%2FUm0Mhrln47it6cVxobqxKLbR9%2Fe4QoFVtty5nMSaUNu0HvwRtZ%2F3jepQugOLcA%3D%3D,5,0,0,0,0,#492059051,Silicone,Apple,Carcasa
19, Carcasa Transparente Reforzada Para iPhone 8 Plus Miaustore ,1.99,NA,26,9,12,166,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MIAUSTORE.CL,https://articulo.mercadolibre.cl/MLC-453525745-carcasa-transparente-reforzada-para-iphone-8-plus-miaustore-_JM,1,0,0,0,0,#453525745,NA,Apple,Carcasa
20, iPhone 7 / 8 / Plus Carcasa Silicona Platered Esr | Kyrios ,7.99,NA,11,2,12,666,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-448592292-iphone-7-8-plus-carcasa-silicona-platered-esr-kyrios-_JM?searchVariation=41543798622,NA,NA,NA,NA,NA,#448592292,ESR,Apple,Carcasa
21, Carcasa 360° iPhone 8 Plus 7 Plus + Lámina Negro 3 En 1 ,9.995,NA,37,2,6,1.666,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452824745-carcasa-360-iphone-8-plus-7-plus-lamina-negro-3-en-1-_JM,1,0,0,0,0,#452824745,NA,Apple,Carcasa
22, Carcasa 360° iPhone 8 7 Plus + Vidrio Templado Rojo 3 En 1 ,9.995,NA,11,5,6,1.666,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ALPHATECHILE,https://articulo.mercadolibre.cl/MLC-452825550-carcasa-360-iphone-8-7-plus-vidrio-templado-rojo-3-en-1-_JM,NA,NA,NA,NA,NA,#452825550,NA,Apple,Carcasa
23, Carcasa Magnética iPhone 6 6s 6 Plus 7 8 8 Plus X | Digitek ,9.99,NA,30,70,6,1.665,NA,Envío a todo el país,NA,NA,4,1,https://perfil.mercadolibre.cl/DIGITEK.CL,https://articulo.mercadolibre.cl/MLC-489124640-carcasa-magnetica-iphone-6-6s-6-plus-7-8-8-plus-x-digitek-_JM,0,1,0,0,0,#489124640,NA,Apple,Carcasa
24, iPhone 7 / 8 / Plus Carcasa Silicona Brillos Esr | Kyrios ,8.99,NA,13,1,12,749,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-446510146-iphone-7-8-plus-carcasa-silicona-brillos-esr-kyrios-_JM?searchVariation=37740180343,NA,NA,NA,NA,NA,#446510146,ESR,Apple,Carcasa
25, iPhone 6 / 7 / 8 / Plus Carcasa Magnética Premium | Kyrios ,11.99,NA,12,14,12,999,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/TIENDA+KYRIOS,https://articulo.mercadolibre.cl/MLC-464042219-iphone-6-7-8-plus-carcasa-magnetica-premium-kyrios-_JM?searchVariation=41533249095,NA,NA,NA,NA,NA,#464042219,BOTYE,Apple,Carcasa
26," Carcasa Magnética iPhone X, Xs, Xs Max, Xr + Lamina Vidrio ",11.99,NA,7,506,6,1.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/PALMCITO,https://articulo.mercadolibre.cl/MLC-497546294-carcasa-magnetica-iphone-x-xs-xs-max-xr-lamina-vidrio-_JM?searchVariation=40536215842,NA,NA,NA,NA,NA,#497546294,Genérico,Apple,Carcasa
27, Apple iPhone 7/8 Plus Tpu Premium Nillkin - Webphone ,7.99,NA,6,2,12,666,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/WEBPHONESPA,https://articulo.mercadolibre.cl/MLC-468866299-apple-iphone-78-plus-tpu-premium-nillkin-webphone-_JM,NA,NA,NA,NA,NA,#468866299,Nillkin,Apple,Carcasa
28, Carcasa Cuero Hanman Billetera iPhone 6 7 8 / Plus + Colores ,15.99,NA,45,123,12,1.332,NA,Envío a todo el país,NA,NA,4.4,5,https://perfil.mercadolibre.cl/SMARTBUYCHILE,https://articulo.mercadolibre.cl/MLC-448901342-carcasa-cuero-hanman-billetera-iphone-6-7-8-plus-colores-_JM?searchVariation=35452869692,4,0,0,1,0,#448901342,Hanman,Apple,Carcasa
29, Carcasa Tpu Militar Táctica Camuflaje iPhone X 6 7 8 Plus ,5.99,NA,5,9,12,499,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/COMERCIALIZADORA+REGALOCO,https://articulo.mercadolibre.cl/MLC-474169702-carcasa-tpu-militar-tactica-camuflaje-iphone-x-6-7-8-plus-_JM,NA,NA,NA,NA,NA,#474169702,NA,Apple,Carcasa
30, Carcasa iPhone 7/8 Plus 360° Vidrio Templado Negro Baseus ,9.99,NA,4,3,12,832,NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/BERRIAKLTDA,https://articulo.mercadolibre.cl/MLC-482951470-carcasa-iphone-78-plus-360-vidrio-templado-negro-baseus-_JM,NA,NA,NA,NA,NA,#482951470,Baseus,Apple,Carcasa
