search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del celular,Material,Marca,Modelo
1, Carcasa Case iPhone Original 6 6plus 7 8 Plus 10 X Xr Xsmax ,650,NA,1025,218,18 cuotas,36.11,NA,Entrega a acordar con el vendedor,NA,NA,4.7,41,http://perfil.mercadolibre.com.uy/GOGREEN+IMPORTACIONES,https://articulo.mercadolibre.com.uy/MLU-451751865-carcasa-case-iphone-original-6-6plus-7-8-plus-10-x-xr-xsmax-_JM,33,7,0,0,1,#451751865,Apple,Silicona,NA,NA
2, Protector Full 360 + Vidrio iPhone 8 7 6s 6 Y Plus 5 5s Se ® ,117,NA,1862,3919,18 cuotas,6.50,NA,Envío a todo el país,NA,NA,4.6,68,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-442559969-protector-full-360-vidrio-iphone-8-7-6s-6-y-plus-5-5s-se--_JM,51,12,3,0,2,#442559969,Apple,NA,NA,NA
3, Carcasa Case iPhone Original Silicona 6 7 8 6/7/8pls 10 X Xs ,449,NA,38,145,18 cuotas,24.94,NA,Envío a todo el país,NA,NA,5,4,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,https://articulo.mercadolibre.com.uy/MLU-464439097-carcasa-case-iphone-original-silicona-6-7-8-678pls-10-x-xs-_JM?searchVariation=39510407159,4,0,0,0,0,#464439097,Apple,Silicona,Apple,Todos
4, Protector Silicona Simil Original iPhone 6 7 7 Plus 8 Plus ,449,NA,49,62,18 cuotas,24.94,NA,Entrega a acordar con el vendedor,NA,NA,5,2,http://perfil.mercadolibre.com.uy/O+TEC,https://articulo.mercadolibre.com.uy/MLU-448451214-protector-silicona-simil-original-iphone-6-7-7-plus-8-plus-_JM,2,0,0,0,0,#448451214,Apple,Silicona,NA,NA
5, Protector Case iPhone Original 5 6 7 8 Plus X Xr Xs Max ,450,NA,226,474,18 cuotas,25.00,NA,Entrega a acordar con el vendedor,NA,NA,4.7,25,http://perfil.mercadolibre.com.uy/AR+IMPORT.,https://articulo.mercadolibre.com.uy/MLU-459085400-protector-case-iphone-original-5-6-7-8-plus-x-xr-xs-max-_JM,20,3,1,1,0,#459085400,Apple,Silicona,Apple,Simil original
6, Protector 360 Magnetico iPhone 6 7 7plus 8 8plus Xs Xr Xsmax ,490,NA,450,33,18 cuotas,27.22,NA,Envío a todo el país,NA,NA,2.3,3,http://perfil.mercadolibre.com.uy/TUBELUXUY,https://articulo.mercadolibre.com.uy/MLU-443922805-protector-360-magnetico-iphone-6-7-7plus-8-8plus-xs-xr-xsmax-_JM,1,0,0,0,2,#443922805,Apple,TPU,NA,NA
7, Protector Tpu Borde Alto Impacto iPhone 8 7 6 6s Plus 5s 5 ® ,150,NA,252,3792,18 cuotas,8.33,NA,Envío a todo el país,NA,NA,4.6,8,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-446712450-protector-tpu-borde-alto-impacto-iphone-8-7-6-6s-plus-5s-5--_JM?searchVariation=39312263452,6,1,1,0,0,#446712450,Apple,TPU,NA,NA
8, Protector Fino Cristal Bumper iPhone 8 7 6 6s 5 5s Se Plus ® ,190,NA,638,3926,18 cuotas,10.56,NA,Envío a todo el país,NA,NA,4.4,35,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443333988-protector-fino-cristal-bumper-iphone-8-7-6-6s-5-5s-se-plus--_JM,20,10,4,1,0,#443333988,Apple,TPU,Apple,5/SE/6s/7/8/ Plus
9, Protector Fino Simil Cuero iPhone 8 7 6s 6 Se 5s 5 Y Plus ® ,350,NA,807,3984,18 cuotas,19.44,NA,Envío a todo el país,NA,NA,4.1,26,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-443202210-protector-fino-simil-cuero-iphone-8-7-6s-6-se-5s-5-y-plus--_JM,13,7,2,3,1,#443202210,Apple,Cuero,NA,NA
10, Estuche Espejados Aluminio iPhone 8 7 6 6 Plus 5 Se ,90,NA,159,78,18 cuotas,5.00,NA,Envío a todo el país,NA,NA,4.6,5,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,https://articulo.mercadolibre.com.uy/MLU-445173371-estuche-espejados-aluminio-iphone-8-7-6-6-plus-5-se-_JM,4,0,1,0,0,#445173371,Apple,Aluminio,Iphone,Espejados
11," Protector Silicona Soft iPhone 5, 6, 7, 8/ Plus X Xr, Xs Max ",180,NA,19,81,18 cuotas,10.00,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/CELULAROUTLETMONTEVIDEO,https://articulo.mercadolibre.com.uy/MLU-464026366-protector-silicona-soft-iphone-5-6-7-8-plus-x-xr-xs-max-_JM,NA,NA,NA,NA,NA,#464026366,Samsung,Silicona,NA,NA
12, Protector Silicona Similar Original iPhone 6 7 8 X Plus Febo ,290,NA,235,4945,18 cuotas,16.11,NA,Envío a todo el país,NA,NA,4.7,15,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-451583235-protector-silicona-similar-original-iphone-6-7-8-x-plus-febo-_JM,10,5,0,0,0,#451583235,Apple,Silicona,NA,NA
13, Funda Protector Full Case iPhone 6/7/8 Plus 360 Con Vidrio ,150,NA,47,3,18 cuotas,8.33,NA,Entrega a acordar con el vendedor,NA,NA,5,4,http://perfil.mercadolibre.com.uy/AR+IMPORT.,https://articulo.mercadolibre.com.uy/MLU-457722592-funda-protector-full-case-iphone-678-plus-360-con-vidrio-_JM,4,0,0,0,0,#457722592,Apple,NA,NA,NA
