seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
GOGREEN IMPORTACIONES,http://perfil.mercadolibre.com.uy/GOGREEN+IMPORTACIONES,8,8 años vendiendo en Mercado Libre,6939,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,3987,Negativa (3),Neutral (158),Positiva (3826),"Cordón, Montevideo.",NA
TOPTECNOUY,http://perfil.mercadolibre.com.uy/TOPTECNOUY,14,14 años vendiendo en Mercado Libre,118666,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,115334,Negativa (654),Neutral (5505),Positiva (109175),"Ciudad Vieja, Montevideo.",NA
MUNDOSHOP.UY,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,11,11 meses vendiendo en Mercado Libre,1622,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,801,Negativa (5),Neutral (13),Positiva (783),"La Comercial, Montevideo.",NA
O TEC,http://perfil.mercadolibre.com.uy/O+TEC,5,5 años vendiendo en Mercado Libre,13071,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,8787,Negativa (2),Neutral (100),Positiva (8685),"Tres Cruces, Montevideo.",NA
AR IMPORT.,http://perfil.mercadolibre.com.uy/AR+IMPORT.,2,2 años vendiendo en Mercado Libre,2366,NA,NA,NA,1547,Negativa (4),Neutral (21),Positiva (1522),"Ciudad Vieja, Montevideo.",NA
TUBELUXUY,http://perfil.mercadolibre.com.uy/TUBELUXUY,14,14 años vendiendo en Mercado Libre,42303,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,41328,Negativa (317),Neutral (2604),Positiva (38407),"Aguada, Montevideo.",NA
PRO ACCESORIOSUY,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,3,3 años vendiendo en Mercado Libre,11771,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,7247,Negativa (3),Neutral (59),Positiva (7185),"Centro, Montevideo.",NA
CELULAROUTLETMONTEVIDEO,http://perfil.mercadolibre.com.uy/CELULAROUTLETMONTEVIDEO,10,10 meses vendiendo en Mercado Libre,317,NA,NA,NA,170,Negativa (1),Neutral (5),Positiva (164),"Cordón, Montevideo.",NA
TECNOCELL.UY,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,3,3 años vendiendo en Mercado Libre,17109,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,9691,Negativa (111),Neutral (411),Positiva (9169),"Centro, Montevideo.",NA
FEBOUY,http://perfil.mercadolibre.com.uy/FEBOUY,12,12 años vendiendo en Mercado Libre,80563,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,54296,Negativa (131),Neutral (1319),Positiva (52846),"Centro, Montevideo.",NA
FREE_BUY_2633,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,18,18 años vendiendo en Mercado Libre,4344,NA,NA,NA,4375,Negativa (0),Neutral (115),Positiva (4260),"Reducto, Montevideo.",NA
MEGACASEUY,http://perfil.mercadolibre.com.uy/MEGACASEUY,2,2 años vendiendo en Mercado Libre,4077,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1794,Negativa (7),Neutral (41),Positiva (1746),"Parque Batlle, Montevideo.",NA
PRO-ACCESORIOS-Y-CELULARES,http://perfil.mercadolibre.com.uy/PRO-ACCESORIOS-Y-CELULARES,NA,NA,NA,NA,NA,NA,1553,Negativa (42),Neutral (114),Positiva (1397),"La Comercial, Montevideo.",NA
CLICSHOPURUGUAY,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,7,7 años vendiendo en Mercado Libre,8715,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,5297,Negativa (23),Neutral (92),Positiva (5182),"Tres Cruces, Montevideo.",NA
PANTAYAUY,http://perfil.mercadolibre.com.uy/PANTAYAUY,7,7 años vendiendo en Mercado Libre,6157,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,2813,Negativa (11),Neutral (85),Positiva (2717),"Tres Cruces, Montevideo.",NA
VIKEI SA,http://perfil.mercadolibre.com.uy/VIKEI+SA,4,4 años vendiendo en Mercado Libre,410,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,209,Negativa (0),Neutral (1),Positiva (208),"Aguada, Montevideo.",NA
GOFIXUY,http://perfil.mercadolibre.com.uy/GOFIXUY,4,4 años vendiendo en Mercado Libre,241,NA,NA,NA,193,Negativa (1),Neutral (1),Positiva (191),"Centro, Montevideo.",NA
69 CASES,http://perfil.mercadolibre.com.uy/69+CASES,10,10 años vendiendo en Mercado Libre,9473,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,5926,Negativa (87),Neutral (235),Positiva (5604),"Cordón, Montevideo.",NA
LIDERTEK SRL,http://perfil.mercadolibre.com.uy/LIDERTEK+SRL,7,7 años vendiendo en Mercado Libre,17064,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,12093,Negativa (29),Neutral (380),Positiva (11684),"Centro, Montevideo.",NA
I..STORE,http://perfil.mercadolibre.com.uy/I..STORE,4,4 años vendiendo en Mercado Libre,200,NA,NA,NA,188,Negativa (7),Neutral (9),Positiva (172),"Mercedes, Soriano.",NA
HERMESSTORE,http://perfil.mercadolibre.com.uy/HERMESSTORE,1,1 año vendiendo en Mercado Libre,2093,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,1137,Negativa (10),Neutral (64),Positiva (1063),"Ciudad Vieja, Montevideo.",NA
ACHO84,http://perfil.mercadolibre.com.uy/ACHO84,12,12 años vendiendo en Mercado Libre,116,NA,NA,NA,301,Negativa (3),Neutral (47),Positiva (251),"Centro, Montevideo.",NA
DIGINET URUGUAY,http://perfil.mercadolibre.com.uy/DIGINET+URUGUAY,3,3 años vendiendo en Mercado Libre,9267,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,5659,Negativa (6),Neutral (110),Positiva (5543),"Centro, Montevideo.",NA
APPLE.BLUE,http://perfil.mercadolibre.com.uy/APPLE.BLUE,1,1 año vendiendo en Mercado Libre,220,NA,NA,NA,157,Negativa (3),Neutral (1),Positiva (153),"Pocitos, Montevideo.",NA
DIMARTUY,http://perfil.mercadolibre.com.uy/DIMARTUY,3,3 años vendiendo en Mercado Libre,1337,NA,NA,NA,901,Negativa (4),Neutral (24),Positiva (873),"San Carlos, Maldonado.",NA
SPWA738479,http://perfil.mercadolibre.com.uy/SPWA738479,5,5 años vendiendo en Mercado Libre,11,NA,NA,NA,8,Negativa (0),Neutral (0),Positiva (8),"Montes de Solymar, Canelones.",NA
KING-SALE,http://perfil.mercadolibre.com.uy/KING-SALE,11,11 años vendiendo en Mercado Libre,11476,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,6076,Negativa (7),Neutral (158),Positiva (5911),"Centro, Montevideo.",NA
VENTAUY,http://perfil.mercadolibre.com.uy/VENTAUY,14,14 años vendiendo en Mercado Libre,7624,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,6618,Negativa (52),Neutral (438),Positiva (6128),"Brazo Oriental, Montevideo.",NA
