search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca del Celular,Modelo del Celular,Marca de la Funda,Modelo de la Funda,Material,Fabricante,Tipo de funda
1, Funda iPhone Airbag Transparente 5|6|7|8|plus|x|xr|xs|max Y Mas ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6069
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 939
		
		 sin intereses
		
	

	
		",39,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,269,https://perfil.mercadolibre.com.mx/BROXYMEXICO,https://articulo.mercadolibre.com.mx/MLM-582143415-funda-iphone-airbag-transparente-5678plusxxrxsmax-y-mas-_JM?searchVariation=17472366030#position=1&type=item&tracking_id=8f526d11-2771-4848-9f3e-2a2084ef370f,233,26,4,2,4,#582143415,Apple,iPhone,BMX,iPhone XS MAX | XR | XS | X | PLUS | 8 | 7 | 6 | SE | 5,TPU,BMX,NA
2, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1306
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 939
		
		 sin intereses
		
	

	
		",39,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,49,https://perfil.mercadolibre.com.mx/BROXYMEXICO,https://articulo.mercadolibre.com.mx/MLM-609084509-funda-rigida-transparente-iphone-5678plusxxsxrxs-max-_JM?searchVariation=22511225405#position=2&type=item&tracking_id=8f526d11-2771-4848-9f3e-2a2084ef370f,47,1,1,0,0,#609084509,Apple,iPhone,BMX,iPhone XS MAX | XR | XS | X | PLUS | 8 | 7 | 6 | SE | 5,TPU/Policarbonato,BMX,NA
3, Protector Funda Case Uso Rudo iPhone 5 6 7 8 X Xs Xr Xs Max ,250,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1987
				vendidos
			
		",(218 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1389
		
		 sin intereses
		
	

	
		",89,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,66,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-653278098-protector-funda-case-uso-rudo-iphone-5-6-7-8-x-xs-xr-xs-max-_JM?searchVariation=30591645308#position=3&type=item&tracking_id=8f526d11-2771-4848-9f3e-2a2084ef370f,50,11,3,1,1,#653278098,iPhone,iPhone 5 5s se 6 6s 7 8 PLUS X XR Xs MAX,OEM,Oem,Plástico,OEM,uso rudo
4, Funda Protector Slim Lujo iPhone 6 6s 7 8 Plus X Xs ,219,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2067
				vendidos
			
		",(81 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1217
		
		 sin intereses
		
	

	
		",17,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,70,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-618319522-funda-ultra-slim-silicon-iphone-6-7-8-plus-x-xr-xs-max-_JM?searchVariation=32254069859#position=4&type=item&tracking_id=8f526d11-2771-4848-9f3e-2a2084ef370f,51,13,4,0,2,#618319522,Apple,iPhone,Apple,Apple,Silicona,Apple,Protector
5, Protector Funda iPhone 7 8 7 Plus 8 Plus X Xs Nuevo Uso Rudo ,250,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1969
				vendidos
			
		",(120 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1389
		
		 sin intereses
		
	

	
		",89,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,57,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-637771698-protector-funda-iphone-7-8-7-plus-8-plus-x-xs-nuevo-uso-rudo-_JM?searchVariation=26411510022#position=5&type=item&tracking_id=8f526d11-2771-4848-9f3e-2a2084ef370f,44,9,2,1,1,#637771698,Apple,iPhone 5 5s se 6 6s 7 8 PLUS X XR Xs MAX,RAMEER,2018,Plástico,OEM,USO RUDO
6, Funda Ultra Slim Transparente iPhone 6 7 8 Plus X Max +mica ,269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2607
				vendidos
			
		",(61 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1494
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,86,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623748083-funda-tipo-piel-leather-case-iphone-6-7-8-plus-x-max-xr-mic-_JM?searchVariation=32254170130#position=6&type=item&tracking_id=8f526d11-2771-4848-9f3e-2a2084ef370f,75,9,2,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,TPU,NA,Protector
7, Funda Ultra Slim Silicon iPhone 6 7 8 | Plus X Xr Xs Max ,219,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1224
				vendidos
			
		",(141 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1217
		
		 sin intereses
		
	

	
		",17,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,43,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-623749350-mica-funda-contra-golpes-iphone-6-7-8-plus-x-xs-max-xr-_JM?searchVariation=32254235791#position=7&type=item&tracking_id=8f526d11-2771-4848-9f3e-2a2084ef370f,37,3,2,0,1,#623749350,Apple,iPhone,NA,Slim Contra Golpes,TPU,Apple,Protector
8, Funda Tipo Piel Leather Case iPhone 6 7 8 Plus X Max Xr +mic ,219,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2067
				vendidos
			
		",(369 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1217
		
		 sin intereses
		
	

	
		",17,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,70,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=m8lbzXs1bUjfvuDr0Ce4rSMzCb4j7vTUsKa2owHemRYdwl%2BhSPXFplwBVoii3NXqt11cxmYfJ%2FKEYFOIlIuUPXR8JJNbX0wJV5v7z3qRq57i4eH3lx8UFHAHzgAGSRedn9oiN1VrAPbjOQ4V2YSe8F9GGWuBSxieKCfpIcwb4dk6NVL8LDDEYFRzSIH8oxNkyFa62HF2HEvjTB5OyL0cqgf6WqlXTVIV3ZQZc02ikoJmYnoUe29NnMT0ppEjr6pobv9nVOjHd%2BFijzf1xga7KMP%2BdYI92O9mpcdKwW2yJE%2BceeFO7Fp96os3ABySrjCOYBDzPmXManCHOoZZq7p6Iph8POqlFfUqdnl3xdrZdbq%2FcsP%2B4e6nIq%2FyCeVKE1xtRwIrm4wxsw3acwZHQUBOPQD95iPWrS2Ky4OsYHh6hhR4gZh35I7Xtw9Lt0YfK8GSsPAX6EWAv8HC221uO5KVrpr6yb8NvPjMhHyY1CFA9xuQjxB7UV2Uorg9AoMxVbalGfUVzMrUOFI0Cu7LHnj6vfSf4O%2FxjAiMbqPO%2B45UdnxCrDOvySedmOkCoyKcW7FIbIyMMw3GDnUAHthxJ5zGyN4NDL2IyjUp9pZ055ouPTrTj%2Fj6x1RdehMoRq85LjrbvOEx94cWcvfsUS8P4xwKU3GnelIyDFPgxiE%2F%2F4Dc%2FRtkVbg07bD%2F%2FfuILcpSCrWGpxh%2BhCEQhB0lwaqV7Vh4%2FlBdmjCKAnNPLPSuc4cbu%2FPNUTHGE4i12A6MFY8wvqIlLHPKBtaoQ1Eyx%2BQ8eFQkHMSUfYYsBXspE9nULkH%2FvbvJfC4CsF2cDUhRQMj3g5sBxvytmIfraKzgGjmCktysFYNVtNm3hrRjIjyUaDJj4GvepXsMb3OVkQuFpiXleiWNWgJmfOpzx4qhtt0W52GRJAMIb15mDDwAxD4VKeZCYQNmDtObBH4AiVPURzA3v2%2BBiQ%2BvFyJhFFzSFZCYF%2BC1a7QSlWlNieQ0RrAt4hJSVRajKI8x67ov2u%2FxICg2fl3yTb6bwMDQ%2Biv6fKQ8X1OGp9u5BErif6q9PT%2Bd1EtPyd9WhGFGPCABgxgXolmjqFh6VuZhnUZgRhKKOjLRKIaS8gLn%2F5nTuWE79sBo%2B5jKPKbFbUF4x5I%2Fkk5K5io3EvNv5bD7PvfNqCcawQsgnD0n5%2ByG9CGPdXLufHhhNuIXtscW24XCU3yjnbARyOZdHr6jGJptj4ylLSeLDE1Cm%2BtdvRFjEnoNVNXJ8qOHYV76D6YpyA8IRMpJ2%2F6r5eCkaSKG7HWdaNiSo3zFo3q0nlAFUZsowAiK%2Fw4tRQdms7o5kk0iAZzg84V38XuDEhZRJxcr%2Fmu9JieFOFjtaXOB2WwOClrS8qcm3h61i0DiNOHgsF6GgM0Yo%2FtWSxxqoMzJD0n85VsqQZWGAFucn3NLMjoL9HO2%2BPEKqv%2FsgxDq5UtnBXBetAuMsrdx8n%2BZZxmvYaBFWQzh%2F03DtoR1txwlDkyGkS1SENde5IEVSQZ8xFQ6CcrWFdZw3XWXKVWaE0Ft1PJT1KgowPCsmrM4Au3FtEgrv6B8nAf8g0XGgYeANf5BaJZtu3m7dc6MBNYX%2BUyrnej6Xg2UOwn7%2BQNDwEv5LNAPEjNP9Y%2FAE4amKa2g6IGkQt6O8AQX8P1oGhGoZ1J5wzIMJShPgICijVxgl%2FJZMHH%2F6DcbbYh8ymh8kjofkRQJlVui4lKrWbSLtuGKOClsA9m09NQRJxTsGUqfsg6wpWE25GdjYXCo7gT6nMu3fCFIjQLmVzPsAMh%2Bfi1m4R1pq11EnDl%2BqZJOVih3VXc%2BR0%2BBXHb9KuhWwjMQCdpR%2FxrTpmh24ZGDoil49tWaJbbsJODLN%2FovWcjn44RroAS8,51,13,4,0,2,#618319522,Apple,iPhone,Apple,Apple,Silicona,Apple,Protector
9, Funda Rigida Transparente iPhone 5|6|7|8|plus|x|xs|xr|xsmax ,179,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1213
				vendidos
			
		",(54 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 994
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,37,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-670962507-funda-protector-slim-lujo-iphone-6-6s-7-8-plus-x-xs-_JM?searchVariation=34293895112#position=9&type=item&tracking_id=8f526d11-2771-4848-9f3e-2a2084ef370f,30,5,2,0,0,#670962507,Apple,iPhone,Auto Focus,Auto Focus,Acrílico,NA,Protector
10, Funda Lujo Cromo 3 En 1 iPhone X 8 7 6 Plus 6s 5 Se ,203,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1257
				vendidos
			
		",(13 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1132
		
		 sin intereses
		
	

	
		",32,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,40,https://perfil.mercadolibre.com.mx/CELLKING21,https://articulo.mercadolibre.com.mx/MLM-671538364-silicon-case-protector-iphone-varios-colores-y-modelos-_JM?searchVariation=34395449966#position=10&type=item&tracking_id=8f526d11-2771-4848-9f3e-2a2084ef370f,34,6,0,0,0,#671538364,Apple iPhone,iphone 6 / 6 plus / 6S/ 6S plus / 7 / 7 plus / 8 / 8 plus / X / XS / XR / XS MAX,Apple,Silicon Case,Silicone / microfibra interior,NA,Liquid silicone
11," Protector Case 360 Uso Rudo Para iPhone Xs Max, Xr,x,7,8, Plus 5 / 5s ",249,NA,"
			
				Nuevo
			
			
				
					 - 
				
				586
				vendidos
			
		",(59 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1383
		
		 sin intereses
		
	

	
		",83,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,13,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-667132542-mica-funda-protector-2n1-iphone-6-7-8-plus-x-xs-max-xr-_JM?searchVariation=33590590371#position=11&type=item&tracking_id=8f526d11-2771-4848-9f3e-2a2084ef370f,9,3,0,1,0,#667132542,iPhone,6 6s 7 8 Plus X Xs Max Xr,NA,2n1,Silicon,NA,2n1
12, Funda Magnética De Metal Con Vidrio 9h iPhone Y Samsung ,199,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4774
				vendidos
			
		",(29 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1106
		
		 sin intereses
		
	

	
		",06,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,296,https://perfil.mercadolibre.com.mx/ROBERT+CG8,https://articulo.mercadolibre.com.mx/MLM-567216493-protector-funda-360-iphone-5-6-6-plus-7-7-plus-8-8-plus-y-x-_JM?searchVariation=21340038287#position=12&type=item&tracking_id=8f526d11-2771-4848-9f3e-2a2084ef370f,189,54,34,11,8,#567216493,Apple iphone,IPHONE 5 5s SE 6 6s 7 8 X Xs XR Xs max PLUS,360 oem,360 total,Acrílico,OEM,360
13, Funda Otterbox Survivor iPhone 6 7 8 Plus X Xs Max Uso Rudo ,329,NA,"
			
				Nuevo
			
			
				
					 - 
				
				938
				vendidos
			
		",(112 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 3250
		
		 sin intereses
		
	

	
		",50,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,37,https://perfil.mercadolibre.com.mx/TEKKNOSHOP,https://articulo.mercadolibre.com.mx/MLM-637625676-funda-otterbox-survivor-iphone-6-7-8-plus-x-xs-max-uso-rudo-_JM?searchVariation=28680049625#position=13&type=item&tracking_id=8f526d11-2771-4848-9f3e-2a2084ef370f,32,5,0,0,0,#637625676,Apple,iPhone,OtterBox,Survivor,Plástico,OtterBox,Uso Rudo
14, Funda Protector Slim Lujo iPhone 6 6s 7 8 Plus X Xs ,269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2607
				vendidos
			
		",(61 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1494
		
		 sin intereses
		
	

	
		",94,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,86,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=cWzmj47TvDSfvUvL3b7uCuUsJpNPT5zJ26%2B8ddCSC6QQVmNcIo6dMg0bNiNji8U%2FYaBddKOH67nPADAJFh6JIlHBXGJUipNpkdgUkwx9W0oikZJmAJyWz%2BtoC%2Ber5pHpIgGvw9JPalxdz2YAcDVsiBOwkkHShr1%2FvePnOZBtw7%2BiStF8HtSaOjtmuCEZofr%2BFow9Y%2F95GG%2BO3huCOkHvMTmj7cROzEJHqi4JeQbvSX%2B3KvyYVKBUoOPw6ogLA2DHE8kGRq42WDSdzpyjP3qB6ff6%2BHH%2FhmGyN5EslM%2FHQbyAgxOjIOdSbFl8H7%2FOue8%2FqP7NPAbwW8sO0JDa6IwDipZEYV5Q74yZJsxWIfFDmANGmz77DXu4THCqHa4Y%2Bb88cni3RYNyFGo2DUjzFmAlMLNi6zCGNTSvKUhIy7vjNtEOuh93d4nNvTFrPZ%2FU3aqpS0tFIi1K07Cwsw4U2LfTcTCG24v32VR3ni1tYz23%2BNn4GcMGCYFgIywz8Wk1j8LhBLfeLFW6z3oNNbqDQA8kp2bC3ocoaotK2VF1FPDV7nxfe2TL7RpEBReWuNvBK%2BlRbystE5YHyYI7SZx731lxQeCjzgsCTxB4pqAfbqV4oycGeB0mGZ9Hnfgtpmmydaxov4va59%2BLFVpgm54WoTvoyY5fMdHbKSQcQe6dQt2%2FME7DF6FElORUNw6cxx7Z4sLelx%2Bl5207eMEwZP%2Fcw2bszdW8vQ%2Bpoxs19Q28Y%2B9EiR4PBOyB2N4YpQyX1qbH0d14%2BWrJXfChVsupKiF5GCy0nhY0v9ZKUUzfavGxz2f5E3sdrbQJudeVyJdYqwz7suOiE4YUUR5xbSWW0jIN1ZzksSkMTepfZOompakIwGSbm6aQIwo8XIMAbkt7v%2BpZkeULjKMjS%2BrOFGRWscHME6Wm0KEiz%2BVYFoa9dH8Tjv%2B93UMMIKA3TiOfDhcECC4SLt8AjkKkTfMAmXjv5GKqCvcLaiy9mz3d6%2B%2FtLBCHy3dq3GeYoxSF5nS2XmM6ItEWfPrkqmsGRB9lv1ohRzBU72KJdlX%2F%2FS3DoormPaKpT4hHO%2BR2PDsyh62DiCKEj1MTO%2Buqd5GQDO4SeOybt2LboZ%2B1IHvIWBm8epiTvmGSt4PuBAYzm6PQNLu8x7Yc1VakRChLBldMiViBruN6xTGFP7rnvYauWEakOSIOpJAu9SadIbvkJpnsxlGHK8WFglwIs5x8tqj5FPzsblcgsG4YVD6OmDdaeeliUvlLfV271UC0E%2BrD%2B6xZ%2F9Gu%2FPXO8MQp1lTOMQpJcZWp%2Bd0EBthzDwQPnv4YkMb2VYRPY4Cz6qYGA0vWSg5pjRPxa0u0auVn337z4wB13E0AHQhgsCxtD6QsNn8MpYszCjjNvh7KYlQSLDUdu70tsff%2FzJNAfxD2KRno%2FIT9hgzqhpdBG7o0X1uGMTaBTC6bNvqgXlGLb0KHKJroaVeWZqjvkwwHvxnDyrnH7g7VQAG9jgEoaCze2MyKRzsvTc0byvftJ9QI5m3ovr0hATkgB31vjRMRP8TmnDoswLvnmoDlfnfdTfpfvTERgHwp%2F%2Bdqyj4lN%2FXcUeJJvo4JV7Mai1xOqO9cV%2FSb59Pppf%2B1%2FMCvez57ZScxTqVRKRO4hvW%2BSuVcN4jxP7Nvi3JxOodkpiNhpAVjUfL23o%2FZ%2FBF7JQUhn44%2BGuJzP3xzIXg8G4DcwNSRTAcky%2BoDXOMaqiXUm6uwq3Pk8vaq3E2ifJE4c64wjHGubHwNcw4XKo%2B9xV%2FWaUvD5bfXIPl67rXz%2Fodu6V%2BisIcJmc1jt3tib2QEmxvK14Bi8XfWRriH0nctJDFeJHe1IiB3jLzoUXeeeTo3Kem2pugxDTqULnf5QMLtbbDIfZEupSMoqbih1sHMVg%3D%3D,75,9,2,0,0,#623748083,Apple,6 6s 6 plus 6s plus 7 7 plus 8 8 plus X Xs Xs max Xr,Mikki,Business Leather,TPU,NA,Protector
15, Funda Rigida Transparente iPhone 5|6|7|8|plus|x|xs|xr|xs Max ,239,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1387
				vendidos
			
		",(47 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1328
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,39,https://perfil.mercadolibre.com.mx/LH+ACCESORIOS,https://articulo.mercadolibre.com.mx/MLM-651098477-funda-ultra-slim-transparente-iphone-6-7-8-plus-x-max-mica-_JM?searchVariation=32254386866#position=15&type=item&tracking_id=8f526d11-2771-4848-9f3e-2a2084ef370f,26,7,1,1,4,#651098477,Apple,6 6s 7 8 Plus X Xs Max Xr,Gurio,Ultra Thin,TPU,Apple,Protector
