seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
MALE2382936,https://perfil.mercadolivre.com.br/MALE2382936,7,meses,1646,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,80,2,3,75,"São Paulo, São Paulo.",meses,4
GLOBALELETRONICOSEIRELI,https://perfil.mercadolivre.com.br/GLOBALELETRONICOSEIRELI,8,meses,3353,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,227,21,8,198,"São Paulo, São Paulo.",meses,4
JK-CAPAS EXPRESSO,https://perfil.mercadolivre.com.br/JK-CAPAS+EXPRESSO,5,meses,7929,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,785,9,21,755,"São Paulo, São Paulo.",meses,4
MAITE_26,https://perfil.mercadolivre.com.br/MAITE_26,5,meses,377,NA,Presta um bom atendimento,Entrega os produtos com atraso,41,1,2,38,"São Paulo, São Paulo.",meses,4
CIBRATEL PARTS,https://perfil.mercadolivre.com.br/CIBRATEL+PARTS,7,meses,1481,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,143,5,5,133,"Itapevi, São Paulo.",meses,4
KARMINPARTS2003,https://perfil.mercadolivre.com.br/KARMINPARTS2003,16,anos,2118,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,228,7,3,218,"Itapetininga, São Paulo.",meses,4
BULIERMODASACESSORIOS,https://perfil.mercadolivre.com.br/BULIERMODASACESSORIOS,5,anos,3278,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,197,12,10,175,"Rio de Janeiro, Rio de Janeiro.",meses,4
BOX-1001,https://perfil.mercadolivre.com.br/BOX-1001,4,anos,649,MercadoLíderÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,53,1,0,52,"Belford Roxo, Rio de Janeiro.",meses,4
JKCAPAS,https://perfil.mercadolivre.com.br/JKCAPAS,4,anos,3344,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,254,6,5,243,"São Paulo, São Paulo.",meses,4
ZETSTORE,https://perfil.mercadolivre.com.br/ZETSTORE,4,anos,195,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,11,0,0,11,"São Paulo, São Paulo.",meses,4
