seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
PASAJECENTRALSAC,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,1,año,1365,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,796,0,2,794,"Lima, Lima.",NA,NA
JAPIMPORTA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,7,años,1785,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1096,3,34,1059,"Lima, Lima.",NA,NA
GLOBAL CELS,http://perfil.mercadolibre.com.pe/GLOBAL+CELS,6,años,2446,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1406,5,42,1359,"Lima, Lima.",NA,NA
CASEMOTIONS.PE,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,4,años,4517,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2687,0,12,2675,"Lima, Lima.",NA,NA
CSHOP1,http://perfil.mercadolibre.com.pe/CSHOP1,12,años,655,NA,NA,NA,419,0,3,416,"Lima, Lima.",NA,NA
HAPPYSHOPVENTAS,http://perfil.mercadolibre.com.pe/HAPPYSHOPVENTAS,4,años,1502,NA,NA,NA,618,11,39,568,"Lima, Lima.",NA,NA
GHINEXS,http://perfil.mercadolibre.com.pe/GHINEXS,7,años,12,NA,NA,NA,37,1,8,28,"Lima, Lima.",NA,NA
RODRI STORE01,http://perfil.mercadolibre.com.pe/RODRI+STORE01,1,año,464,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,228,0,1,227,"Lima, Lima.",NA,NA
MALUPHONE,http://perfil.mercadolibre.com.pe/MALUPHONE,3,años,864,NA,NA,NA,587,1,2,584,"Lima, Lima.",NA,NA
TIENDAEXPRESS.PE,http://perfil.mercadolibre.com.pe/TIENDAEXPRESS.PE,2,años,651,NA,NA,NA,383,0,0,383,"Lima, Lima.",NA,NA
NEGOCIOS DANTE1920,http://perfil.mercadolibre.com.pe/NEGOCIOS+DANTE1920,1,año,226,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,123,0,2,121,"Lima, Lima.",NA,NA
ALBERTOPP75,http://perfil.mercadolibre.com.pe/ALBERTOPP75,10,años,539,NA,NA,NA,312,2,9,301,"Piura, Piura.",NA,NA
ZONAMOVILPERU1,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,1,año,694,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,455,2,8,445,"Lima, Lima.",NA,NA
SERGIOAMARANTOPEREA,http://perfil.mercadolibre.com.pe/SERGIOAMARANTOPEREA,5,años,22,NA,NA,NA,9,0,2,7,"Lima, Lima.",NA,NA
MVH STORE,http://perfil.mercadolibre.com.pe/MVH+STORE,2,años,406,NA,NA,NA,183,4,7,172,"Lima, Lima.",NA,NA
MERKA.G,http://perfil.mercadolibre.com.pe/MERKA.G,2,años,655,NA,NA,NA,446,0,2,444,"Lima, Lima.",NA,NA
DASTORE PERU,http://perfil.mercadolibre.com.pe/DASTORE+PERU,9,años,115,NA,NA,NA,74,0,10,64,"Lima, Lima.",NA,NA
ASMOBILEACCESORIES,http://perfil.mercadolibre.com.pe/ASMOBILEACCESORIES,3,años,912,NA,NA,NA,495,1,16,478,"Lima, Lima.",NA,NA
BTPERU_VENTAS,http://perfil.mercadolibre.com.pe/BTPERU_VENTAS,13,años,16932,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,23209,361,3511,19337,"Lima, Lima.",NA,NA
ORQUIDEA2,http://perfil.mercadolibre.com.pe/ORQUIDEA2,8,meses,6,NA,NA,NA,3,0,0,3,"Lima, Lima.",NA,NA
YAJOMATECH,http://perfil.mercadolibre.com.pe/YAJOMATECH,3,años,313,NA,NA,NA,165,0,4,161,"Lima, Lima.",NA,NA
AZTILEYRODRIGUEZ,http://perfil.mercadolibre.com.pe/AZTILEYRODRIGUEZ,11,meses,21,NA,NA,NA,18,0,0,18,"Lima, Lima.",NA,NA
REVOLUTION.STAR,http://perfil.mercadolibre.com.pe/REVOLUTION.STAR,4,años,392,NA,NA,NA,267,3,15,249,"Lima, Lima.",NA,NA
MOBITECH.PE,http://perfil.mercadolibre.com.pe/MOBITECH.PE,5,años,335,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,251,4,8,239,"Lima, Lima.",NA,NA
SABO520433,http://perfil.mercadolibre.com.pe/SABO520433,2,años,124,NA,NA,NA,94,0,5,89,"Lima, Lima.",NA,NA
HAROLD25X,http://perfil.mercadolibre.com.pe/HAROLD25X,1,año,55,NA,NA,NA,36,1,0,35,"Lima, Lima.",NA,NA
MAOMATACASTILLO,http://perfil.mercadolibre.com.pe/MAOMATACASTILLO,6,años,220,NA,NA,NA,101,2,7,92,"Lima, Lima.",NA,NA
TEVEN255,http://perfil.mercadolibre.com.pe/TEVEN255,4,años,850,NA,NA,NA,525,1,6,518,"Lima, Lima.",NA,NA
DETALLESMYAPE,http://perfil.mercadolibre.com.pe/DETALLESMYAPE,6,años,1808,NA,NA,NA,552,7,42,503,"Lima, Lima.",NA,NA
MACMELLOWMIRAFLORES,http://perfil.mercadolibre.com.pe/MACMELLOWMIRAFLORES,8,años,1331,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1590,48,228,1314,"Lima, Lima.",NA,NA
SIRENAPERU,http://perfil.mercadolibre.com.pe/SIRENAPERU,3,años,33,NA,NA,NA,22,0,0,22,"Lima, Lima.",NA,NA
JARRIETAA,http://perfil.mercadolibre.com.pe/JARRIETAA,7,años,166,NA,NA,NA,140,1,5,134,"Lima, Lima.",NA,NA
EL TALLER.DE.CHARLY,http://perfil.mercadolibre.com.pe/EL+TALLER.DE.CHARLY,1,año,71,NA,NA,NA,64,0,3,61,"Lima, Lima.",NA,NA
