seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
GOGREEN IMPORTACIONES,http://perfil.mercadolibre.com.uy/GOGREEN+IMPORTACIONES,8,años,6982,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,4040,3,158,3879,"Cordón, Montevideo.",NA,NA
TOPTECNOUY,http://perfil.mercadolibre.com.uy/TOPTECNOUY,14,años,118692,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,115788,653,5516,109619,"Ciudad Vieja, Montevideo.",NA,NA
MUNDOSHOP.UY,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,11,meses,1787,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,881,5,14,862,"La Comercial, Montevideo.",NA,NA
O TEC,http://perfil.mercadolibre.com.uy/O+TEC,5,años,13211,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,8960,2,101,8857,"Tres Cruces, Montevideo.",NA,NA
TUBELUXUY,http://perfil.mercadolibre.com.uy/TUBELUXUY,14,años,41311,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,41445,321,2608,38516,"Aguada, Montevideo.",NA,NA
AR IMPORT.,http://perfil.mercadolibre.com.uy/AR+IMPORT.,2,años,2411,NA,NA,NA,1558,4,22,1532,"Ciudad Vieja, Montevideo.",NA,NA
CELULAROUTLETMONTEVIDEO,http://perfil.mercadolibre.com.uy/CELULAROUTLETMONTEVIDEO,10,meses,366,NA,NA,NA,193,1,5,187,"Cordón, Montevideo.",NA,NA
PRO ACCESORIOSUY,http://perfil.mercadolibre.com.uy/PRO+ACCESORIOSUY,3,años,11879,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,7297,4,59,7234,"Centro, Montevideo.",NA,NA
FEBOUY,http://perfil.mercadolibre.com.uy/FEBOUY,12,años,80997,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,54639,115,1339,53185,"Centro, Montevideo.",NA,NA
PRO-ACCESORIOS-Y-CELULARES,http://perfil.mercadolibre.com.uy/PRO-ACCESORIOS-Y-CELULARES,NA,NA,NA,NA,NA,NA,1557,42,115,1400,"La Comercial, Montevideo.",NA,NA
CLICSHOPURUGUAY,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,7,años,9116,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,5503,23,94,5386,"Tres Cruces, Montevideo.",NA,NA
MEGACASEUY,http://perfil.mercadolibre.com.uy/MEGACASEUY,2,años,4130,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1812,7,41,1764,"Parque Batlle, Montevideo.",NA,NA
PANTAYAUY,http://perfil.mercadolibre.com.uy/PANTAYAUY,7,años,6192,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,2821,11,85,2725,"Tres Cruces, Montevideo.",NA,NA
VIKEI SA,http://perfil.mercadolibre.com.uy/VIKEI+SA,4,años,434,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,224,0,2,222,"Aguada, Montevideo.",NA,NA
GOFIXUY,http://perfil.mercadolibre.com.uy/GOFIXUY,4,años,242,NA,NA,NA,194,1,1,192,"Centro, Montevideo.",NA,NA
69 CASES,http://perfil.mercadolibre.com.uy/69+CASES,11,años,9561,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,6001,87,237,5677,"Cordón, Montevideo.",NA,NA
VENTAUY,http://perfil.mercadolibre.com.uy/VENTAUY,14,años,7660,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,6651,52,438,6161,"Brazo Oriental, Montevideo.",NA,NA
TECNOCELL.UY,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,3,años,17483,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,9925,116,398,9411,"Centro, Montevideo.",NA,NA
LIDERTEK SRL,http://perfil.mercadolibre.com.uy/LIDERTEK+SRL,7,años,17106,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,12173,28,381,11764,"Centro, Montevideo.",NA,NA
I..STORE,http://perfil.mercadolibre.com.uy/I..STORE,4,años,205,NA,NA,NA,193,7,9,177,"Mercedes, Soriano.",NA,NA
INFORAMA10,http://perfil.mercadolibre.com.uy/INFORAMA10,10,años,424,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,360,3,7,350,"Otras, Montevideo.",NA,NA
HERMESSTORE,http://perfil.mercadolibre.com.uy/HERMESSTORE,1,año,2151,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,1191,11,70,1110,"Ciudad Vieja, Montevideo.",NA,NA
ACHO84,http://perfil.mercadolibre.com.uy/ACHO84,12,años,114,NA,NA,NA,301,3,47,251,"Centro, Montevideo.",NA,NA
DIGINET URUGUAY,http://perfil.mercadolibre.com.uy/DIGINET+URUGUAY,3,años,9398,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,5744,6,110,5628,"Centro, Montevideo.",NA,NA
SPWA738479,http://perfil.mercadolibre.com.uy/SPWA738479,5,años,11,NA,NA,NA,8,0,0,8,"Montes de Solymar, Canelones.",NA,NA
APPLE.BLUE,http://perfil.mercadolibre.com.uy/APPLE.BLUE,1,año,222,NA,NA,NA,157,3,1,153,"Pocitos, Montevideo.",NA,NA
M.G.M.R,http://perfil.mercadolibre.com.uy/M.G.M.R,3,años,208,NA,NA,NA,117,0,5,112,"Pocitos, Montevideo.",NA,NA
KING-SALE,http://perfil.mercadolibre.com.uy/KING-SALE,11,años,11488,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,6105,6,158,5941,"Centro, Montevideo.",NA,NA
BIGU572033,http://perfil.mercadolibre.com.uy/BIGU572033,NA,NA,NA,NA,NA,NA,60,5,0,55,"Parque del Plata, Canelones.",NA,NA
ALEXISDAMIAN2008,http://perfil.mercadolibre.com.uy/ALEXISDAMIAN2008,10,años,1051,NA,NA,NA,799,0,12,787,"Tres Cruces, Montevideo.",NA,NA
GABRIELAGUILAR122,http://perfil.mercadolibre.com.uy/GABRIELAGUILAR122,6,años,123,NA,NA,NA,147,0,1,146,"Buceo, Montevideo.",NA,NA
IZMA1385013,http://perfil.mercadolibre.com.uy/IZMA1385013,4,años,151,NA,NA,NA,101,1,1,99,"La Comercial, Montevideo.",NA,NA
SCREEN-CASES,http://perfil.mercadolibre.com.uy/SCREEN-CASES,14,años,624,NA,NA,NA,524,2,6,516,"Parque Batlle, Montevideo.",NA,NA
GENIALSTORE,http://perfil.mercadolibre.com.uy/GENIALSTORE,NA,NA,NA,NA,NA,NA,2133,34,119,1980,"Pocitos, Montevideo.",NA,NA
BEPA7288969,http://perfil.mercadolibre.com.uy/BEPA7288969,4,años,28,NA,NA,NA,11,0,1,10,"Trinidad, Flores.",NA,NA
DIMARTUY,http://perfil.mercadolibre.com.uy/DIMARTUY,3,años,1338,NA,NA,NA,902,4,24,874,"San Carlos, Maldonado.",NA,NA
CHIPY.PARK,http://perfil.mercadolibre.com.uy/CHIPY.PARK,3,años,994,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,582,0,5,577,"Cordón, Montevideo.",NA,NA
FREE_BUY_2633,http://perfil.mercadolibre.com.uy/FREE_BUY_2633,18,años,4302,NA,NA,NA,4378,0,115,4263,"Reducto, Montevideo.",NA,NA
PLAZATECHURUGUAY,http://perfil.mercadolibre.com.uy/PLAZATECHURUGUAY,1,año,679,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,403,2,9,392,"Aguada, Montevideo.",NA,NA
PREMIUM_CASES_UY,http://perfil.mercadolibre.com.uy/PREMIUM_CASES_UY,1,año,1080,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,829,0,10,819,"Pocitos, Montevideo.",NA,NA
PEDROBOTTA8098,http://perfil.mercadolibre.com.uy/PEDROBOTTA8098,7,años,51,NA,NA,NA,60,1,13,46,"Otras, Montevideo.",NA,NA
TIENDA M-A,http://perfil.mercadolibre.com.uy/TIENDA+M-A,11,años,1424,NA,NA,NA,1393,11,83,1299,"Maroñas, Curva, Montevideo.",NA,NA
NELAUY2011,http://perfil.mercadolibre.com.uy/NELAUY2011,NA,NA,NA,NA,NA,NA,245,3,20,222,"Otras, Montevideo.",NA,NA
Ebay Tienda oficial,http://perfil.mercadolibre.com.uy/HERMES_STORE?brandId=520,1,año,5275,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,2478,31,324,2123,"Ciudad Vieja, Montevideo.",NA,NA
